position_id,source_game_id,phase,ply,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f1e2,152.0,0.3627074675780511,1,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,c2c4,145.0,0.3474141989090428,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d2d4,135.0,0.32524367434016505,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,e3e4,127.0,0.307244661799008,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f1d3,124.0,0.3004370971476541,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,b2b4,117.0,0.28443418591487535,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,h2h3,117.0,0.28443418591487535,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,g1f3,115.0,0.2798321934754683,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d2d3,112.0,0.27290508056313273,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,b2b3,106.0,0.25896622393478974,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,b1c3,100.0,0.24491866240370913,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,h2h4,100.0,0.24491866240370913,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f2f4,98.0,0.24021286468618025,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f1b5,95.0,0.2331330090426386,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,c2c3,92.0,0.22602835227867096,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f1c4,91.0,0.22365473800347424,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,g1h3,73.0,0.1805005038603668,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,a3a4,68.0,0.16838104587081473,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,g1e2,67.0,0.165950908402399,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f2f3,59.0,0.14643954535966971,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,g2g3,59.0,0.14643954535966971,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d1e2,54.0,0.13418580993090867,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,a1a2,34.0,0.08479588154870199,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d1f3,17.0,0.04247442993254818,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,g2g4,-21.0,-0.05245181874413747,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,e1e2,-139.0,-0.3341565541912505,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d1h5,-545.0,-0.8769716366107312,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,f1a6,-689.0,-0.9381633592242486,0,29
dev_source_000_offset_04,dev_source_000,early,4,rnbqkbnr/ppppp1p1/5p2/7p/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3,white,d1g4,-794.0,-0.9629523500734012,0,29
dev_source_000_offset_12,dev_source_000,middle,12,rnb1kb1r/1ppqnpp1/3p4/p3p2p/2B1P3/1P5N/PBPP1PPP/RN1Q1RK1 w kq - 2 7,white,h3g5,272.0,0.5915193954318165,1,34
