position_id,source_game_id,phase,ply,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,d2d4,48.0,0.11942729853438588,1,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,g1f3,48.0,0.11942729853438588,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,e2e4,38.0,0.09471523628617855,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,c2c3,31.0,0.07734521041301597,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,e2e3,22.0,0.05494460868918742,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,d2d3,15.0,0.03748243175707047,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,b1c3,13.0,0.03248856212414491,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,g2g3,13.0,0.03248856212414491,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,h2h3,4.0,0.00999966667999946,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,c2c4,-14.0,-0.03498571533277944,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,b2b3,-19.0,-0.04746430825312217,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,f2f4,-45.0,-0.11202778108923989,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,b1a3,-47.0,-0.11696222487632274,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,f2f3,-47.0,-0.11696222487632274,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,h2h4,-47.0,-0.11696222487632274,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,a1a4,-54.0,-0.13418580993090867,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,g1h3,-54.0,-0.13418580993090867,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,a1a3,-59.0,-0.14643954535966971,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,a1a2,-66.0,-0.1635187536836725,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,b2b4,-78.0,-0.1925653985935757,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,a5a6,-83.0,-0.2045723537772613,0,22
dev_source_000_offset_04,dev_source_000,early,4,rnbqkb1r/pp1ppppp/7n/P1p5/8/8/1PPPPPPP/RNBQKBNR w KQkq - 1 3,white,g2g4,-181.0,-0.42395183882558707,0,22
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,d3c4,41.0,0.1021425386146839,1,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,e2e1,16.0,0.03997868031116357,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,c1d2,11.0,0.02749306980470986,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,g1f3,-25.0,-0.062418746747512514,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,d3d4,-32.0,-0.07982976911113136,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,g2g3,-48.0,-0.11942729853438588,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,b1c3,-58.0,-0.14399226586303726,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,c2c3,-59.0,-0.14643954535966971,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,f2f4,-62.0,-0.15377052226409266,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,a5a6,-80.0,-0.197375320224904,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,b1d2,-82.0,-0.20217575769673954,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,a1a4,-83.0,-0.2045723537772613,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,b2b3,-86.0,-0.21174733686352115,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,b1a3,-106.0,-0.25896622393478974,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,g2g4,-109.0,-0.26594955336092135,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,d1d2,-118.0,-0.2867302913888035,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,d1e1,-118.0,-0.2867302913888035,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,h3h4,-132.0,-0.31852077690277086,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,h1h2,-136.0,-0.32747739480870536,0,26
