position_id,lesson_id,stage,split,source_game_id,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,is_positive,legal_move_count,candidate_type,motif,mate_distance,movement_piece,blocker_present
endgames_0000,endgames_0000,endgames,train,synthetic_endgame_0000,1K6/8/1k6/8/8/7Q/8/8 w - - 0 1,white,b8a8,630.0,0.91781744359907,0.0,,23,teacher_candidate,endgame,,,
endgames_0000,endgames_0000,endgames,train,synthetic_endgame_0000,1K6/8/1k6/8/8/7Q/8/8 w - - 0 1,white,b8c8,673.0,0.9331852212249364,0.0,,23,teacher_candidate,endgame,,,
endgames_0000,endgames_0000,endgames,train,synthetic_endgame_0000,1K6/8/1k6/8/8/7Q/8/8 w - - 0 1,white,h3a3,680.0,0.935409070603099,0.0,,23,teacher_candidate,endgame,,,
endgames_0000,endgames_0000,endgames,train,synthetic_endgame_0000,1K6/8/1k6/8/8/7Q/8/8 w - - 0 1,white,h3b3,711.0,0.9444256417366927,0.0,,23,teacher_candidate,endgame,,,
endgames_0000,endgames_0000,endgames,train,synthetic_endgame_0000,1K6/8/1k6/8/8/7Q/8/8 w - - 0 1,white,h3c3,724.0,0.947831849707234,1.0,,23,teacher_candidate,endgame,,,
endgames_0001,endgames_0001,endgames,train,synthetic_endgame_0001,8/8/6r1/8/8/8/4k3/K7 b - - 0 1,black,e2d1,99990.0,1.0,0.0,,22,teacher_candidate,endgame,10.0,,
endgames_0001,endgames_0001,endgames,train,synthetic_endgame_0001,8/8/6r1/8/8/8/4k3/K7 b - - 0 1,black,e2d2,99994.0,1.0,1.0,,22,teacher_candidate,endgame,6.0,,
endgames_0001,endgames_0001,endgames,train,synthetic_endgame_0001,8/8/6r1/8/8/8/4k3/K7 b - - 0 1,black,e2d3,99994.0,1.0,0.0,,22,teacher_candidate,endgame,6.0,,
endgames_0001,endgames_0001,endgames,train,synthetic_endgame_0001,8/8/6r1/8/8/8/4k3/K7 b - - 0 1,black,e2e1,99990.0,1.0,0.0,,22,teacher_candidate,endgame,10.0,,
endgames_0001,endgames_0001,endgames,train,synthetic_endgame_0001,8/8/6r1/8/8/8/4k3/K7 b - - 0 1,black,e2e3,99992.0,1.0,0.0,,22,teacher_candidate,endgame,8.0,,
