position_id,lesson_id,stage,split,source_game_id,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,is_positive,legal_move_count,candidate_type,motif,mate_distance,movement_piece,blocker_present
1944,mates_0000,mates,train,generated_0038,rn1qk1nr/p2bb1p1/1p2pp1p/3p1NN1/1p3P2/B3P3/P1PP2PP/R2QKB1R b KQkq - 1 10,black,e6f5,614.0,0.9112763448216872,1,,25,teacher_candidate,mates,-3.0,,
1944,mates_0000,mates,train,generated_0038,rn1qk1nr/p2bb1p1/1p2pp1p/3p1NN1/1p3P2/B3P3/P1PP2PP/R2QKB1R b KQkq - 1 10,black,h6g5,533.0,0.8698590209439497,0,,25,teacher_candidate,mates,,,
1944,mates_0000,mates,train,generated_0038,rn1qk1nr/p2bb1p1/1p2pp1p/3p1NN1/1p3P2/B3P3/P1PP2PP/R2QKB1R b KQkq - 1 10,black,f6g5,327.0,0.6737068757188618,0,,25,teacher_candidate,mates,,,
1944,mates_0000,mates,train,generated_0038,rn1qk1nr/p2bb1p1/1p2pp1p/3p1NN1/1p3P2/B3P3/P1PP2PP/R2QKB1R b KQkq - 1 10,black,d8c7,-879.0,-0.975623023939446,0,,25,teacher_candidate,mates,,,
1944,mates_0000,mates,train,generated_0038,rn1qk1nr/p2bb1p1/1p2pp1p/3p1NN1/1p3P2/B3P3/P1PP2PP/R2QKB1R b KQkq - 1 10,black,e7d6,-99997.0,-1.0,0,,25,teacher_candidate,mates,-3.0,,
4147,mates_0001,mates,train,generated_0082,rnNqkb1r/p1pppp2/6p1/1p5p/4B1P1/4P3/PPPP1n1P/R1BQ1KNR b kq - 0 9,black,f2d1,638.0,0.920912440898094,1,,28,teacher_candidate,mates,,,
4147,mates_0001,mates,train,generated_0082,rnNqkb1r/p1pppp2/6p1/1p5p/4B1P1/4P3/PPPP1n1P/R1BQ1KNR b kq - 0 9,black,f2e4,621.0,0.9141970392864124,0,,28,teacher_candidate,mates,,,
4147,mates_0001,mates,train,generated_0082,rnNqkb1r/p1pppp2/6p1/1p5p/4B1P1/4P3/PPPP1n1P/R1BQ1KNR b kq - 0 9,black,d7d5,130.0,0.3140209253469976,0,,28,teacher_candidate,mates,,,
4147,mates_0001,mates,train,generated_0082,rnNqkb1r/p1pppp2/6p1/1p5p/4B1P1/4P3/PPPP1n1P/R1BQ1KNR b kq - 0 9,black,a7a5,-411.0,-0.7729037335620444,0,,28,teacher_candidate,mates,,,
4147,mates_0001,mates,train,generated_0082,rnNqkb1r/p1pppp2/6p1/1p5p/4B1P1/4P3/PPPP1n1P/R1BQ1KNR b kq - 0 9,black,f7f6,-99999.0,-1.0,0,,28,teacher_candidate,mates,-1.0,,
2481,mates_0002,mates,train,generated_0049,r3kbnr/ppp1p1pp/B3Pp2/3p4/1q6/2P2N2/P2PKPbP/RNBQ3R w kq - 0 9,white,c3b4,728.0,0.9488384233759848,1,,33,teacher_candidate,mates,,,
2481,mates_0002,mates,train,generated_0049,r3kbnr/ppp1p1pp/B3Pp2/3p4/1q6/2P2N2/P2PKPbP/RNBQ3R w kq - 0 9,white,h1g1,380.0,0.7397830512740042,0,,33,teacher_candidate,mates,-1.0,,
2481,mates_0002,mates,train,generated_0049,r3kbnr/ppp1p1pp/B3Pp2/3p4/1q6/2P2N2/P2PKPbP/RNBQ3R w kq - 0 9,white,d2d3,347.0,0.7001017166719224,0,,33,teacher_candidate,mates,,,
2481,mates_0002,mates,train,generated_0049,r3kbnr/ppp1p1pp/B3Pp2/3p4/1q6/2P2N2/P2PKPbP/RNBQ3R w kq - 0 9,white,d1a4,-891.0,-0.9770263217408068,0,,33,teacher_candidate,mates,,,
2481,mates_0002,mates,train,generated_0049,r3kbnr/ppp1p1pp/B3Pp2/3p4/1q6/2P2N2/P2PKPbP/RNBQ3R w kq - 0 9,white,h2h4,-99999.0,-1.0,0,,33,teacher_candidate,mates,-1.0,,
2157,mates_0003,mates,train,generated_0043,rnbk1bn1/ppNpppp1/7r/2p4p/8/5PP1/PqPPPK1P/1RBQ1BNR w - - 0 8,white,c7e6,847.0,0.9714537242590624,1,,28,teacher_candidate,mates,,,
2157,mates_0003,mates,train,generated_0043,rnbk1bn1/ppNpppp1/7r/2p4p/8/5PP1/PqPPPK1P/1RBQ1BNR w - - 0 8,white,b1b2,521.0,0.8623653574745808,0,,28,teacher_candidate,mates,,,
2157,mates_0003,mates,train,generated_0043,rnbk1bn1/ppNpppp1/7r/2p4p/8/5PP1/PqPPPK1P/1RBQ1BNR w - - 0 8,white,c1b2,497.0,0.8461671024651277,0,,28,teacher_candidate,mates,,,
2157,mates_0003,mates,train,generated_0043,rnbk1bn1/ppNpppp1/7r/2p4p/8/5PP1/PqPPPK1P/1RBQ1BNR w - - 0 8,white,f2g2,265.0,0.5800247468527949,0,,28,teacher_candidate,mates,,,
2157,mates_0003,mates,train,generated_0043,rnbk1bn1/ppNpppp1/7r/2p4p/8/5PP1/PqPPPK1P/1RBQ1BNR w - - 0 8,white,f2e3,-99999.0,-1.0,0,,28,teacher_candidate,mates,-1.0,,
385,mates_0004,mates,train,generated_0007,r1b1kb1r/1p1n1ppp/pqp5/PN1pp3/1P4nP/3P4/2P1PPPR/R1BQKBN1 w Qkq - 1 9,white,a5b6,448.0,0.8075689165786144,1,,33,teacher_candidate,mates,,,
385,mates_0004,mates,train,generated_0007,r1b1kb1r/1p1n1ppp/pqp5/PN1pp3/1P4nP/3P4/2P1PPPR/R1BQKBN1 w Qkq - 1 9,white,b5d6,-29.0,-0.0723732404635894,0,,33,teacher_candidate,mates,,,
385,mates_0004,mates,train,generated_0007,r1b1kb1r/1p1n1ppp/pqp5/PN1pp3/1P4nP/3P4/2P1PPPR/R1BQKBN1 w Qkq - 1 9,white,e2e3,-428.0,-0.7894612209549805,0,,33,teacher_candidate,mates,,,
385,mates_0004,mates,train,generated_0007,r1b1kb1r/1p1n1ppp/pqp5/PN1pp3/1P4nP/3P4/2P1PPPR/R1BQKBN1 w Qkq - 1 9,white,c2c3,-1063.0,-0.9902135651176432,0,,33,teacher_candidate,mates,,,
385,mates_0004,mates,train,generated_0007,r1b1kb1r/1p1n1ppp/pqp5/PN1pp3/1P4nP/3P4/2P1PPPR/R1BQKBN1 w Qkq - 1 9,white,e2e4,-99999.0,-1.0,0,,33,teacher_candidate,mates,-1.0,,
1750,mates_0005,mates,train,generated_0035,rnb1kb2/1pppqppr/p3p3/7p/2PP1Pn1/N4N2/PP1BP2P/R2QKB1R w KQq - 0 10,white,f3g5,103.0,0.2519557155332075,1,,31,teacher_candidate,mates,,,
1750,mates_0005,mates,train,generated_0035,rnb1kb2/1pppqppr/p3p3/7p/2PP1Pn1/N4N2/PP1BP2P/R2QKB1R w KQq - 0 10,white,e2e3,82.0,0.2021757576967395,0,,31,teacher_candidate,mates,,,
1750,mates_0005,mates,train,generated_0035,rnb1kb2/1pppqppr/p3p3/7p/2PP1Pn1/N4N2/PP1BP2P/R2QKB1R w KQq - 0 10,white,e2e4,81.0,0.1997767377279966,0,,31,teacher_candidate,mates,,,
