position_id,lesson_id,stage,split,source_game_id,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,is_positive,legal_move_count,candidate_type,motif,mate_distance,movement_piece,blocker_present
4226,tactics_0000,tactics,train,generated_0084,r1b1kbnr/p1p1pppp/n2q4/1pNp4/4P3/1P4P1/P1PP1P1P/RNBQKB1R b KQkq - 0 7,black,a6c5,270.0,0.5882592563981054,1,,37,teacher_candidate,tactics,,,
4226,tactics_0000,tactics,train,generated_0084,r1b1kbnr/p1p1pppp/n2q4/1pNp4/4P3/1P4P1/P1PP1P1P/RNBQKB1R b KQkq - 0 7,black,d6c5,268.0,0.5849798828807288,0,,37,teacher_candidate,tactics,,,
4226,tactics_0000,tactics,train,generated_0084,r1b1kbnr/p1p1pppp/n2q4/1pNp4/4P3/1P4P1/P1PP1P1P/RNBQKB1R b KQkq - 0 7,black,c7c6,15.0,0.0374824317570704,0,,37,teacher_candidate,tactics,,,
4226,tactics_0000,tactics,train,generated_0084,r1b1kbnr/p1p1pppp/n2q4/1pNp4/4P3/1P4P1/P1PP1P1P/RNBQKB1R b KQkq - 0 7,black,h7h6,-161.0,-0.3820860248314457,0,,37,teacher_candidate,tactics,,,
4226,tactics_0000,tactics,train,generated_0084,r1b1kbnr/p1p1pppp/n2q4/1pNp4/4P3/1P4P1/P1PP1P1P/RNBQKB1R b KQkq - 0 7,black,d6d8,-989.0,-0.9858628121060774,0,,37,teacher_candidate,tactics,,,
2042,tactics_0001,tactics,train,generated_0040,r1bqkb1r/p2pp1pp/np5n/2p2p2/1P2P2P/B2P4/PNP1BPP1/R2QK1NR b KQq - 0 9,black,c5b4,257.0,0.5665993699780818,1,,22,teacher_candidate,tactics,,,
2042,tactics_0001,tactics,train,generated_0040,r1bqkb1r/p2pp1pp/np5n/2p2p2/1P2P2P/B2P4/PNP1BPP1/R2QK1NR b KQq - 0 9,black,e7e5,66.0,0.1635187536836725,0,,22,teacher_candidate,tactics,,,
2042,tactics_0001,tactics,train,generated_0040,r1bqkb1r/p2pp1pp/np5n/2p2p2/1P2P2P/B2P4/PNP1BPP1/R2QK1NR b KQq - 0 9,black,a6b4,65.0,0.1610846096413192,0,,22,teacher_candidate,tactics,,,
2042,tactics_0001,tactics,train,generated_0040,r1bqkb1r/p2pp1pp/np5n/2p2p2/1P2P2P/B2P4/PNP1BPP1/R2QK1NR b KQq - 0 9,black,d7d5,-73.0,-0.1805005038603668,0,,22,teacher_candidate,tactics,,,
2042,tactics_0001,tactics,train,generated_0040,r1bqkb1r/p2pp1pp/np5n/2p2p2/1P2P2P/B2P4/PNP1BPP1/R2QK1NR b KQq - 0 9,black,g7g5,-254.0,-0.5614854958242566,0,,22,teacher_candidate,tactics,,,
2849,tactics_0002,tactics,train,generated_0056,rnqk1bnr/4p1pp/b2p1p2/ppp4Q/P3P1P1/2P1R3/1P1P1P1P/1NB1KBNR w K - 0 9,white,a4b5,205.0,0.4718907878542969,1,,41,teacher_candidate,tactics,,,
2849,tactics_0002,tactics,train,generated_0056,rnqk1bnr/4p1pp/b2p1p2/ppp4Q/P3P1P1/2P1R3/1P1P1P1P/1NB1KBNR w K - 0 9,white,f1b5,164.0,0.388472680216061,0,,41,teacher_candidate,tactics,,,
2849,tactics_0002,tactics,train,generated_0056,rnqk1bnr/4p1pp/b2p1p2/ppp4Q/P3P1P1/2P1R3/1P1P1P1P/1NB1KBNR w K - 0 9,white,h5f7,127.0,0.307244661799008,0,,41,teacher_candidate,tactics,,,
2849,tactics_0002,tactics,train,generated_0056,rnqk1bnr/4p1pp/b2p1p2/ppp4Q/P3P1P1/2P1R3/1P1P1P1P/1NB1KBNR w K - 0 9,white,f1d3,-85.0,-0.2093581694280187,0,,41,teacher_candidate,tactics,,,
2849,tactics_0002,tactics,train,generated_0056,rnqk1bnr/4p1pp/b2p1p2/ppp4Q/P3P1P1/2P1R3/1P1P1P1P/1NB1KBNR w K - 0 9,white,h5h6,-1103.0,-0.9919804315230544,0,,41,teacher_candidate,tactics,,,
939,tactics_0003,tactics,train,generated_0018,1nbqkbnr/2pppp1p/3r4/1p4p1/8/Np2PN2/PBPPBPPP/R1Q1K1R1 b Qk - 1 9,black,g8f6,-356.0,-0.7113937318189625,1,,31,teacher_candidate,tactics,,,
939,tactics_0003,tactics,train,generated_0018,1nbqkbnr/2pppp1p/3r4/1p4p1/8/Np2PN2/PBPPBPPP/R1Q1K1R1 b Qk - 1 9,black,b3c2,-368.0,-0.7258974148490807,0,,31,teacher_candidate,tactics,,,
939,tactics_0003,tactics,train,generated_0018,1nbqkbnr/2pppp1p/3r4/1p4p1/8/Np2PN2/PBPPBPPP/R1Q1K1R1 b Qk - 1 9,black,e7e5,-422.0,-0.7837426664759929,0,,31,teacher_candidate,tactics,,,
939,tactics_0003,tactics,train,generated_0018,1nbqkbnr/2pppp1p/3r4/1p4p1/8/Np2PN2/PBPPBPPP/R1Q1K1R1 b Qk - 1 9,black,h7h6,-724.0,-0.947831849707234,0,,31,teacher_candidate,tactics,,,
939,tactics_0003,tactics,train,generated_0018,1nbqkbnr/2pppp1p/3r4/1p4p1/8/Np2PN2/PBPPBPPP/R1Q1K1R1 b Qk - 1 9,black,d6d2,-1016.0,-0.9876370782167776,0,,31,teacher_candidate,tactics,,,
203,tactics_0004,tactics,train,generated_0004,1n1qkbnr/3bpp1p/p1Np2p1/8/2p3P1/4P2P/PPPP1P2/1RBQKBNR w Kk - 0 9,white,c6d4,946.0,0.982501507854706,1,,31,teacher_candidate,tactics,,,
203,tactics_0004,tactics,train,generated_0004,1n1qkbnr/3bpp1p/p1Np2p1/8/2p3P1/4P2P/PPPP1P2/1RBQKBNR w Kk - 0 9,white,c6b4,934.0,0.9814295085966688,0,,31,teacher_candidate,tactics,,,
203,tactics_0004,tactics,train,generated_0004,1n1qkbnr/3bpp1p/p1Np2p1/8/2p3P1/4P2P/PPPP1P2/1RBQKBNR w Kk - 0 9,white,c6d8,818.0,0.9670727104726874,0,,31,teacher_candidate,tactics,,,
203,tactics_0004,tactics,train,generated_0004,1n1qkbnr/3bpp1p/p1Np2p1/8/2p3P1/4P2P/PPPP1P2/1RBQKBNR w Kk - 0 9,white,e3e4,424.0,0.7856638590269437,0,,31,teacher_candidate,tactics,,,
203,tactics_0004,tactics,train,generated_0004,1n1qkbnr/3bpp1p/p1Np2p1/8/2p3P1/4P2P/PPPP1P2/1RBQKBNR w Kk - 0 9,white,f1d3,-185.0,-0.4321195876314196,0,,31,teacher_candidate,tactics,,,
2630,tactics_0005,tactics,train,generated_0052,rnbqkbnr/3pp2p/6p1/ppp2p2/2P2P2/1P2P2N/P1QP2PP/RNBK1B1R b kq - 0 7,black,f8g7,141.0,0.338590805554892,1,,23,teacher_candidate,tactics,,,
