game_index,opponent_engine,opponent_elo,fly_color,result,fly_score,plies,termination,final_fen
0,alfil,200,white,1/2-1/2,0.5,292,INSUFFICIENT_MATERIAL,4N3/8/8/8/8/6K1/1k6/8 w - - 0 147
1,alfil,200,black,1/2-1/2,0.5,418,FIFTY_MOVES,8/8/8/8/7k/2K5/8/1R6 w - - 99 210
2,alfil,400,white,1/2-1/2,0.5,386,INSUFFICIENT_MATERIAL,8/6B1/5K2/8/8/8/7k/8 w - - 0 194
3,alfil,400,black,1/2-1/2,0.5,404,FIFTY_MOVES,2K5/8/8/2B5/8/4Bb2/8/7k w - - 99 203
4,alfil,600,white,1/2-1/2,0.5,380,FIFTY_MOVES,8/8/4P3/8/Kr6/6k1/8/1Q6 w - - 99 191
5,alfil,600,black,1/2-1/2,0.5,314,INSUFFICIENT_MATERIAL,8/8/8/8/6K1/8/2k5/8 w - - 0 158
6,alfil,800,white,1-0,1.0,187,CHECKMATE,8/2Q5/2kN4/2pN4/8/p1b3nK/3R4/8 b - - 8 94
7,alfil,800,black,1/2-1/2,0.5,463,INSUFFICIENT_MATERIAL,8/8/8/K7/8/8/2k5/8 b - - 0 232
8,alfil,1000,white,1/2-1/2,0.5,296,INSUFFICIENT_MATERIAL,8/8/8/2k5/8/5K2/3b4/8 w - - 0 149
9,alfil,1000,black,1/2-1/2,0.5,303,INSUFFICIENT_MATERIAL,8/8/8/8/8/5K2/n7/3k4 b - - 0 152
10,alfil,1200,white,1/2-1/2,0.5,420,INSUFFICIENT_MATERIAL,8/8/8/2k5/8/1b6/b7/4K3 w - - 0 211
11,alfil,1200,black,1/2-1/2,0.5,168,STALEMATE,8/2r5/5k2/n4p2/p2b1P2/P4P1p/K2n4/8 w - - 0 85
12,stockfish,1320,white,0-1,0.0,36,CHECKMATE,r1b1k2r/1pp2p2/2n3pp/1p2p2P/1b3Pn1/P3P1P1/2PP4/RN1K1q2 w k - 4 19
13,stockfish,1320,black,1-0,0.0,21,CHECKMATE,r1b2bkr/p1qP2pp/n7/2p5/PpBP4/2N3P1/1PPB1P1P/R2QK1NR b KQ - 0 11
14,stockfish,1400,white,0-1,0.0,80,CHECKMATE,r4qk1/2r2p1p/2b3p1/2p1p3/p1P1nP2/3Pn2B/1RK1N2P/q5R1 w - - 3 41
15,stockfish,1400,black,1-0,0.0,43,CHECKMATE,5r2/2p2p1p/Bpk2N1p/p1bQ4/5N2/6P1/PPP2P1P/R3K2R b KQ - 0 22
16,stockfish,1500,white,0-1,0.0,32,CHECKMATE,3rk1nr/ppp2p1p/7p/4p3/4P1bP/2b4N/P3P3/4KB1n w k - 0 17
17,stockfish,1500,black,1-0,0.0,31,CHECKMATE,rnbk3r/1pp5/p3pBp1/3N4/Q1BPP2p/P4N1P/1P3PP1/R3K2R b KQ - 0 16
