game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,37,,37,,18,2026-09-13T20:38:31+00:00
0,1,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,white,b2b4,fly,-38,,-38,,18,2026-09-13T20:38:33+00:00
0,2,rnbqkbnr/ppppppp1/8/7p/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,white,h7h5,minic,24,,24,,18,2026-09-13T20:38:34+00:00
0,3,rnbqkbnr/ppppppp1/8/7p/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2,white,a2a3,fly,13,,13,,18,2026-09-13T20:38:35+00:00
0,4,r1bqkbnr/ppppppp1/2n5/7p/1P6/P7/2PPPPPP/RNBQKBNR w KQkq - 1 3,white,b8c6,minic,52,,52,,18,2026-09-13T20:38:37+00:00
0,5,r1bqkbnr/ppppppp1/2n5/7p/1P6/P1P5/3PPPPP/RNBQKBNR b KQkq - 0 3,white,c2c3,fly,0,,0,,18,2026-09-13T20:38:40+00:00
0,6,r1bqkbnr/ppppp1p1/2n2p2/7p/1P6/P1P5/3PPPPP/RNBQKBNR w KQkq - 0 4,white,f7f6,minic,50,,50,,18,2026-09-13T20:38:43+00:00
0,7,r1bqkbnr/ppppp1p1/2n2p2/7p/1P3P2/P1P5/3PP1PP/RNBQKBNR b KQkq - 0 4,white,f2f4,fly,-60,,-60,,18,2026-09-13T20:38:50+00:00
0,8,r1bqkbnr/pppp2p1/2n2p2/4p2p/1P3P2/P1P5/3PP1PP/RNBQKBNR w KQkq - 0 5,white,e7e5,minic,-37,,-37,,18,2026-09-13T20:38:53+00:00
0,9,r1bqkbnr/pppp2p1/2n2p2/4p2p/PP3P2/2P5/3PP1PP/RNBQKBNR b KQkq - 0 5,white,a3a4,fly,-126,,-126,,18,2026-09-13T20:38:56+00:00
0,10,r1bqkbnr/p1pp2p1/1pn2p2/4p2p/PP3P2/2P5/3PP1PP/RNBQKBNR w KQkq - 0 6,white,b7b6,minic,0,,0,,18,2026-09-13T20:39:01+00:00
0,11,r1bqkbnr/p1pp2p1/1pn2p2/4p2p/PP3P2/2P1P3/3P2PP/RNBQKBNR b KQkq - 0 6,white,e2e3,fly,-25,,-25,,18,2026-09-13T20:39:04+00:00
0,12,r1bqkbnr/2pp2p1/ppn2p2/4p2p/PP3P2/2P1P3/3P2PP/RNBQKBNR w KQkq - 0 7,white,a7a6,minic,39,,39,,18,2026-09-13T20:39:09+00:00
0,13,r1bqkbnr/2pp2p1/ppn2p2/4p2p/PP3P2/2P1P2P/3P2P1/RNBQKBNR b KQkq - 0 7,white,h2h3,fly,-85,,-85,,18,2026-09-13T20:39:13+00:00
0,14,r1bqkbnr/2pp2p1/p1n2p2/1p2p2p/PP3P2/2P1P2P/3P2P1/RNBQKBNR w KQkq - 0 8,white,b6b5,minic,308,,308,,18,2026-09-13T20:39:19+00:00
0,15,r1bqkbnr/2pp2p1/p1n2p2/1p2p2p/PP3P2/2P1P2P/3PB1P1/RNBQK1NR b KQkq - 1 8,white,f1e2,fly,191,,191,,18,2026-09-13T20:39:24+00:00
0,16,r1bqkbnr/2pp2p1/p4p2/1p2p2p/PP1n1P2/2P1P2P/3PB1P1/RNBQK1NR w KQkq - 2 9,white,c6d4,minic,799,,799,,18,2026-09-13T20:39:25+00:00
0,17,r1bqkbnr/2pp2p1/p4p2/1B2p2p/PP1n1P2/2P1P2P/3P2P1/RNBQK1NR b KQkq - 0 9,white,e2b5,fly,-18,,-18,,18,2026-09-13T20:39:27+00:00
0,18,r1bqkbnr/2pp2p1/p4p2/1B5p/PP1npP2/2P1P2P/3P2P1/RNBQK1NR w KQkq - 0 10,white,e5e4,minic,158,,158,,18,2026-09-13T20:39:30+00:00
0,19,r1bqkbnr/2pp2p1/p4p2/1B5p/PP1npP2/2P1P2P/3PN1P1/RNBQK2R b KQkq - 1 10,white,g1e2,fly,68,,68,,18,2026-09-13T20:39:34+00:00
0,20,r1bqkbn1/2pp2pr/p4p2/1B5p/PP1npP2/2P1P2P/3PN1P1/RNBQK2R w KQq - 2 11,white,h8h7,minic,328,,328,,18,2026-09-13T20:39:37+00:00
0,21,r1bqkbn1/2pp2pr/p4p2/1B5p/PP1npP2/2P1P2P/3PN1PR/RNBQK3 b Qq - 3 11,white,h1h2,fly,7,,7,,18,2026-09-13T20:39:40+00:00
0,22,r1bqkbn1/2pp2pr/p4p2/1B6/PP1npP1p/2P1P2P/3PN1PR/RNBQK3 w Qq - 0 12,white,h5h4,minic,157,,157,,18,2026-09-13T20:39:43+00:00
0,23,r1bqkbn1/2pp2pr/p4p2/1B6/PPPnpP1p/4P2P/3PN1PR/RNBQK3 b Qq - 0 12,white,c3c4,fly,-544,,-544,,18,2026-09-13T20:39:50+00:00
0,24,1rbqkbn1/2pp2pr/p4p2/1B6/PPPnpP1p/4P2P/3PN1PR/RNBQK3 w Q - 1 13,white,a8b8,minic,352,,352,,18,2026-09-13T20:39:54+00:00
0,25,1rbqkbn1/2pp2pr/p4p2/1B6/PPPnpP1p/4P1PP/3PN2R/RNBQK3 b Q - 0 13,white,g2g3,fly,-819,,-819,,18,2026-09-13T20:39:55+00:00
0,26,1rbqkb2/2ppn1pr/p4p2/1B6/PPPnpP1p/4P1PP/3PN2R/RNBQK3 w Q - 1 14,white,g8e7,minic,-1,,-1,,18,2026-09-13T20:39:59+00:00
0,27,1rbqkb2/2pBn1pr/p4p2/8/PPPnpP1p/4P1PP/3PN2R/RNBQK3 b Q - 0 14,white,b5d7,fly,-559,,-559,,18,2026-09-13T20:40:03+00:00
0,28,1rb1kb2/2pqn1pr/p4p2/8/PPPnpP1p/4P1PP/3PN2R/RNBQK3 w Q - 0 15,white,d8d7,minic,-555,,-555,,18,2026-09-13T20:40:08+00:00
0,29,1rb1kb2/2pqn1pr/p4p2/8/PPPnpP1p/4P1PP/1B1PN2R/RN1QK3 b Q - 1 15,white,c1b2,fly,-1149,,-1149,,18,2026-09-13T20:40:09+00:00
0,30,1rbk1b2/2pqn1pr/p4p2/8/PPPnpP1p/4P1PP/1B1PN2R/RN1QK3 w Q - 2 16,white,e8d8,minic,-513,,-513,,18,2026-09-13T20:40:14+00:00
0,31,1rbk1b2/2pqn1pr/p4p2/5P2/PPPnp2p/4P1PP/1B1PN2R/RN1QK3 b Q - 0 16,white,f4f5,fly,-1053,,-1053,,18,2026-09-13T20:40:15+00:00
0,32,2bk1b2/2pqn1pr/pr3p2/5P2/PPPnp2p/4P1PP/1B1PN2R/RN1QK3 w Q - 1 17,white,b8b6,minic,-359,,-359,,18,2026-09-13T20:40:19+00:00
0,33,2bk1b2/2pqn1pr/pr3p2/5P2/PPPnpN1p/4P1PP/1B1P3R/RN1QK3 b Q - 2 17,white,e2f4,fly,-919,,-919,,18,2026-09-13T20:40:21+00:00
0,34,2bk1b2/2p1n1pr/pr2qp2/5P2/PPPnpN1p/4P1PP/1B1P3R/RN1QK3 w Q - 3 18,white,d7e6,minic,571,,571,,18,2026-09-13T20:40:29+00:00
0,35,2bk1b2/2p1n1pr/pr2Pp2/8/PPPnpN1p/4P1PP/1B1P3R/RN1QK3 b Q - 0 18,white,f5e6,fly,417,,417,,18,2026-09-13T20:40:35+00:00
0,36,2bk1b2/2p3pr/prn1Pp2/8/PPPnpN1p/4P1PP/1B1P3R/RN1QK3 w Q - 1 19,white,e7c6,minic,787,,787,,18,2026-09-13T20:40:37+00:00
0,37,2bk1b2/2p3pr/prn1Pp2/8/PPPnp2p/4P1PP/1B1P2NR/RN1QK3 b Q - 2 19,white,f4g2,fly,319,,319,,18,2026-09-13T20:40:41+00:00
0,38,1nbk1b2/2p3pr/pr2Pp2/8/PPPnp2p/4P1PP/1B1P2NR/RN1QK3 w Q - 3 20,white,c6b8,minic,842,,842,,18,2026-09-13T20:40:43+00:00
0,39,1nbk1b2/2p3pr/pr2Pp2/8/PPPnp2p/4P1PP/1B1PQ1NR/RN2K3 b Q - 4 20,white,d1e2,fly,-477,,-477,,18,2026-09-13T20:40:51+00:00
0,40,1nbk1b2/1rp3pr/p3Pp2/8/PPPnp2p/4P1PP/1B1PQ1NR/RN2K3 w Q - 5 21,white,b6b7,minic,917,,917,,18,2026-09-13T20:40:54+00:00
0,41,1nbk1b2/1rp1P1pr/p4p2/8/PPPnp2p/4P1PP/1B1PQ1NR/RN2K3 b Q - 0 21,white,e6e7,fly,744,,744,,18,2026-09-13T20:40:55+00:00
0,42,1nb1kb2/1rp1P1pr/p4p2/8/PPPnp2p/4P1PP/1B1PQ1NR/RN2K3 w Q - 1 22,white,d8e8,minic,1021,,1021,,18,2026-09-13T20:40:58+00:00
0,43,1nb1kb2/1rp1P1pr/p4p2/8/PPPnp2p/4P1PP/1B1P2NR/RN1QK3 b Q - 2 22,white,e2d1,fly,595,,595,,18,2026-09-13T20:41:00+00:00
0,44,1nb1kb2/1rp1P1pr/p4p2/8/PPP1p2p/1n2P1PP/1B1P2NR/RN1QK3 w Q - 3 23,white,d4b3,minic,893,,893,,18,2026-09-13T20:41:02+00:00
0,45,1nb1kb2/1rp1P1pr/p4p2/8/PPP1p2p/1n2P1PP/1B1P2NR/RN1Q1K2 b - - 4 23,white,e1f1,fly,699,,699,,18,2026-09-13T20:41:04+00:00
0,46,1nb1kb2/1rp1P1pr/p4p2/n7/PPP1p2p/4P1PP/1B1P2NR/RN1Q1K2 w - - 5 24,white,b3a5,minic,949,,949,,18,2026-09-13T20:41:08+00:00
0,47,1nb1kb2/1rp1P1pr/p4p2/n7/PPP1p2p/4P1PP/1B1P1KNR/RN1Q4 b - - 6 24,white,f1f2,fly,616,,616,,18,2026-09-13T20:41:22+00:00
0,48,1nb1kb2/1r2P1pr/p1p2p2/n7/PPP1p2p/4P1PP/1B1P1KNR/RN1Q4 w - - 0 25,white,c7c6,minic,936,,936,,18,2026-09-13T20:41:25+00:00
0,49,1nb1kb2/1r2P1pr/p1p2p2/n7/PPP1p2p/4P1PP/RB1P1KNR/1N1Q4 b - - 1 25,white,a1a2,fly,666,,666,,18,2026-09-13T20:41:46+00:00
0,50,1nb1kb2/3rP1pr/p1p2p2/n7/PPP1p2p/4P1PP/RB1P1KNR/1N1Q4 w - - 2 26,white,b7d7,minic,994,,994,,18,2026-09-13T20:41:48+00:00
0,51,1nb1kb2/3rP1pr/p1p2p2/n7/PPPBp2p/4P1PP/R2P1KNR/1N1Q4 b - - 3 26,white,b2d4,fly,756,,756,,18,2026-09-13T20:41:52+00:00
0,52,1nb1k3/3rb1pr/p1p2p2/n7/PPPBp2p/4P1PP/R2P1KNR/1N1Q4 w - - 0 27,white,f8e7,minic,809,,809,,18,2026-09-13T20:41:56+00:00
0,53,1nb1k3/3rb1pr/p1p2p2/n7/PPPBp2p/3PP1PP/R4KNR/1N1Q4 b - - 0 27,white,d2d3,fly,564,,564,,18,2026-09-13T20:42:04+00:00
0,54,1nb1k3/4b1pr/p1p2p2/n2r4/PPPBp2p/3PP1PP/R4KNR/1N1Q4 w - - 1 28,white,d7d5,minic,881,,881,,18,2026-09-13T20:42:11+00:00
0,55,1nb1k3/4b1pr/p1p2p2/n2r4/PPPBp2p/3PP1PP/2R2KNR/1N1Q4 b - - 2 28,white,a2c2,fly,683,,683,,18,2026-09-13T20:42:25+00:00
0,56,2b1k3/3nb1pr/p1p2p2/n2r4/PPPBp2p/3PP1PP/2R2KNR/1N1Q4 w - - 3 29,white,b8d7,minic,958,,958,,18,2026-09-13T20:42:28+00:00
0,57,2b1k3/3nb1pr/p1p2p2/n2r4/PPPBp2p/3PP1PP/R4KNR/1N1Q4 b - - 4 29,white,c2a2,fly,623,,623,,18,2026-09-13T20:42:36+00:00
0,58,2b1kb2/3n2pr/p1p2p2/n2r4/PPPBp2p/3PP1PP/R4KNR/1N1Q4 w - - 5 30,white,e7f8,minic,878,,878,,18,2026-09-13T20:42:41+00:00
0,59,2b1kb2/3n2pr/p1p2p2/n2r3Q/PPPBp2p/3PP1PP/R4KNR/1N6 b - - 6 30,white,d1h5,fly,-312,,-312,,18,2026-09-13T20:42:46+00:00
0,60,2b1kb2/3n3r/p1p2pp1/n2r3Q/PPPBp2p/3PP1PP/R4KNR/1N6 w - - 0 31,white,g7g6,minic,897,,897,,18,2026-09-13T20:42:47+00:00
0,61,2b1kb2/3n3r/p1p2pp1/n2r3Q/PPPBp2p/3PP1PP/R5NR/1N4K1 b - - 1 31,white,f2g1,fly,-147,,-147,,18,2026-09-13T20:42:51+00:00
0,62,2b1kb2/3n3r/p1p2pp1/n4r1Q/PPPBp2p/3PP1PP/R5NR/1N4K1 w - - 2 32,white,d5f5,minic,1086,,1086,,18,2026-09-13T20:42:53+00:00
0,63,2b1kb2/3n3r/p1p2pp1/n4r1Q/PPPBp2p/3PP1PP/R6R/1N2N1K1 b - - 3 32,white,g2e1,fly,-413,,-413,,18,2026-09-13T20:43:04+00:00
0,64,2b1kb2/3n3r/p1p2pp1/n2r3Q/PPPBp2p/3PP1PP/R6R/1N2N1K1 w - - 4 33,white,f5d5,minic,1143,,1143,,18,2026-09-13T20:43:05+00:00
0,65,2b1kb2/3n3r/p1p2pp1/n2r3Q/PPPBp2p/3PP1PP/R7/1N2N1KR b - - 5 33,white,h2h1,fly,-301,,-301,,18,2026-09-13T20:43:10+00:00
0,66,2b1kb2/3n3r/p1p2pp1/n6Q/PPPrp2p/3PP1PP/R7/1N2N1KR w - - 0 34,white,d5d4,minic,1023,,1023,,18,2026-09-13T20:43:13+00:00
0,67,2b1kb2/3n3r/p1p2pp1/n6Q/PPPrp1Pp/3PP2P/R7/1N2N1KR b - - 0 34,white,g3g4,fly,-424,,-424,,18,2026-09-13T20:43:15+00:00
0,68,2b1kb2/3n3r/p1p2pp1/7Q/PPPrp1Pp/1n1PP2P/R7/1N2N1KR w - - 1 35,white,a5b3,minic,990,,990,,18,2026-09-13T20:43:17+00:00
0,69,2b1kb2/3n3r/p1p2pp1/7Q/PPPrp1Pp/Nn1PP2P/R7/4N1KR b - - 2 35,white,b1a3,fly,-666,,-666,,18,2026-09-13T20:43:26+00:00
0,70,2b1kb2/3n3r/p1p2pp1/3r3Q/PPP1p1Pp/Nn1PP2P/R7/4N1KR w - - 3 36,white,d4d5,minic,860,,860,,18,2026-09-13T20:43:28+00:00
0,71,2b1kb2/3n3r/p1p2pp1/3r3Q/PPP1p1Pp/Nn1PP2P/R1N5/6KR b - - 4 36,white,e1c2,fly,-677,,-677,,18,2026-09-13T20:43:35+00:00
0,72,2b1k3/3n2br/p1p2pp1/3r3Q/PPP1p1Pp/Nn1PP2P/R1N5/6KR w - - 5 37,white,f8g7,minic,889,,889,,18,2026-09-13T20:43:35+00:00
0,73,2b1k3/3n2br/p1p2pp1/3r3Q/PPP1p1Pp/Nn1PP2P/R1N2K2/7R b - - 6 37,white,g1f2,fly,-585,,-585,,18,2026-09-13T20:43:39+00:00
0,74,2b1k3/3n2br/p1p2pp1/1r5Q/PPP1p1Pp/Nn1PP2P/R1N2K2/7R w - - 7 38,white,d5b5,minic,886,,886,,18,2026-09-13T20:43:41+00:00
0,75,2b1k3/3n2br/p1p2pp1/1r5Q/PPP1p1Pp/Nn1PP2P/R1N2K2/6R1 b - - 8 38,white,h1g1,fly,-477,,-477,,18,2026-09-13T20:43:45+00:00
0,76,2b2k2/3n2br/p1p2pp1/1r5Q/PPP1p1Pp/Nn1PP2P/R1N2K2/6R1 w - - 9 39,white,e8f8,minic,823,,823,,18,2026-09-13T20:43:51+00:00
0,77,2b2k2/3n2br/p1p2pp1/1r5Q/PPP1p1Pp/Nn1PP2P/R1N3K1/6R1 b - - 10 39,white,f2g2,fly,-465,,-465,,18,2026-09-13T20:43:53+00:00
0,78,2b2k2/3n2br/p1p2pp1/4r2Q/PPP1p1Pp/Nn1PP2P/R1N3K1/6R1 w - - 11 40,white,b5e5,minic,741,,741,,18,2026-09-13T20:43:55+00:00
0,79,2b2k2/3n2br/p1p2pp1/4r2Q/PPPPp1Pp/Nn2P2P/R1N3K1/6R1 b - - 0 40,white,d3d4,fly,-323,,-323,,18,2026-09-13T20:43:56+00:00
0,80,2b2k2/3n2br/p1p3p1/4rp1Q/PPPPp1Pp/Nn2P2P/R1N3K1/6R1 w - - 0 41,white,f6f5,minic,849,,849,,18,2026-09-13T20:44:03+00:00
0,81,2b2k2/3n2br/p1p3p1/4rp1Q/PPPPp1Pp/Nn2P2P/R5K1/N5R1 b - - 1 41,white,c2a1,fly,-392,,-392,,18,2026-09-13T20:44:07+00:00
0,82,2b5/3nk1br/p1p3p1/4rp1Q/PPPPp1Pp/Nn2P2P/R5K1/N5R1 w - - 2 42,white,f8e7,minic,1077,,1077,,18,2026-09-13T20:44:11+00:00
0,83,2b5/3nk1br/p1p3p1/4rp1Q/PPPPp1Pp/1n2P2P/R1N3K1/N5R1 b - - 3 42,white,a3c2,fly,-341,,-341,,18,2026-09-13T20:44:19+00:00
0,84,2b5/4k1br/p1p2np1/4rp1Q/PPPPp1Pp/1n2P2P/R1N3K1/N5R1 w - - 4 43,white,d7f6,minic,860,,860,,18,2026-09-13T20:44:23+00:00
0,85,2b5/4k1br/p1p2np1/4rpPQ/PPPPp2p/1n2P2P/R1N3K1/N5R1 b - - 0 43,white,g4g5,fly,-216,,-216,,18,2026-09-13T20:44:29+00:00
0,86,2b5/4k1br/p1p2np1/4rpPQ/PPPnp2p/4P2P/R1N3K1/N5R1 w - - 0 44,white,b3d4,minic,882,,882,,18,2026-09-13T20:44:30+00:00
0,87,2b5/4k1br/p1p2np1/4rpP1/PPPnp1Qp/4P2P/R1N3K1/N5R1 b - - 1 44,white,h5g4,fly,-541,,-541,,18,2026-09-13T20:44:34+00:00
0,88,2b4r/4k1b1/p1p2np1/4rpP1/PPPnp1Qp/4P2P/R1N3K1/N5R1 w - - 2 45,white,h7h8,minic,586,,586,,18,2026-09-13T20:44:51+00:00
0,89,2b4r/4k1b1/p1p2Pp1/4rp2/PPPnp1Qp/4P2P/R1N3K1/N5R1 b - - 0 45,white,g5f6,fly,598,,598,,18,2026-09-13T20:45:29+00:00
0,90,2b4r/6b1/p1p2kp1/4rp2/PPPnp1Qp/4P2P/R1N3K1/N5R1 w - - 0 46,white,e7f6,minic,609,,609,,18,2026-09-13T20:45:43+00:00
0,91,2b4r/6b1/p1p2kp1/4rp2/PPPnp1Qp/R3P2P/2N3K1/N5R1 b - - 1 46,white,a2a3,fly,-481,,-481,,18,2026-09-13T20:45:46+00:00
0,92,2b2r2/6b1/p1p2kp1/4rp2/PPPnp1Qp/R3P2P/2N3K1/N5R1 w - - 2 47,white,h8f8,minic,506,,506,,18,2026-09-13T20:45:51+00:00
0,93,2b2r2/6b1/p1p2kp1/4rQ2/PPPnp2p/R3P2P/2N3K1/N5R1 b - - 0 47,white,g4f5,fly,-725,,-725,,18,2026-09-13T20:45:52+00:00
0,94,2b2r2/6b1/p1p2kp1/4rn2/PPP1p2p/R3P2P/2N3K1/N5R1 w - - 0 48,white,d4f5,minic,-714,,-714,,18,2026-09-13T20:45:54+00:00
0,95,2b2r2/6b1/p1p2kp1/4rn2/PPP1p2p/3RP2P/2N3K1/N5R1 b - - 1 48,white,a3d3,fly,-1057,,-1057,,18,2026-09-13T20:45:58+00:00
0,96,5r2/6b1/p1p1bkp1/4rn2/PPP1p2p/3RP2P/2N3K1/N5R1 w - - 2 49,white,c8e6,minic,-740,,-740,,18,2026-09-13T20:46:00+00:00
0,97,5r2/6b1/p1p1bkp1/4rn2/PPP1p2p/3RP2P/2N5/N5RK b - - 3 49,white,g2h1,fly,-1040,,-1040,,18,2026-09-13T20:46:02+00:00
0,98,2r5/6b1/p1p1bkp1/4rn2/PPP1p2p/3RP2P/2N5/N5RK w - - 4 50,white,f8c8,minic,-716,,-716,,18,2026-09-13T20:46:03+00:00
0,99,2r5/3R2b1/p1p1bkp1/4rn2/PPP1p2p/4P2P/2N5/N5RK b - - 5 50,white,d3d7,fly,-882,,-882,,18,2026-09-13T20:46:05+00:00
0,100,2r5/3R2b1/2p1bkp1/p3rn2/PPP1p2p/4P2P/2N5/N5RK w - - 0 51,white,a6a5,minic,-713,,-713,,18,2026-09-13T20:46:07+00:00
0,101,2r5/2R3b1/2p1bkp1/p3rn2/PPP1p2p/4P2P/2N5/N5RK b - - 1 51,white,d7c7,fly,-854,,-854,,18,2026-09-13T20:46:09+00:00
0,102,5r2/2R3b1/2p1bkp1/p3rn2/PPP1p2p/4P2P/2N5/N5RK w - - 2 52,white,c8f8,minic,-589,,-589,,18,2026-09-13T20:46:13+00:00
0,103,5r2/2R3b1/2p1bkR1/p3rn2/PPP1p2p/4P2P/2N5/N6K b - - 0 52,white,g1g6,fly,-982,,-982,,18,2026-09-13T20:46:15+00:00
0,104,5r2/2R3b1/2p1b1k1/p3rn2/PPP1p2p/4P2P/2N5/N6K w - - 0 53,white,f6g6,minic,-985,,-985,,18,2026-09-13T20:46:17+00:00
0,105,5r2/2R3b1/2p1b1k1/pP2rn2/P1P1p2p/4P2P/2N5/N6K b - - 0 53,white,b4b5,fly,-99993,-7,-99993,-7,18,2026-09-13T20:46:17+00:00
0,106,7r/2R3b1/2p1b1k1/pP2rn2/P1P1p2p/4P2P/2N5/N6K w - - 1 54,white,f8h8,minic,-854,,-854,,18,2026-09-13T20:46:21+00:00
0,107,7r/2R3b1/2p1b1k1/pP2rn2/P1PNp2p/4P2P/8/N6K b - - 2 54,white,c2d4,fly,-949,,-949,,18,2026-09-13T20:46:21+00:00
0,108,8/2R3b1/2p1b1kr/pP2rn2/P1PNp2p/4P2P/8/N6K w - - 3 55,white,h8h6,minic,-712,,-712,,18,2026-09-13T20:46:23+00:00
0,109,8/2R3b1/2p1b1kr/pP2rn2/P1PNp2p/1N2P2P/8/7K b - - 4 55,white,a1b3,fly,-744,,-744,,18,2026-09-13T20:46:25+00:00
0,110,8/2R3b1/2p1bk1r/pP2rn2/P1PNp2p/1N2P2P/8/7K w - - 5 56,white,g6f6,minic,-638,,-638,,18,2026-09-13T20:46:29+00:00
0,111,8/2R3b1/2P1bk1r/p3rn2/P1PNp2p/1N2P2P/8/7K b - - 0 56,white,b5c6,fly,-759,,-759,,18,2026-09-13T20:46:31+00:00
0,112,8/2R3b1/2P2k1r/p2brn2/P1PNp2p/1N2P2P/8/7K w - - 1 57,white,e6d5,minic,-589,,-589,,18,2026-09-13T20:46:36+00:00
0,113,8/2R3b1/2P2k1r/p2brn2/P1PNp2p/1N2P2P/7K/8 b - - 2 57,white,h1h2,fly,-759,,-759,,18,2026-09-13T20:46:39+00:00
0,114,4r3/2R3b1/2P2k1r/p2b1n2/P1PNp2p/1N2P2P/7K/8 w - - 3 58,white,e5e8,minic,-539,,-539,,18,2026-09-13T20:46:42+00:00
