graph: 2,010 neurons, 1,588 edges
depth | accuracy | by required path length
------|----------|------------------------
    1 |     0.8% | L2:4%, L4:0%, L8:0%, L16:0%, L32:0%
    2 |     0.8% | L2:4%, L4:0%, L8:0%, L16:0%, L32:0%
    4 |    20.0% | L2:100%, L4:0%, L8:0%, L16:0%, L32:0%
    8 |    40.0% | L2:100%, L4:100%, L8:0%, L16:0%, L32:0%
   16 |    60.0% | L2:100%, L4:100%, L8:100%, L16:0%, L32:0%
   32 |    80.0% | L2:100%, L4:100%, L8:100%, L16:100%, L32:0%
   40 |   100.0% | L2:100%, L4:100%, L8:100%, L16:100%, L32:100%

pytest: 4 passed
