engine,setting,game_index,opening_index,engine_color,status,plies,engine_moves,elapsed_s,median_move_latency_s,error
minic,Level=0,0,0,white,complete,120,59,0.4009141999995336,0.0044493000023067,
minic,Level=0,1,1,black,complete,107,50,0.3359630000195466,0.0045478499960154295,
minic,Level=0,2,2,white,complete,62,26,0.14678020001156256,0.0033894500229507685,
minic,Level=0,3,3,black,complete,120,53,0.3179270999971777,0.003932599967811257,
minic,Level=0,4,4,white,complete,120,54,0.31496289995266125,0.003860699973301962,
minic,Level=0,5,5,black,complete,120,47,0.25546610000310466,0.003638399997726083,
minic,Level=0,6,6,white,complete,120,45,0.2757417000248097,0.003663000010419637,
minic,Level=0,7,7,black,complete,120,46,0.24012900004163384,0.0035309500235598534,
minic,Level=0,8,8,white,complete,120,45,0.2638192000449635,0.0037479999591596425,
minic,Level=0,9,9,black,complete,120,43,0.2709334999672137,0.0040852000238373876,
minic,Level=1,0,0,white,complete,120,59,0.4865707000135444,0.004409099987242371,
minic,Level=1,1,1,black,complete,120,57,0.3480521999881603,0.004056699981447309,
minic,Level=1,2,2,white,complete,120,55,0.35651999997207895,0.0038006000104360282,
minic,Level=1,3,3,black,complete,120,53,0.2994149000151083,0.0040902000037021935,
minic,Level=1,4,4,white,complete,120,54,0.3207346999552101,0.003663499985123053,
minic,Level=1,5,5,black,complete,120,47,0.2515981000033207,0.0037311000050976872,
minic,Level=1,6,6,white,complete,120,45,0.2545193000114523,0.003788400033954531,
minic,Level=1,7,7,black,complete,120,46,0.2601869000354782,0.0037565499951597303,
minic,Level=1,8,8,white,complete,120,45,0.24374629999510944,0.003354899992700666,
minic,Level=1,9,9,black,complete,120,43,0.22654110001167282,0.0034815999679267406,
minic,Level=5,0,0,white,complete,120,59,0.36490990000311285,0.0042990000220015645,
minic,Level=5,1,1,black,complete,120,57,0.3191314000287093,0.003721300046890974,
minic,Level=5,2,2,white,complete,120,55,0.3096609999774955,0.003743399982340634,
minic,Level=5,3,3,black,complete,101,43,0.2522350000217557,0.0037589999847114086,
minic,Level=5,4,4,white,complete,120,54,0.3387949999887496,0.003976100008003414,
minic,Level=5,5,5,black,complete,120,47,0.241567799996119,0.003437599982134998,
minic,Level=5,6,6,white,complete,120,45,0.24702030001208186,0.0036911999923177063,
minic,Level=5,7,7,black,complete,120,46,0.23667369998292997,0.0034978999756276608,
minic,Level=5,8,8,white,complete,120,45,0.24528879998251796,0.003126299998257309,
minic,Level=5,9,9,black,complete,120,43,0.23943259997759014,0.0034051999682560563,
minic,Level=10,0,0,white,complete,120,59,0.32010400004219264,0.003687199961859733,
minic,Level=10,1,1,black,complete,120,57,0.3155892000067979,0.003989099990576506,
minic,Level=10,2,2,white,complete,120,55,0.2770705000148155,0.0033320999937132,
minic,Level=10,3,3,black,complete,120,53,0.2906973999924958,0.0035372000420466065,
minic,Level=10,4,4,white,complete,120,54,0.2955266000353731,0.0032921499805524945,
minic,Level=10,5,5,black,complete,120,47,0.23103289998834953,0.0030935000395402312,
minic,Level=10,6,6,white,complete,120,45,0.21346139995148405,0.0032675000256858766,
minic,Level=10,7,7,black,complete,90,31,0.14000339998165146,0.002876000013202429,
minic,Level=10,8,8,white,complete,120,45,0.22027449996676296,0.0031398000428453088,
minic,Level=10,9,9,black,complete,120,43,0.22114809998311102,0.0030386000289581716,
minic,Level=15,0,0,white,complete,120,59,0.336957799969241,0.003786100016441196,
minic,Level=15,1,1,black,complete,120,57,0.3283682000474073,0.0039431999903172255,
minic,Level=15,2,2,white,complete,120,55,0.3047118000104092,0.003338299982715398,
minic,Level=15,3,3,black,complete,120,53,0.3389028999954462,0.00406110001495108,
minic,Level=15,4,4,white,complete,120,54,0.33431939996080473,0.004114549985388294,
minic,Level=15,5,5,black,complete,120,47,0.24855330004356802,0.0031288000172935426,
minic,Level=15,6,6,white,complete,120,45,0.224365999980364,0.0032568000024184585,
minic,Level=15,7,7,black,complete,120,46,0.22502369998255745,0.003334950015414506,
minic,Level=15,8,8,white,complete,120,45,0.270829799992498,0.003547400003299117,
minic,Level=15,9,9,black,complete,120,43,0.21812460001092404,0.0032677000272087753,
minic,Level=20,0,0,white,complete,120,59,0.36193299997830763,0.004187699989415705,
minic,Level=20,1,1,black,complete,120,57,0.3102247000206262,0.0035868000122718513,
minic,Level=20,2,2,white,complete,120,55,0.29622820002259687,0.0035200000274926424,
minic,Level=20,3,3,black,complete,120,53,0.2871646999847144,0.0035238999989815056,
minic,Level=20,4,4,white,complete,120,54,0.3087336999597028,0.003634750028140843,
minic,Level=20,5,5,black,complete,120,47,0.22543440002482384,0.0032062000245787203,
minic,Level=20,6,6,white,complete,120,45,0.23215349996462464,0.003159100015182048,
minic,Level=20,7,7,black,complete,105,38,0.18996200000401586,0.002954449999378994,
minic,Level=20,8,8,white,complete,120,45,0.23992580000776798,0.003451000025961548,
minic,Level=20,9,9,black,complete,120,43,0.21970069996314123,0.0031193000031635165,
minic,Level=25,0,0,white,complete,120,59,0.3507525000022724,0.003819999983534217,
minic,Level=25,1,1,black,complete,120,57,0.3302274000016041,0.0035208999761380255,
minic,Level=25,2,2,white,complete,120,55,0.31045339995762333,0.0038101000245660543,
minic,Level=25,3,3,black,complete,120,53,0.29678670002613217,0.00378099997760728,
minic,Level=25,4,4,white,complete,120,54,0.32298810000065714,0.0036853999772574753,
minic,Level=25,5,5,black,complete,120,47,0.2425091000040993,0.003105300012975931,
minic,Level=25,6,6,white,complete,120,45,0.22016540000913665,0.0030325999832712114,
minic,Level=25,7,7,black,complete,120,46,0.2253404000075534,0.003131850011413917,
minic,Level=25,8,8,white,complete,120,45,0.23245170002337545,0.0033562000025995076,
minic,Level=25,9,9,black,complete,120,43,0.2157078000018373,0.002961500023957342,
minic,Level=30,0,0,white,complete,120,59,0.3283571000210941,0.003582799981813878,
minic,Level=30,1,1,black,complete,120,57,0.30917359999148175,0.0033925999887287617,
minic,Level=30,2,2,white,complete,120,55,0.27349099999992177,0.003500899998471141,
minic,Level=30,3,3,black,complete,120,53,0.2826301999739371,0.003563600010238588,
minic,Level=30,4,4,white,complete,120,54,0.2755207000300288,0.003078100038692355,
minic,Level=30,5,5,black,complete,120,47,0.21689960005460307,0.0031122000073082745,
minic,Level=30,6,6,white,complete,109,40,0.1742703000199981,0.0027095500263385475,
minic,Level=30,7,7,black,complete,120,46,0.23879940004553646,0.003100400004768744,
minic,Level=30,8,8,white,complete,120,45,0.2205862000118941,0.0029252999811433256,
minic,Level=30,9,9,black,complete,120,43,0.22465279995230958,0.0030103999888524413,
gaia,Skill Level=1,0,0,white,complete,63,31,0.9329011000227183,0.002377199998591095,
gaia,Skill Level=1,1,1,black,complete,80,37,0.15550599998096004,0.002300799998920411,
gaia,Skill Level=1,2,2,white,complete,41,16,0.06408560002455488,0.0018714000179897994,
gaia,Skill Level=1,3,3,black,complete,106,46,0.17188989999704063,0.00222389999544248,
gaia,Skill Level=1,4,4,white,complete,91,40,0.1429758999729529,0.002081250015180558,
gaia,Skill Level=1,5,5,black,complete,84,29,0.10235040000407025,0.0018554999842308462,
gaia,Skill Level=1,6,6,white,complete,101,36,0.1269552999874577,0.0018547999789007008,
gaia,Skill Level=1,7,7,black,complete,52,12,0.04336069995770231,0.0016724000161048025,
gaia,Skill Level=1,8,8,white,complete,75,23,0.08814589999383315,0.0018666000105440617,
gaia,Skill Level=1,9,9,black,complete,120,43,0.1693249000236392,0.0022323000011965632,
gaia,Skill Level=2,0,0,white,complete,85,42,0.9341029000352137,0.002180350013077259,
gaia,Skill Level=2,1,1,black,complete,52,23,0.09052420000080019,0.0020185000030323863,
gaia,Skill Level=2,2,2,white,complete,25,8,0.033753300027456135,0.0019623500120360404,
gaia,Skill Level=2,3,3,black,complete,94,40,0.15765409998130053,0.0021285499969962984,
gaia,Skill Level=2,4,4,white,complete,53,21,0.0854519999702461,0.0021200000192038715,
gaia,Skill Level=2,5,5,black,complete,116,45,0.1785092999925837,0.002016299986280501,
gaia,Skill Level=2,6,6,white,complete,51,11,0.04569080000510439,0.0017681000172160566,
gaia,Skill Level=2,7,7,black,complete,120,46,0.15075700002489612,0.0017959499964490533,
gaia,Skill Level=2,8,8,white,complete,73,22,0.07633299997542053,0.0017812999722082168,
gaia,Skill Level=2,9,9,black,complete,120,43,0.16360139998141676,0.0020829999702982605,
gaia,Skill Level=3,0,0,white,complete,49,24,0.9168511000461876,0.0022537499899044633,
gaia,Skill Level=3,1,1,black,complete,40,17,0.06766409997362643,0.001993000041693449,
gaia,Skill Level=3,2,2,white,complete,69,30,0.11824759998125955,0.002079200028674677,
gaia,Skill Level=3,3,3,black,complete,56,21,0.08741510001709685,0.0022078999900259078,
gaia,Skill Level=3,4,4,white,complete,39,14,0.059749300009571016,0.0020939999958500266,
gaia,Skill Level=3,5,5,black,complete,78,26,0.09419590001925826,0.0020204500178806484,
gaia,Skill Level=3,6,6,white,complete,59,15,0.05504329997347668,0.001860800024587661,
gaia,Skill Level=3,7,7,black,complete,66,19,0.0650185999693349,0.0017081999685615301,
gaia,Skill Level=3,8,8,white,complete,81,26,0.10628480004379526,0.0021226999815553427,
gaia,Skill Level=3,9,9,black,complete,100,33,0.12484920001588762,0.0020139000262133777,
gaia,Skill Level=4,0,0,white,complete,33,16,0.9086923000286333,0.002480550028849393,
gaia,Skill Level=4,1,1,black,complete,84,39,0.16365929995663464,0.002337199985049665,
gaia,Skill Level=4,2,2,white,complete,45,18,0.0759583999752067,0.0022697499953210354,
gaia,Skill Level=4,3,3,black,complete,64,25,0.09766799997305498,0.002196500019636005,
gaia,Skill Level=4,4,4,white,complete,35,12,0.05480259994510561,0.0027475000242702663,
gaia,Skill Level=4,5,5,black,complete,74,24,0.10246240004198626,0.002377199998591095,
gaia,Skill Level=4,6,6,white,complete,53,12,0.04910619999282062,0.0022677000088151544,
gaia,Skill Level=4,7,7,black,complete,64,18,0.07466770004248247,0.002587599999969825,
gaia,Skill Level=4,8,8,white,complete,57,14,0.06555780000053346,0.002844250004272908,
gaia,Skill Level=4,9,9,black,complete,50,8,0.03495120001025498,0.0026461499801371247,
gaia,Skill Level=5,0,0,white,complete,39,19,1.1023876999970526,0.0023412000155076385,
gaia,Skill Level=5,1,1,black,complete,36,15,0.0620039000059478,0.0024772000033408403,
gaia,Skill Level=5,2,2,white,complete,45,18,0.12887539999792352,0.0024957999703474343,
gaia,Skill Level=5,3,3,black,complete,34,10,0.051535199978388846,0.0030374000198207796,
gaia,Skill Level=5,4,4,white,complete,37,13,0.07086810003966093,0.002798300003632903,
gaia,Skill Level=5,5,5,black,complete,62,18,0.0921608000062406,0.0026362499920651317,
gaia,Skill Level=5,6,6,white,complete,67,19,0.07243210001615807,0.0019200999522581697,
gaia,Skill Level=5,7,7,black,complete,90,31,0.12495080003282055,0.0021785999997518957,
gaia,Skill Level=5,8,8,white,complete,57,14,0.058459100022446364,0.0022984499810263515,
gaia,Skill Level=5,9,9,black,complete,78,22,0.0924176000407897,0.0022928499965928495,
gaia,Skill Level=6,0,0,white,complete,35,17,0.8776532999472693,0.0027166999643668532,
gaia,Skill Level=6,1,1,black,complete,22,8,0.03537519997917116,0.0027949500363320112,
gaia,Skill Level=6,2,2,white,complete,37,14,0.05540489999111742,0.00203644999419339,
gaia,Skill Level=6,3,3,black,complete,24,5,0.020105000003241003,0.0022734999656677246,
gaia,Skill Level=6,4,4,white,complete,39,14,0.05253139999695122,0.0020158999832347035,
gaia,Skill Level=6,5,5,black,complete,62,18,0.0680661000078544,0.002249250013846904,
gaia,Skill Level=6,6,6,white,complete,55,13,0.06776959996204823,0.002404000028036535,
gaia,Skill Level=6,7,7,black,complete,88,30,0.12605890003032982,0.002456149988574907,
gaia,Skill Level=6,8,8,white,complete,53,12,0.04644499998539686,0.0022982500086072832,
gaia,Skill Level=6,9,9,black,complete,78,22,0.0943085000035353,0.0022003000194672495,
gaia,Skill Level=7,0,0,white,complete,41,20,1.0075274999835528,0.003272450005169958,
gaia,Skill Level=7,1,1,black,complete,72,33,0.159649699984584,0.0028959999908693135,
gaia,Skill Level=7,2,2,white,complete,37,14,0.07323879998875782,0.003102200018474832,
gaia,Skill Level=7,3,3,black,complete,52,19,0.09369159996276721,0.0030685000238008797,
gaia,Skill Level=7,4,4,white,complete,33,11,0.052357699954882264,0.0030817000078968704,
gaia,Skill Level=7,5,5,black,complete,76,25,0.10843110003042966,0.0028230000170879066,
gaia,Skill Level=7,6,6,white,complete,57,14,0.062318500014953315,0.0027280500216875225,
gaia,Skill Level=7,7,7,black,complete,76,24,0.1271217999747023,0.0032164000149350613,
gaia,Skill Level=7,8,8,white,complete,47,9,0.04648929997347295,0.003160900028888136,
