engine,setting,advertised_elo,executable,executable_sha256,engine_name,engine_author,games_requested,games_completed,games_failed,restarts,median_move_latency_s,moves_per_second,games_per_hour,options
minic,Level=0,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0038043499662308022,165.80240979266085,12754.031522512374,"{""Hash"": 16, ""Level"": 0, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=1,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0037724750145571306,165.36061310984593,11811.472364988995,"{""Hash"": 16, ""Level"": 1, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=5,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.00370625001960434,176.7621784776,12881.454302011336,"{""Hash"": 16, ""Level"": 5, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=10,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0032798250031191856,193.67042284596477,14257.945240193725,"{""Hash"": 16, ""Level"": 10, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=15,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0034428499930072576,178.0819618700399,12720.140133574278,"{""Hash"": 16, ""Level"": 15, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=20,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0034855000267270952,185.66621624377143,13475.77375962857,"{""Hash"": 16, ""Level"": 20, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=25,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0034385499893687665,183.4473357800413,13103.381127145809,"{""Hash"": 16, ""Level"": 25, ""Threads"": 1, ""nodesBasedLevel"": true}"
minic,Level=30,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\minic.exe,0ad407535f7a79188dfc5665946da87fb249b4a5ca871c9d232203c1301d4fbb,Minic 3.46,Vivien Clauzon,10,10,0,0,0.0031063000060385093,196.1184349325332,14148.824965072537,"{""Hash"": 16, ""Level"": 30, ""Threads"": 1, ""nodesBasedLevel"": true}"
gaia,Skill Level=1,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\gaia.exe,a28740e605bc53c845e42a8364462c4cc9212af97dea254b10d7c35c63372518,Gaia 4.3.1,Jean-Francois Romang,10,10,0,0,0.0019763250165851787,156.69620715854128,18022.566957531904,"{""Hash"": 16, ""OwnBook"": false, ""Skill Level"": 1, ""Threads"": 1}"
gaia,Skill Level=2,,C:\Users\Zatoichi\AppData\Local\Temp\malecns-fast-engines\gaia.exe,a28740e605bc53c845e42a8364462c4cc9212af97dea254b10d7c35c63372518,Gaia 4.3.1,Jean-Francois Romang,10,10,0,0,0.0020173999946564436,157.0671339374975,18785.43794601299,"{""Hash"": 16, ""OwnBook"": false, ""Skill Level"": 2, ""Threads"": 1}"
