game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,25,,25,,8,2026-09-13T23:02:11+00:00
0,1,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,white,b2b3,fly,-13,,-13,,8,2026-09-13T23:02:20+00:00
0,2,rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,white,b7b6,minic,10,,10,,8,2026-09-13T23:02:20+00:00
0,3,rnbqkbnr/p1pppppp/1p6/8/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2,white,g2g3,fly,12,,12,,8,2026-09-13T23:02:31+00:00
0,4,rn1qkbnr/p1pppppp/bp6/8/8/1P4P1/P1PPPP1P/RNBQKBNR w KQkq - 1 3,white,c8a6,minic,56,,56,,8,2026-09-13T23:02:31+00:00
0,5,rn1qkbnr/p1pppppp/bp6/8/2P5/1P4P1/P2PPP1P/RNBQKBNR b KQkq - 0 3,white,c2c4,fly,37,,37,,8,2026-09-13T23:02:42+00:00
0,6,rn1qkbnr/p2ppppp/bpp5/8/2P5/1P4P1/P2PPP1P/RNBQKBNR w KQkq - 0 4,white,c7c6,minic,43,,43,,8,2026-09-13T23:02:42+00:00
0,7,rn1qkbnr/p2ppppp/bpp5/8/2P5/1P4P1/P1QPPP1P/RNB1KBNR b KQkq - 1 4,white,d1c2,fly,46,,46,,8,2026-09-13T23:02:54+00:00
0,8,rn1qkbnr/p2ppp1p/bpp5/6p1/2P5/1P4P1/P1QPPP1P/RNB1KBNR w KQkq - 0 5,white,g7g5,minic,245,,245,,8,2026-09-13T23:02:54+00:00
0,9,rn1qkbnr/p2ppp1Q/bpp5/6p1/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQkq - 0 5,white,c2h7,fly,-927,,-927,,8,2026-09-13T23:03:09+00:00
0,10,rn1qkb1r/p2ppp1Q/bpp2n2/6p1/2P5/1P4P1/P2PPP1P/RNB1KBNR w KQkq - 1 6,white,g8f6,minic,574,,574,,8,2026-09-13T23:03:09+00:00
0,11,rn1qkb1Q/p2ppp2/bpp2n2/6p1/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQq - 0 6,white,h7h8,fly,659,,659,,8,2026-09-13T23:03:28+00:00
0,12,rn1qkb1Q/p2ppp2/bp3n2/2p3p1/2P5/1P4P1/P2PPP1P/RNB1KBNR w KQq - 0 7,white,c6c5,minic,691,,691,,8,2026-09-13T23:03:28+00:00
0,13,rn1qkQ2/p2ppp2/bp3n2/2p3p1/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQq - 0 7,white,h8f8,fly,-130,,-130,,8,2026-09-13T23:03:45+00:00
