game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,25,,25,,8,2026-09-13T23:09:35+00:00
0,1,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,white,b2b3,fly,-13,,-13,,8,2026-09-13T23:09:46+00:00
0,2,rnbqkbnr/1ppppppp/8/p7/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,white,a7a5,minic,17,,17,,8,2026-09-13T23:09:46+00:00
0,3,rnbqkbnr/1ppppppp/8/p7/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2,white,g2g3,fly,-27,,-27,,8,2026-09-13T23:09:58+00:00
0,4,rnbqkbnr/1ppp1ppp/8/p3p3/8/1P4P1/P1PPPP1P/RNBQKBNR w KQkq - 0 3,white,e7e5,minic,-8,,-8,,8,2026-09-13T23:09:58+00:00
0,5,rnbqkbnr/1ppp1ppp/8/p3p3/2P5/1P4P1/P2PPP1P/RNBQKBNR b KQkq - 0 3,white,c2c4,fly,-22,,-22,,8,2026-09-13T23:10:12+00:00
0,6,rnbqk1nr/1ppp1ppp/8/p1b1p3/2P5/1P4P1/P2PPP1P/RNBQKBNR w KQkq - 1 4,white,f8c5,minic,4,,4,,8,2026-09-13T23:10:12+00:00
0,7,rnbqk1nr/1ppp1ppp/8/p1b1p3/2P5/1P4P1/P1QPPP1P/RNB1KBNR b KQkq - 2 4,white,d1c2,fly,-52,,-52,,8,2026-09-13T23:10:25+00:00
0,8,rnb1k1nr/1ppp1ppp/5q2/p1b1p3/2P5/1P4P1/P1QPPP1P/RNB1KBNR w KQkq - 3 5,white,d8f6,minic,26,,26,,8,2026-09-13T23:10:25+00:00
0,9,rnb1k1nr/1ppp1ppQ/5q2/p1b1p3/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQkq - 0 5,white,c2h7,fly,-929,,-929,,8,2026-09-13T23:10:41+00:00
0,10,rnb1k1nr/1ppp1ppQ/q7/p1b1p3/2P5/1P4P1/P2PPP1P/RNB1KBNR w KQkq - 1 6,white,f6a6,minic,825,,825,,8,2026-09-13T23:10:41+00:00
0,11,rnb1k1nQ/1ppp1pp1/q7/p1b1p3/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQq - 0 6,white,h7h8,fly,738,,738,,8,2026-09-13T23:11:01+00:00
0,12,rnb1k1nQ/1ppp1pp1/4q3/p1b1p3/2P5/1P4P1/P2PPP1P/RNB1KBNR w KQq - 1 7,white,a6e6,minic,833,,833,,8,2026-09-13T23:11:01+00:00
0,13,rnb1k1n1/1ppp1pQ1/4q3/p1b1p3/2P5/1P4P1/P2PPP1P/RNB1KBNR b KQq - 0 7,white,h8g7,fly,721,,721,,8,2026-09-13T23:11:17+00:00
0,14,rnb1kbn1/1ppp1pQ1/4q3/p3p3/2P5/1P4P1/P2PPP1P/RNB1KBNR w KQq - 1 8,white,c5f8,minic,810,,810,,8,2026-09-13T23:11:17+00:00
