game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,,,739,,739,,1,2026-09-14T00:00:58+00:00
1,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,black,,,739,,-739,,1,2026-09-14T00:00:58+00:00
2,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,white,,,-18,,-18,,1,2026-09-14T00:00:58+00:00
3,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,black,,,-18,,18,,1,2026-09-14T00:00:58+00:00
4,8,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,white,,,33,,33,,1,2026-09-14T00:00:58+00:00
5,8,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,black,,,33,,-33,,1,2026-09-14T00:00:59+00:00
6,8,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,white,,,-24,,-24,,1,2026-09-14T00:00:59+00:00
7,8,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,black,,,-24,,24,,1,2026-09-14T00:00:59+00:00
8,8,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,white,,,73,,73,,1,2026-09-14T00:00:59+00:00
9,8,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,black,,,73,,-73,,1,2026-09-14T00:00:59+00:00
10,8,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,white,,,514,,514,,1,2026-09-14T00:00:59+00:00
11,8,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,black,,,514,,-514,,1,2026-09-14T00:00:59+00:00
12,8,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,white,,,688,,688,,1,2026-09-14T00:00:59+00:00
13,8,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,black,,,688,,-688,,1,2026-09-14T00:00:59+00:00
14,8,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,white,,,799,,799,,1,2026-09-14T00:00:59+00:00
15,8,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,black,,,799,,-799,,1,2026-09-14T00:00:59+00:00
16,8,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,white,,,298,,298,,1,2026-09-14T00:00:59+00:00
17,8,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,black,,,298,,-298,,1,2026-09-14T00:00:59+00:00
18,8,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,white,,,197,,197,,1,2026-09-14T00:00:59+00:00
19,8,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,black,,,197,,-197,,1,2026-09-14T00:00:59+00:00
20,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,,,739,,739,,1,2026-09-14T00:01:02+00:00
21,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,black,,,739,,-739,,1,2026-09-14T00:01:02+00:00
22,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,white,,,-18,,-18,,1,2026-09-14T00:01:02+00:00
23,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,black,,,-18,,18,,1,2026-09-14T00:01:02+00:00
24,8,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,white,,,33,,33,,1,2026-09-14T00:01:02+00:00
25,8,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,black,,,33,,-33,,1,2026-09-14T00:01:02+00:00
26,8,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,white,,,-24,,-24,,1,2026-09-14T00:01:02+00:00
27,8,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,black,,,-24,,24,,1,2026-09-14T00:01:02+00:00
28,8,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,white,,,73,,73,,1,2026-09-14T00:01:02+00:00
29,8,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,black,,,73,,-73,,1,2026-09-14T00:01:02+00:00
30,8,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,white,,,514,,514,,1,2026-09-14T00:01:02+00:00
31,8,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,black,,,514,,-514,,1,2026-09-14T00:01:02+00:00
32,8,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,white,,,688,,688,,1,2026-09-14T00:01:02+00:00
33,8,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,black,,,688,,-688,,1,2026-09-14T00:01:02+00:00
34,8,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,white,,,799,,799,,1,2026-09-14T00:01:02+00:00
35,8,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,black,,,799,,-799,,1,2026-09-14T00:01:02+00:00
36,8,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,white,,,298,,298,,1,2026-09-14T00:01:02+00:00
37,8,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,black,,,298,,-298,,1,2026-09-14T00:01:02+00:00
38,8,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,white,,,197,,197,,1,2026-09-14T00:01:02+00:00
39,8,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,black,,,197,,-197,,1,2026-09-14T00:01:02+00:00
40,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,,,739,,739,,1,2026-09-14T00:01:03+00:00
41,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,black,,,739,,-739,,1,2026-09-14T00:01:03+00:00
42,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,white,,,-18,,-18,,1,2026-09-14T00:01:03+00:00
43,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,black,,,-18,,18,,1,2026-09-14T00:01:03+00:00
