game_index,opponent_engine,opponent_elo,fly_color,result,fly_score,plies,termination,final_fen,opponent_setting,opponent_requested_elo,opponent_calibrated_elo,fly_move_count,median_fly_move_latency_s,total_recurrent_passes,mean_candidate_score_margin,pgn,opening_id,start_fen
0,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rn1qkb1r/2pppp1p/bp3n2/p5p1/4B3/3PP1P1/PPP2P1P/RNBQK1NR w KQkq - 0 6,Level=0,310,310.12779874667655,1,17.087225699971896,576,0.0009428802877664566,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_000""]

5. g3 g5 1/2-1/2",opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5
1,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1n1qkb1r/r1pppppp/bp3n2/p4B2/8/3PP3/PPP2PPP/RNBQK1NR w KQk - 3 6,Level=0,310,310.12779874667655,1,14.99806479999097,416,0.004264870658516884,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_000""]

5. Bf5 Ra7 1/2-1/2",opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5
2,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rn1qkbnr/1p1bpppp/8/p1pp4/6P1/NP5P/P1PPPP2/R1BQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,12.508542700030375,304,6.207171827554703e-05,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_001""]

5. b3 Bd7 1/2-1/2",opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5
3,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1nbqkbnr/rp2pppp/8/p1pp4/6P1/N6P/PPPPPP2/1RBQKBNR w Kk - 2 6,Level=0,310,310.12779874667655,1,16.830712600029074,464,0.00407137256115675,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_001""]

5. Rb1 Ra7 1/2-1/2",opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5
4,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1kbnr/pppp1p1p/6p1/4p3/2P2q1P/1P3PP1/P2PP3/RNBQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,13.527833200001623,352,0.001354600302875042,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_002""]

5. c4 Qf4 1/2-1/2",opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5
5,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1kbnr/pppp1p1p/5qp1/8/4p2P/1P3PP1/PBPPP3/RN1QKBNR w KQkq - 0 6,Level=0,310,310.12779874667655,1,23.293413699953817,608,0.003288579173386097,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_002""]

5. Bb2 e4 1/2-1/2",opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5
6,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnbqk1nr/1ppp1ppp/4p3/p1b5/P7/1PP2P1P/3PP1P1/RNBQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,10.57235029997537,272,6.207358092069626e-05,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_003""]

5. b3 Bc5 1/2-1/2",opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5
7,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1k1nr/1pppqppp/1b2p3/p7/P6P/2P2P2/1P1PP1P1/RNBQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,20.33153460000176,480,0.0015482045710086823,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_003""]

5. h4 Qe7 1/2-1/2",opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5
8,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnbqkbnr/2p1p1p1/1p3p2/p2p3p/2P5/4P1PP/PP1PKP2/RNBQ1BNR w kq - 0 6,Level=0,310,310.12779874667655,1,14.740580899990164,384,0.0009284541010856628,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_004""]

5. g3 d5 1/2-1/2",opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5
9,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1nbqkbnr/r1ppp1p1/1p3p2/p6p/2P5/4PK1P/PP1P1PP1/RNBQ1BNR w k - 2 6,Level=0,310,310.12779874667655,1,16.484313699998893,352,0.00555233471095562,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_004""]

5. Kf3 Ra7 1/2-1/2",opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5
10,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,r2qkb1r/pppbpppp/3p1n2/8/1nB1P3/1PP3P1/P2P1P1P/RNBQK1NR w KQkq - 1 6,Level=0,310,310.12779874667655,1,18.155735199979972,528,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_005""]

5. g3 Bd7 1/2-1/2",opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5
11,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,r1bqkb1r/ppp1pppp/3p1n2/8/2B1P3/1PP5/P1nP1PPP/RNB1K1NR w KQkq - 0 6,Level=0,310,310.12779874667655,1,18.946032000007108,544,6.591714918613434e-05,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_005""]

5. Qc2 Nxc2+ 1/2-1/2",opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5
12,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,r1b1k1nr/p1pp1ppp/np2p3/6q1/1b6/P2P2P1/2PNPP1P/R1BQKBNR w KQkq - 0 6,Level=0,310,310.12779874667655,1,14.41693349997513,288,0.0013456041924655437,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_006""]

5. g3 b6 1/2-1/2",opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5
13,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,r1b1k1nr/ppppbppp/n3p3/6q1/4P3/P2P4/2PN1PPP/R1BQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,30.567364600021392,768,0.004598219878971577,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_006""]

5. e4 Be7 1/2-1/2",opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5
14,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rn1qkb1r/ppp3pp/3ppn2/1P3p2/8/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 0 6,Level=0,310,310.12779874667655,1,12.530456400010735,336,0.007726308889687061,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_007""]

5. b5 e6 1/2-1/2",opening_007,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5
