game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,22,,22,,3,2026-09-13T23:13:30+00:00
0,1,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,white,b2b3,fly,-7,,-7,,3,2026-09-13T23:13:41+00:00
0,2,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,white,e7e5,minic,-8,,-8,,3,2026-09-13T23:13:41+00:00
0,3,rnbqkbnr/pppp1ppp/8/4p3/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2,white,g2g3,fly,-61,,-61,,3,2026-09-13T23:13:53+00:00
0,4,rnbqkbnr/pppp1p1p/8/4p1p1/8/1P4P1/P1PPPP1P/RNBQKBNR w KQkq - 0 3,white,g7g5,minic,31,,31,,3,2026-09-13T23:13:53+00:00
0,5,rnbqkbnr/pppp1p1p/8/4p1p1/2P5/1P4P1/P2PPP1P/RNBQKBNR b KQkq - 0 3,white,c2c4,fly,-2,,-2,,3,2026-09-13T23:14:06+00:00
0,6,rnbqkbnr/p1pp1p1p/8/1p2p1p1/2P5/1P4P1/P2PPP1P/RNBQKBNR w KQkq - 0 4,white,b7b5,minic,225,,225,,3,2026-09-13T23:14:06+00:00
0,7,rnbqkbnr/p1pp1p1p/8/1P2p1p1/8/1P4P1/P2PPP1P/RNBQKBNR b KQkq - 0 4,white,c4b5,fly,167,,167,,3,2026-09-13T23:14:20+00:00
0,8,r1bqkbnr/p1pp1p1p/2n5/1P2p1p1/8/1P4P1/P2PPP1P/RNBQKBNR w KQkq - 1 5,white,b8c6,minic,803,,803,,3,2026-09-13T23:14:20+00:00
1,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,22,,-22,,3,2026-09-13T23:14:20+00:00
1,1,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,black,e2e3,minic,5,,-5,,3,2026-09-13T23:14:20+00:00
