game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:34:50+00:00
0,1,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,white,g2g3,fly,-13,,-13,,1,2026-09-13T23:34:53+00:00
0,2,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,white,h7h5,minic,42,,42,,1,2026-09-13T23:34:53+00:00
1,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,30,,-30,,1,2026-09-13T23:34:53+00:00
1,1,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,black,f2f3,minic,-29,,29,,1,2026-09-13T23:34:53+00:00
1,2,rnbqkbnr/ppppppp1/8/7p/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,black,h7h5,fly,29,,-29,,1,2026-09-13T23:34:57+00:00
2,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:34:57+00:00
2,1,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,white,g2g3,fly,-13,,-13,,1,2026-09-13T23:34:59+00:00
2,2,rnbqkbnr/1ppppppp/p7/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,white,a7a6,minic,27,,27,,1,2026-09-13T23:34:59+00:00
3,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,30,,-30,,1,2026-09-13T23:34:59+00:00
3,1,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,black,b2b4,minic,-26,,26,,1,2026-09-13T23:34:59+00:00
3,2,rnbqkbnr/ppppppp1/8/7p/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,black,h7h5,fly,29,,-29,,1,2026-09-13T23:35:02+00:00
4,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:35:02+00:00
4,1,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,white,g2g3,fly,-13,,-13,,1,2026-09-13T23:35:05+00:00
4,2,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,white,g7g6,minic,20,,20,,1,2026-09-13T23:35:05+00:00
5,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,30,,-30,,1,2026-09-13T23:35:05+00:00
5,1,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,black,c2c4,minic,11,,-11,,1,2026-09-13T23:35:05+00:00
5,2,rnbqkbnr/ppppppp1/8/7p/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,black,h7h5,fly,79,,-79,,1,2026-09-13T23:35:08+00:00
6,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:35:08+00:00
6,1,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,white,g2g3,fly,-13,,-13,,1,2026-09-13T23:35:12+00:00
6,2,rnbqkbnr/ppppp1pp/5p2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,white,f7f6,minic,42,,42,,1,2026-09-13T23:35:12+00:00
7,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,30,,-30,,1,2026-09-13T23:35:12+00:00
7,1,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,black,b1c3,minic,-12,,12,,1,2026-09-13T23:35:12+00:00
7,2,rnbqkbnr/ppppppp1/8/7p/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,black,h7h5,fly,76,,-76,,1,2026-09-13T23:35:16+00:00
8,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:35:16+00:00
8,1,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,white,g2g3,fly,-13,,-13,,1,2026-09-13T23:35:20+00:00
8,2,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,white,c7c5,minic,1,,1,,1,2026-09-13T23:35:20+00:00
9,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,black,,,30,,-30,,1,2026-09-13T23:35:20+00:00
9,1,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,black,g1f3,minic,2,,-2,,1,2026-09-13T23:35:20+00:00
9,2,rnbqkbnr/ppppppp1/8/7p/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,black,h7h5,fly,74,,-74,,1,2026-09-13T23:35:23+00:00
10,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,,,30,,30,,1,2026-09-13T23:35:23+00:00
