game_index,opponent_engine,opponent_elo,fly_color,result,fly_score,plies,termination,final_fen,opponent_setting,opponent_requested_elo,opponent_calibrated_elo,fly_move_count,median_fly_move_latency_s,total_recurrent_passes,mean_candidate_score_margin,pgn
0,minic,310.12779874667655,white,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,2.6455888000200503,64,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. g3 h5 1/2-1/2"
1,minic,310.12779874667655,black,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,3.701865400013048,64,0.00034948159009218216,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. f3 h5 1/2-1/2"
2,minic,310.12779874667655,white,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/1ppppppp/p7/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,2.5425856999936514,64,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. g3 a6 1/2-1/2"
3,minic,310.12779874667655,black,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,2.6774447000352666,64,0.0003494825214147568,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. b4 h5 1/2-1/2"
4,minic,310.12779874667655,white,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,2.7135553000262007,64,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. g3 g6 1/2-1/2"
5,minic,310.12779874667655,black,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,3.510869799996726,64,0.00034948717802762985,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. c4 h5 1/2-1/2"
6,minic,310.12779874667655,white,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppp1pp/5p2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,4.145338299975265,64,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. g3 f6 1/2-1/2"
7,minic,310.12779874667655,black,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,3.3256458999821916,64,0.0003494834527373314,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. Nc3 h5 1/2-1/2"
8,minic,310.12779874667655,white,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,Level=0,310,310.12779874667655,1,3.7321651999955066,64,0.0013455897569656372,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. g3 c5 1/2-1/2"
9,minic,310.12779874667655,black,1/2-1/2,0.5,2,MAX_PLIES_ADJUDICATION,rnbqkbnr/ppppppp1/8/7p/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Level=0,310,310.12779874667655,1,3.6901195000391454,64,0.00034948159009218216,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[OpponentElo ""310.12779874667655""]

1. Nf3 h5 1/2-1/2"
