game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,,,739,,739,,1,2026-09-14T02:14:16+00:00
0,9,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP1P1/PPP2P1P/RNBQK1NR b KQkq - 0 5,white,g2g3,fly,-176,,-176,,1,2026-09-14T02:14:32+00:00
0,10,rn1qkb1r/2pppppp/1p3n2/p7/2b1B3/3PP1P1/PPP2P1P/RNBQK1NR w KQkq - 1 6,white,a6c4,minic,954,,954,,1,2026-09-14T02:14:32+00:00
1,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,black,,,739,,-739,,1,2026-09-14T02:14:32+00:00
1,9,rn1qkb1r/2pppppp/bp3nB1/p7/8/3PP3/PPP2PPP/RNBQK1NR b KQkq - 2 5,black,e4g6,minic,-873,,873,,1,2026-09-14T02:14:32+00:00
1,10,1n1qkb1r/r1pppppp/bp3nB1/p7/8/3PP3/PPP2PPP/RNBQK1NR w KQk - 3 6,black,a8a7,fly,-39,,39,,1,2026-09-14T02:14:47+00:00
2,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,white,,,-18,,-18,,1,2026-09-14T02:14:47+00:00
2,9,rnbqkbnr/1p2pppp/8/p1pp4/6P1/NP5P/P1PPPP2/R1BQKBNR b KQkq - 0 5,white,b2b3,fly,-96,,-96,,1,2026-09-14T02:14:59+00:00
2,10,rnbqkbnr/1p2pppp/8/2pp4/p5P1/NP5P/P1PPPP2/R1BQKBNR w KQkq - 0 6,white,a5a4,minic,-43,,-43,,1,2026-09-14T02:14:59+00:00
3,8,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,black,,,-18,,18,,1,2026-09-14T02:14:59+00:00
