game_index,opponent_engine,opponent_elo,fly_color,result,fly_score,plies,termination,final_fen,opponent_setting,opponent_requested_elo,opponent_calibrated_elo,fly_move_count,median_fly_move_latency_s,total_recurrent_passes,mean_candidate_score_margin,pgn,opening_id,start_fen
0,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rn1qkb1r/2pppppp/1p3n2/p7/2b1B3/3PP1P1/PPP2P1P/RNBQK1NR w KQkq - 1 6,Level=0,310,310.12779874667655,1,16.397302399971522,576,0.0009428802877664566,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_000""]

5. g3 Bc4 1/2-1/2",opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5
1,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1n1qkb1r/r1pppppp/bp3nB1/p7/8/3PP3/PPP2PPP/RNBQK1NR w KQk - 3 6,Level=0,310,310.12779874667655,1,14.774852800008375,416,0.004264822229743004,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_000""]

5. Bg6 Ra7 1/2-1/2",opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5
2,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnbqkbnr/1p2pppp/8/2pp4/p5P1/NP5P/P1PPPP2/R1BQKBNR w KQkq - 0 6,Level=0,310,310.12779874667655,1,11.49683089996688,304,6.207171827554703e-05,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_001""]

5. b3 a4 1/2-1/2",opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5
3,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1nbqkbnr/rp2pppp/8/p1pp4/6P1/N4P1P/PPPPP3/R1BQKBNR w KQk - 1 6,Level=0,310,310.12779874667655,1,13.645767800044268,464,0.004071570001542568,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_001""]

5. f3 Ra7 1/2-1/2",opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5
4,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1kbnr/pppp1p1p/2q3p1/4p3/2P4P/1P3PP1/P2PP3/RNBQKBNR w KQkq - 1 6,Level=0,310,310.12779874667655,1,11.956383200013079,352,0.001354600302875042,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_002""]

5. c4 Qc6 1/2-1/2",opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5
5,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1kbnr/pppp1p1p/5qp1/8/4p2P/1P3PP1/P1PPPK2/RNBQ1BNR w kq - 0 6,Level=0,310,310.12779874667655,1,20.70289590000175,608,0.0032885661348700523,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_002""]

5. Kf2 e4 1/2-1/2",opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5
6,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnbqk1nr/1ppp1ppp/4p3/p7/P7/1PP2P1P/3PP1P1/RNBQKBbR w KQkq - 0 6,Level=0,310,310.12779874667655,1,8.757933999993838,272,6.207358092069626e-05,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_003""]

5. b3 Bxg1 1/2-1/2",opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5
7,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnb1k1nr/1pppqppp/1b2p3/p7/P7/2P2P1P/1P1PP1PR/RNBQKBN1 w Qkq - 3 6,Level=0,310,310.12779874667655,1,12.823413799982518,480,0.0015117134898900986,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_003""]

5. Rh2 Qe7 1/2-1/2",opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5
8,minic,310.12779874667655,white,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,rnbqkbnr/3pp1p1/1pp2p2/p6p/2P5/4P1PP/PP1PKP2/RNBQ1BNR w kq - 0 6,Level=0,310,310.12779874667655,1,11.89303460001247,384,0.0009284541010856628,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""MaleCNS-RD""]
[Black ""minic""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_004""]

5. g3 c6 1/2-1/2",opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5
9,minic,310.12779874667655,black,1/2-1/2,0.5,10,MAX_PLIES_ADJUDICATION,1nbqkbnr/r1ppp1p1/1p3p2/p6p/2P5/1Q2P2P/PP1PKPP1/RNB2BNR w k - 2 6,Level=0,310,310.12779874667655,1,11.653208899952006,352,0.005552198737859726,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""minic""]
[Black ""MaleCNS-RD""]
[Result ""1/2-1/2""]
[FEN ""rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5""]
[SetUp ""1""]
[OpponentElo ""310.12779874667655""]
[Opening ""opening_004""]

5. Qb3 Ra7 1/2-1/2",opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5
