game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_000_opening_000_0,matchup_000,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1-0,1.0,51,0.1724570000078529,complete,,0
matchup_000_opening_000_1,matchup_000,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2890948999556713,complete,,0
matchup_000_opening_001_0,matchup_000,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.27717400004621595,complete,,1
matchup_000_opening_001_1,matchup_000,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2787270999979228,complete,,1
matchup_000_opening_002_0,matchup_000,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.27863580000121146,complete,,2
matchup_000_opening_002_1,matchup_000,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2628260999917984,complete,,2
matchup_000_opening_003_0,matchup_000,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2757799999671988,complete,,3
matchup_000_opening_003_1,matchup_000,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2712445000070147,complete,,3
matchup_000_opening_004_0,matchup_000,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.3235745999845676,complete,,4
matchup_000_opening_004_1,matchup_000,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.26965959998779,complete,,4
matchup_000_opening_005_0,matchup_000,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2738880999968387,complete,,5
matchup_000_opening_005_1,matchup_000,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.26700089999940246,complete,,5
matchup_000_opening_006_0,matchup_000,opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.268825699982699,complete,,6
matchup_000_opening_006_1,matchup_000,opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2733489000238478,complete,,6
matchup_000_opening_007_0,matchup_000,opening_007,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.28033989999676123,complete,,7
matchup_000_opening_007_1,matchup_000,opening_007,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2888523999718018,complete,,7
matchup_000_opening_008_0,matchup_000,opening_008,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.26048580004135147,complete,,8
matchup_000_opening_008_1,matchup_000,opening_008,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.28006189997540787,complete,,8
matchup_000_opening_009_0,matchup_000,opening_009,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2664626999758184,complete,,9
matchup_000_opening_009_1,matchup_000,opening_009,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.26063340000109747,complete,,9
matchup_000_opening_010_0,matchup_000,opening_010,rn1qkbnr/1pp1ppp1/p6p/3p1b2/2P2P2/P6N/1P1PP1PP/RNBQKB1R w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2674638999742456,complete,,10
matchup_000_opening_010_1,matchup_000,opening_010,rn1qkbnr/1pp1ppp1/p6p/3p1b2/2P2P2/P6N/1P1PP1PP/RNBQKB1R w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.26287689997116104,complete,,10
matchup_000_opening_011_0,matchup_000,opening_011,r1bqkbnr/pp1p2pp/n1p1p3/5p2/P2P1B2/8/1PP1PPPP/RN1QKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2829498000210151,complete,,11
matchup_000_opening_011_1,matchup_000,opening_011,r1bqkbnr/pp1p2pp/n1p1p3/5p2/P2P1B2/8/1PP1PPPP/RN1QKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.27069989999290556,complete,,11
matchup_000_opening_012_0,matchup_000,opening_012,r1bqkbnr/ppppppp1/8/7p/Q1P3P1/1P1n4/P2PPP1P/RNB1KBNR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2566917999647558,complete,,12
matchup_000_opening_012_1,matchup_000,opening_012,r1bqkbnr/ppppppp1/8/7p/Q1P3P1/1P1n4/P2PPP1P/RNB1KBNR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.25003739999374375,complete,,12
matchup_000_opening_013_0,matchup_000,opening_013,rnbqkbnr/ppp3pp/4pp2/3p4/8/2PP4/PP2PPPP/RNBQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2699460999574512,complete,,13
matchup_000_opening_013_1,matchup_000,opening_013,rnbqkbnr/ppp3pp/4pp2/3p4/8/2PP4/PP2PPPP/RNBQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.27704029995948076,complete,,13
matchup_000_opening_014_0,matchup_000,opening_014,rnbqk1nr/ppppp2p/6pb/8/2P2pPP/P7/1P1PPP2/RNBQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2796449000015855,complete,,14
matchup_000_opening_014_1,matchup_000,opening_014,rnbqk1nr/ppppp2p/6pb/8/2P2pPP/P7/1P1PPP2/RNBQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.3027374000521377,complete,,14
matchup_000_opening_015_0,matchup_000,opening_015,rnb1kbnr/1ppp1pp1/8/p2Pp2p/4P2q/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.33665620000101626,complete,,15
matchup_000_opening_015_1,matchup_000,opening_015,rnb1kbnr/1ppp1pp1/8/p2Pp2p/4P2q/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.3097035000100732,complete,,15
matchup_000_opening_016_0,matchup_000,opening_016,rn1qkbnr/p2pppp1/b7/1pP4p/5P2/8/PPP1PKPP/RNBQ1BNR w kq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2944318000227213,complete,,16
matchup_000_opening_016_1,matchup_000,opening_016,rn1qkbnr/p2pppp1/b7/1pP4p/5P2/8/PPP1PKPP/RNBQ1BNR w kq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2660704999580048,complete,,16
matchup_000_opening_017_0,matchup_000,opening_017,rnbqkbnr/p1p3pp/1p1pp3/5pP1/P3P3/8/1PPP1P1P/RNBQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.266468099958729,complete,,17
matchup_000_opening_017_1,matchup_000,opening_017,rnbqkbnr/p1p3pp/1p1pp3/5pP1/P3P3/8/1PPP1P1P/RNBQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2706991999875754,complete,,17
matchup_000_opening_018_0,matchup_000,opening_018,rnbqkb1r/ppp2ppp/3pp3/3P1n2/8/6PP/PPP1PP2/RNBQKBNR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2951785999466665,complete,,18
matchup_000_opening_018_1,matchup_000,opening_018,rnbqkb1r/ppp2ppp/3pp3/3P1n2/8/6PP/PPP1PP2/RNBQKBNR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.26875920000020415,complete,,18
matchup_000_opening_019_0,matchup_000,opening_019,rnb1kbnr/1pqppp1p/2p5/p5p1/3P4/1QP4P/PP2PPP1/RNB1KBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.26215379999484867,complete,,19
matchup_000_opening_019_1,matchup_000,opening_019,rnb1kbnr/1pqppp1p/2p5/p5p1/3P4/1QP4P/PP2PPP1/RNB1KBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2555543000344187,complete,,19
matchup_001_opening_000_0,matchup_001,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.28720589994918555,complete,,0
matchup_001_opening_000_1,matchup_001,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2526333999703638,complete,,0
matchup_001_opening_001_0,matchup_001,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2465727999806404,complete,,1
matchup_001_opening_001_1,matchup_001,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2682526999851689,complete,,1
matchup_001_opening_002_0,matchup_001,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2589748000027612,complete,,2
matchup_001_opening_002_1,matchup_001,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.282734900014475,complete,,2
matchup_001_opening_003_0,matchup_001,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2700487999827601,complete,,3
matchup_001_opening_003_1,matchup_001,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.269816100015305,complete,,3
matchup_001_opening_004_0,matchup_001,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.24128510005539283,complete,,4
matchup_001_opening_004_1,matchup_001,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2738505000015721,complete,,4
matchup_001_opening_005_0,matchup_001,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.24919659999432042,complete,,5
matchup_001_opening_005_1,matchup_001,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.26521159999538213,complete,,5
matchup_001_opening_006_0,matchup_001,opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.26579380000475794,complete,,6
matchup_001_opening_006_1,matchup_001,opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2719585000304505,complete,,6
matchup_001_opening_007_0,matchup_001,opening_007,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.25015239999629557,complete,,7
matchup_001_opening_007_1,matchup_001,opening_007,rn1qkb1r/ppp1p1pp/3p1n2/5p2/1P6/2N2PPb/P1PPP2P/R1BQKBNR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2562257999670692,complete,,7
matchup_001_opening_008_0,matchup_001,opening_008,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.25747980002779514,complete,,8
