game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_000_opening_000_0,matchup_000,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.32827489997725934,complete,,0
matchup_000_opening_000_1,matchup_000,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.3424028999870643,complete,,0
matchup_000_opening_001_0,matchup_000,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=0,minic,Level=1,1/2-1/2,0.5,80,0.2966193000320345,complete,,1
matchup_000_opening_001_1,matchup_000,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=1,minic,Level=0,1/2-1/2,0.5,80,0.2971701000351459,complete,,1
matchup_001_opening_000_0,matchup_001,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2881217999965884,complete,,0
matchup_001_opening_000_1,matchup_001,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2676449000136927,complete,,0
matchup_001_opening_001_0,matchup_001,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,0-1,0.0,64,0.1901130999904126,complete,,1
matchup_001_opening_001_1,matchup_001,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.27938050002558157,complete,,1
matchup_002_opening_000_0,matchup_002,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=2,minic,Level=3,1-0,1.0,65,0.22945619997335598,complete,,0
matchup_002_opening_000_1,matchup_002,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.2868743999861181,complete,,0
matchup_002_opening_001_0,matchup_002,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.3188378000049852,complete,,1
matchup_002_opening_001_1,matchup_002,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.27404119999846444,complete,,1
matchup_003_opening_000_0,matchup_003,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=3,minic,Level=4,1/2-1/2,0.5,80,0.2998445999692194,complete,,0
matchup_003_opening_000_1,matchup_003,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=4,minic,Level=3,1/2-1/2,0.5,80,0.27718560001812875,complete,,0
matchup_003_opening_001_0,matchup_003,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=3,minic,Level=4,1/2-1/2,0.5,80,0.2714327999856323,complete,,1
matchup_003_opening_001_1,matchup_003,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=4,minic,Level=3,1/2-1/2,0.5,80,0.30074039997998625,complete,,1
matchup_004_opening_000_0,matchup_004,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=4,minic,Level=5,1/2-1/2,0.5,80,0.3000589999719523,complete,,0
matchup_004_opening_000_1,matchup_004,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=5,minic,Level=4,1/2-1/2,0.5,80,0.3019810999976471,complete,,0
matchup_004_opening_001_0,matchup_004,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=4,minic,Level=5,1/2-1/2,0.5,80,0.27934269997058436,complete,,1
matchup_004_opening_001_1,matchup_004,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=5,minic,Level=4,1/2-1/2,0.5,80,0.28021569998236373,complete,,1
matchup_005_opening_000_0,matchup_005,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=5,minic,Level=6,1/2-1/2,0.5,80,0.3171841999865137,complete,,0
matchup_005_opening_000_1,matchup_005,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=6,minic,Level=5,1/2-1/2,0.5,80,0.2710378000047058,complete,,0
matchup_005_opening_001_0,matchup_005,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=5,minic,Level=6,1/2-1/2,0.5,80,0.27917320001870394,complete,,1
matchup_005_opening_001_1,matchup_005,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=6,minic,Level=5,1/2-1/2,0.5,80,0.32327260001329705,complete,,1
matchup_006_opening_000_0,matchup_006,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=6,minic,Level=7,1/2-1/2,0.5,80,0.3960493999766186,complete,,0
matchup_006_opening_000_1,matchup_006,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=7,minic,Level=6,1/2-1/2,0.5,80,0.3293866000021808,complete,,0
matchup_006_opening_001_0,matchup_006,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=6,minic,Level=7,1/2-1/2,0.5,80,0.32095149997621775,complete,,1
matchup_006_opening_001_1,matchup_006,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=7,minic,Level=6,1/2-1/2,0.5,80,0.2725312000256963,complete,,1
