engine,setting,raw_calibrated_elo,monotonic_calibrated_elo,mcr0,ci95_low,ci95_high,games,wins,draws,losses
gaia,Skill Level=1,580.0,580.0,140.29607061241921,580.0,580.0,24,13,11,0
minic,Level=0,439.7039293875808,421.51936035916003,0.0,417.80628271441776,449.7483494275585,8,0,8,0
minic,Level=1,439.70455816837375,421.51936035916003,0.0006287807929652445,387.3276910976477,480.226846900712,8,0,7,1
minic,Level=10,425.04676447813756,421.51936035916003,-14.657164909443225,417.8066971242966,425.04676447813455,16,0,15,1
minic,Level=11,425.04699822476164,421.51936035916003,-14.656931162819149,417.80665206438897,425.04699822475743,8,0,8,0
minic,Level=12,425.0473850966713,421.51936035916003,-14.656544290909494,417.8067514371141,425.0473850966686,8,0,8,0
minic,Level=13,425.0476812821277,421.51936035916003,-14.656248105453074,417.80673567374015,425.0476812821276,8,0,8,0
minic,Level=14,425.0474060315509,421.51936035916003,-14.65652335602988,417.80671842373056,425.0474060315523,8,0,8,0
minic,Level=15,425.04698270600545,421.51936035916003,-14.656946681575334,417.8066382906539,425.0469827060048,16,0,15,1
minic,Level=16,483.3588395339794,421.51936035916003,43.654910146398606,419.26854628167274,536.9793602274914,8,1,6,1
minic,Level=17,541.6712590703293,421.51936035916003,101.96732968274847,419.2682811199371,656.1520221156784,8,1,7,0
minic,Level=18,512.5151901452962,421.51936035916003,72.81126075771539,419.2680493736836,596.565661964606,8,0,8,0
minic,Level=19,483.35909874739485,421.51936035916003,43.65516935981407,419.26799719467493,536.9793194147373,8,0,8,0
minic,Level=2,528.4443582511733,421.51936035916003,88.74042886359251,510.7051845003138,539.720064128502,8,2,6,0
minic,Level=20,454.2026749997459,421.51936035916003,14.498745612165123,419.2682818481344,477.39293598400434,20,0,20,0
minic,Level=21,404.11487068187506,421.51936035916003,-35.589058705705725,388.9831213741004,407.4864141034593,8,0,8,0
minic,Level=22,354.02669843802954,421.51936035916003,-85.67723094955124,337.58016040842216,358.69803082767265,12,0,9,3
minic,Level=23,366.1510377414779,421.51936035916003,-73.55289164610286,306.26690740526897,407.486336578332,8,0,8,0
minic,Level=24,378.27518229169516,421.51936035916003,-61.428747095885626,253.83594822120003,477.3929514570417,12,0,10,2
minic,Level=25,382.36547748756277,421.51936035916003,-57.338451900018015,294.1682199250856,446.5660949583636,16,0,16,0
minic,Level=26,328.5735888712825,421.51936035916003,-111.1303405162983,298.2603130501258,337.7488519074206,12,0,9,3
minic,Level=27,320.66022951606635,421.51936035916003,-119.04369987151443,242.78944480201105,370.5156934059244,8,0,8,0
minic,Level=28,312.7470107869605,421.51936035916003,-126.95691860062027,187.31811833487552,403.2818299160704,12,0,9,3
minic,Level=29,340.8656650661369,421.51936035916003,-98.83826432144389,197.94808743741902,446.9925535429969,8,0,8,0
minic,Level=3,439.7045581683737,421.51936035916003,0.000628780792908401,358.31250867148674,509.24162410334094,8,0,7,1
minic,Level=30,368.98421695164166,421.51936035916003,-70.71971243593913,208.57740164312918,490.70255012994534,12,0,10,2
minic,Level=4,439.7039293875808,421.51936035916003,0.0,388.79087167526,478.76328896454766,8,0,8,0
minic,Level=5,439.7031356457708,421.51936035916003,-0.0007937418100141258,419.26923653953844,448.2847093350311,16,0,16,0
minic,Level=6,454.3582104041719,421.51936035916003,14.654281016591142,419.26915208864784,478.7633907023488,8,0,8,0
minic,Level=7,469.01353430008237,421.51936035916003,29.309604912501584,419.26898285298125,509.2418757174899,8,0,8,0
minic,Level=8,483.66935217383156,421.51936035916003,43.96542278625077,419.2687117724609,539.7204327709252,8,0,8,0
minic,Level=9,498.3255084846754,421.51936035916003,58.62157909709464,419.2686405399991,570.1988870563825,8,1,7,0
