control_variant,depth,source_groups,positions,mean_did_cp,ordinary_ci_low_cp,ordinary_ci_high_cp,cluster_ci_low_cp,cluster_ci_high_cp
degree_preserving_topology_shuffle,2,20,140,86.62142857142857,19.05892857142857,157.32982142857142,-10.05625,179.50196428571417
degree_preserving_topology_shuffle,4,20,140,-647.5428571428571,-2099.4960714285717,113.60107142857134,-2101.17,120.63053571428563
degree_preserving_topology_shuffle,8,20,140,-771.2642857142857,-2223.766964285714,0.6914285714285403,-2183.6491071428572,-4.338214285714428
degree_preserving_topology_shuffle,16,20,140,-698.9285714285714,-2165.9092857142855,65.18839285714284,-2156.218214285714,66.32999999999969
degree_preserving_topology_shuffle,32,20,140,-753.0071428571429,-2212.9957142857143,12.709107142857132,-2198.294821428571,12.551785714285666
degree_preserving_topology_shuffle,64,20,140,-778.6785714285714,-2856.7167857142854,-10.028214285714327,-2222.3982142857144,-3.864107142857144
transmitter_sign_shuffle,2,20,140,27.728571428571428,-34.489464285714284,93.23285714285709,-55.74035714285714,113.42571428571418
transmitter_sign_shuffle,4,20,140,-691.7928571428571,-2139.9575,64.5944642857142,-2148.716071428571,90.77999999999999
transmitter_sign_shuffle,8,20,140,-677.1857142857143,-2126.597321428572,75.27303571428558,-2141.8510714285717,101.30982142857142
transmitter_sign_shuffle,16,20,140,-709.9428571428572,-2175.052857142857,47.16053571428562,-2183.29375,66.22214285714269
transmitter_sign_shuffle,32,20,140,-782.3071428571428,-2232.725535714286,-16.977500000000084,-2255.9266071428574,17.557499999999997
transmitter_sign_shuffle,64,20,140,-807.9785714285714,-2881.5474999999997,-44.239821428571446,-2265.1073214285716,-19.08357142857144
recurrent_edges_attenuated_0.05,2,20,140,0.0,0.0,0.0,0.0,0.0
recurrent_edges_attenuated_0.05,4,20,140,-719.95,-2153.803214285714,10.894464285714276,-2151.6487500000003,16.52803571428568
recurrent_edges_attenuated_0.05,8,20,140,-703.0285714285715,-2147.0667857142857,40.939999999999976,-2143.7741071428572,52.07178571428571
recurrent_edges_attenuated_0.05,16,20,140,-735.7857142857143,-2188.531607142857,12.38267857142855,-2177.5716071428574,13.369107142857079
recurrent_edges_attenuated_0.05,32,20,140,-808.15,-2254.503035714286,-52.57535714285716,-2263.1185714285716,-42.15660714285715
recurrent_edges_attenuated_0.05,64,20,140,-833.8214285714286,-2898.8360714285714,-66.21803571428573,-2278.4601785714285,-46.9103571428572
