variant,depth,source_groups,positions,mean_regret_cp,ordinary_ci_low_cp,ordinary_ci_high_cp,cluster_ci_low_cp,cluster_ci_high_cp,paired_improvement_cp,paired_ordinary_ci_low_cp,paired_ordinary_ci_high_cp,paired_cluster_ci_low_cp,paired_cluster_ci_high_cp
original,1,20,140,581.3857142857142,501.80642857142857,661.7216071428571,481.9801785714286,688.046607142857,,,,,
original,2,20,140,570.5071428571429,490.84785714285715,646.7080357142858,488.8383928571429,649.9057142857142,10.878571428571428,-59.40392857142857,80.25017857142858,-92.48410714285714,106.32982142857138
original,4,20,140,1310.7928571428572,536.3578571428571,2802.8941071428567,525.1896428571429,2787.34,-729.4071428571428,-2196.62625,25.068571428571403,-2186.4548214285714,45.0003571428571
original,8,20,140,1295.7357142857143,520.14,2782.3746428571426,518.2664285714286,2779.554642857143,-714.35,-2167.8630357142856,39.02678571428569,-2180.493571428571,48.717857142857085
original,16,20,140,1328.4928571428572,557.6878571428571,2802.438214285714,553.4930357142857,2816.5382142857143,-747.1071428571429,-2212.3858928571426,1.6419642857142516,-2198.5173214285714,16.467321428571335
original,32,20,140,1400.857142857143,627.4123214285714,2880.850178571428,612.9951785714286,2892.354464285714,-819.4714285714285,-2271.6116071428573,-60.4783928571429,-2270.625535714286,-40.492321428571515
original,64,20,140,1426.5285714285715,651.89875,2906.16125,635.7873214285714,2904.3096428571425,-845.1428571428571,-2307.097142857143,-87.40696428571441,-2298.192857142857,-72.28892857142874
degree_preserving_topology_shuffle,1,20,140,581.3857142857142,501.6307142857143,659.7755357142856,479.3591071428571,683.2435714285714,,,,,
degree_preserving_topology_shuffle,2,20,140,657.1285714285714,576.12375,736.4035714285714,566.9948214285714,748.3371428571428,-75.74285714285715,-135.9417857142857,-23.006607142857224,-148.25017857142856,-7.804285714285729
degree_preserving_topology_shuffle,4,20,140,663.25,582.6192857142856,747.9939285714286,585.7964285714286,746.03125,-81.86428571428571,-138.2017857142857,-30.140892857142866,-155.1467857142857,-16.998392857142864
degree_preserving_topology_shuffle,8,20,140,524.4714285714285,442.4896428571429,606.95625,408.99267857142854,640.415,56.91428571428571,-41.488392857142856,157.5448214285713,-101.0755357142857,209.87071428571423
degree_preserving_topology_shuffle,16,20,140,629.5642857142857,554.3139285714285,706.24,544.7326785714286,729.9894642857142,-48.17857142857143,-117.84678571428572,16.079821428571304,-142.28732142857143,41.06196428571422
degree_preserving_topology_shuffle,32,20,140,647.85,569.4416071428572,734.8012499999999,552.5294642857142,744.4541071428572,-66.46428571428571,-139.90946428571428,7.180357142857094,-170.33160714285717,32.937857142857126
degree_preserving_topology_shuffle,64,20,140,647.85,563.8735714285714,732.8417857142856,548.6344642857142,752.5430357142857,-66.46428571428571,-140.12446428571428,5.544464285714238,-174.88392857142858,31.152499999999986
transmitter_sign_shuffle,1,20,140,581.3857142857142,501.9576785714286,661.9333928571428,480.3594642857143,689.6042857142858,,,,,
transmitter_sign_shuffle,2,20,140,598.2357142857143,520.1707142857143,679.6457142857142,505.9817857142857,694.0517857142856,-16.85,-76.10517857142857,40.65785714285714,-104.43785714285714,66.07499999999997
transmitter_sign_shuffle,4,20,140,619.0,542.88,699.7239285714285,524.4489285714286,715.0114285714286,-37.614285714285714,-96.80107142857142,18.243571428571425,-119.19303571428571,40.69053571428561
transmitter_sign_shuffle,8,20,140,618.55,539.6107142857143,697.4732142857142,519.9610714285714,714.1760714285714,-37.16428571428571,-98.78160714285714,22.672499999999992,-115.40803571428572,43.23160714285712
transmitter_sign_shuffle,16,20,140,618.55,535.5912500000001,698.3183928571427,526.9028571428571,711.4689285714286,-37.16428571428571,-96.57946428571428,20.903214285714267,-119.82160714285715,42.83035714285713
transmitter_sign_shuffle,32,20,140,618.55,537.3589285714286,703.1276785714285,522.7346428571428,719.785357142857,-37.16428571428571,-99.03214285714286,21.193928571428565,-116.15089285714285,41.327857142857106
transmitter_sign_shuffle,64,20,140,618.55,534.4782142857142,701.8773214285715,523.5248214285714,722.3485714285714,-37.16428571428571,-95.8094642857143,20.859464285714274,-123.03517857142857,42.40232142857138
recurrent_edges_attenuated_0.05,1,20,140,581.3857142857142,499.8203571428571,665.6621428571428,481.96892857142853,684.6075,,,,,
recurrent_edges_attenuated_0.05,2,20,140,570.5071428571429,496.02982142857144,650.0173214285713,489.0642857142857,654.4101785714284,10.878571428571428,-59.40392857142857,80.25017857142858,-92.48410714285714,106.32982142857138
recurrent_edges_attenuated_0.05,4,20,140,590.8428571428572,511.4042857142857,671.0139285714284,510.55749999999995,669.1399999999999,-9.457142857142857,-83.09642857142858,61.19803571428569,-115.24321428571429,82.87499999999997
recurrent_edges_attenuated_0.05,8,20,140,592.7071428571429,516.3846428571428,671.8707142857143,520.2541071428572,667.2225,-11.321428571428571,-85.17232142857144,62.81892857142855,-115.06107142857144,83.38017857142844
recurrent_edges_attenuated_0.05,16,20,140,592.7071428571429,516.9157142857143,674.6723214285714,513.98,670.8614285714285,-11.321428571428571,-88.05178571428571,58.435714285714205,-107.0975,82.44535714285712
recurrent_edges_attenuated_0.05,32,20,140,592.7071428571429,515.7342857142856,675.7448214285714,516.5291071428572,668.2008928571429,-11.321428571428571,-86.77285714285713,60.40803571428567,-111.82964285714284,81.40642857142855
recurrent_edges_attenuated_0.05,64,20,140,592.7071428571429,514.3382142857143,676.1014285714285,517.2403571428571,665.0385714285715,-11.321428571428571,-85.8405357142857,61.227678571428534,-117.2025,82.6699999999999
