position_id,source_game_id,phase,node_budget,best_move,best_cp,candidate_count,agreement_with_max_nodes,cp_delta_from_max_nodes
dev_source_000_offset_12,dev_source_000,middle,1000,d3d4,44.0,26,0,-4.0
dev_source_000_offset_12,dev_source_000,middle,10000,d3c4,41.0,26,1,-7.0
dev_source_000_offset_12,dev_source_000,middle,50000,d3c4,48.0,26,1,0.0
dev_source_002_offset_12,dev_source_002,middle,1000,e2e1,31.0,23,0,56.0
dev_source_002_offset_12,dev_source_002,middle,10000,d2d4,4.0,23,0,29.0
dev_source_002_offset_12,dev_source_002,middle,50000,f2f4,-25.0,23,1,0.0
dev_source_004_offset_12,dev_source_004,middle,1000,a6e2,197.0,33,0,72.0
dev_source_004_offset_12,dev_source_004,middle,10000,a6b5,126.0,33,1,1.0
dev_source_004_offset_12,dev_source_004,middle,50000,a6b5,125.0,33,1,0.0
dev_source_006_offset_12,dev_source_006,middle,1000,e2e4,-37.0,22,0,33.0
dev_source_006_offset_12,dev_source_006,middle,10000,f1g2,-86.0,22,0,-16.0
dev_source_006_offset_12,dev_source_006,middle,50000,e2e3,-70.0,22,1,0.0
dev_source_008_offset_12,dev_source_008,middle,1000,b4b5,-16.0,29,1,48.0
dev_source_008_offset_12,dev_source_008,middle,10000,b4b5,-32.0,29,1,32.0
dev_source_008_offset_12,dev_source_008,middle,50000,b4b5,-64.0,29,1,0.0
dev_source_010_offset_12,dev_source_010,middle,1000,e4f5,664.0,24,1,-264.0
dev_source_010_offset_12,dev_source_010,middle,10000,e4f5,890.0,24,1,-38.0
dev_source_010_offset_12,dev_source_010,middle,50000,e4f5,928.0,24,1,0.0
dev_source_012_offset_12,dev_source_012,middle,1000,e6d8,891.0,35,1,-22.0
dev_source_012_offset_12,dev_source_012,middle,10000,e6d8,950.0,35,1,37.0
dev_source_012_offset_12,dev_source_012,middle,50000,e6d8,913.0,35,1,0.0
dev_source_014_offset_12,dev_source_014,middle,1000,g1h3,671.0,24,0,146.0
dev_source_014_offset_12,dev_source_014,middle,10000,h4g5,561.0,24,1,36.0
dev_source_014_offset_12,dev_source_014,middle,50000,h4g5,525.0,24,1,0.0
dev_source_016_offset_12,dev_source_016,middle,1000,e2h5,319.0,27,1,247.0
dev_source_016_offset_12,dev_source_016,middle,10000,e2h5,58.0,27,1,-14.0
dev_source_016_offset_12,dev_source_016,middle,50000,e2h5,72.0,27,1,0.0
dev_source_018_offset_12,dev_source_018,middle,1000,f3e5,355.0,29,1,-76.0
dev_source_018_offset_12,dev_source_018,middle,10000,f3e5,454.0,29,1,23.0
dev_source_018_offset_12,dev_source_018,middle,50000,f3e5,431.0,29,1,0.0
dev_source_020_offset_12,dev_source_020,middle,1000,c4e2,-48.0,33,0,50.0
dev_source_020_offset_12,dev_source_020,middle,10000,c4e2,-47.0,33,0,51.0
dev_source_020_offset_12,dev_source_020,middle,50000,c4b5,-98.0,33,1,0.0
dev_source_022_offset_12,dev_source_022,middle,1000,f4f5,-56.0,25,0,20.0
dev_source_022_offset_12,dev_source_022,middle,10000,f4f5,-48.0,25,0,28.0
dev_source_022_offset_12,dev_source_022,middle,50000,h3g5,-76.0,25,1,0.0
dev_source_024_offset_12,dev_source_024,middle,1000,f1e2,98.0,32,0,7.0
dev_source_024_offset_12,dev_source_024,middle,10000,h3f2,85.0,32,0,-6.0
dev_source_024_offset_12,dev_source_024,middle,50000,d2d4,91.0,32,1,0.0
dev_source_026_offset_12,dev_source_026,middle,1000,h2h4,103.0,26,0,-6.0
dev_source_026_offset_12,dev_source_026,middle,10000,g1e2,78.0,26,0,-31.0
dev_source_026_offset_12,dev_source_026,middle,50000,e4e5,109.0,26,1,0.0
dev_source_028_offset_12,dev_source_028,middle,1000,g4g5,-49.0,24,0,9.0
dev_source_028_offset_12,dev_source_028,middle,10000,f1h3,-48.0,24,0,10.0
dev_source_028_offset_12,dev_source_028,middle,50000,c2c4,-58.0,24,1,0.0
dev_source_030_offset_12,dev_source_030,middle,1000,d2e1,-44.0,29,1,32.0
dev_source_030_offset_12,dev_source_030,middle,10000,d2e1,-119.0,29,1,-43.0
dev_source_030_offset_12,dev_source_030,middle,50000,d2e1,-76.0,29,1,0.0
dev_source_032_offset_12,dev_source_032,middle,1000,e2e4,5.0,31,0,-14.0
dev_source_032_offset_12,dev_source_032,middle,10000,e2e4,8.0,31,0,-11.0
dev_source_032_offset_12,dev_source_032,middle,50000,g1f3,19.0,31,1,0.0
dev_source_034_offset_12,dev_source_034,middle,1000,e2e4,155.0,39,1,19.0
dev_source_034_offset_12,dev_source_034,middle,10000,e2e4,103.0,39,1,-33.0
dev_source_034_offset_12,dev_source_034,middle,50000,e2e4,136.0,39,1,0.0
dev_source_036_offset_12,dev_source_036,middle,1000,f3c3,19.0,42,1,-7.0
dev_source_036_offset_12,dev_source_036,middle,10000,f3c3,41.0,42,1,15.0
dev_source_036_offset_12,dev_source_036,middle,50000,f3c3,26.0,42,1,0.0
dev_source_038_offset_12,dev_source_038,middle,1000,b4b5,29.0,25,1,22.0
dev_source_038_offset_12,dev_source_038,middle,10000,b4b5,17.0,25,1,10.0
dev_source_038_offset_12,dev_source_038,middle,50000,b4b5,7.0,25,1,0.0
dev_source_040_offset_12,dev_source_040,middle,1000,g1f3,227.0,21,1,82.0
dev_source_040_offset_12,dev_source_040,middle,10000,e2e3,169.0,21,0,24.0
dev_source_040_offset_12,dev_source_040,middle,50000,g1f3,145.0,21,1,0.0
dev_source_042_offset_12,dev_source_042,middle,1000,a4b4,188.0,30,0,69.0
dev_source_042_offset_12,dev_source_042,middle,10000,e2c3,116.0,30,0,-3.0
dev_source_042_offset_12,dev_source_042,middle,50000,d2d4,119.0,30,1,0.0
dev_source_044_offset_12,dev_source_044,middle,1000,c4e5,158.0,30,1,76.0
dev_source_044_offset_12,dev_source_044,middle,10000,c4e5,92.0,30,1,10.0
dev_source_044_offset_12,dev_source_044,middle,50000,c4e5,82.0,30,1,0.0
dev_source_046_offset_12,dev_source_046,middle,1000,e4d6,637.0,27,0,-281.0
dev_source_046_offset_12,dev_source_046,middle,10000,d2c3,835.0,27,1,-83.0
dev_source_046_offset_12,dev_source_046,middle,50000,d2c3,918.0,27,1,0.0
dev_source_048_offset_12,dev_source_048,middle,1000,h4f3,-20.0,24,1,-88.0
dev_source_048_offset_12,dev_source_048,middle,10000,h4f3,68.0,24,1,0.0
dev_source_048_offset_12,dev_source_048,middle,50000,h4f3,68.0,24,1,0.0
