stage,position_id,depth,top1_correct,regret_cp
movement,movement_0360,4,0,200.0
movement,movement_0360,8,0,200.0
movement,movement_0360,16,0,200.0
movement,movement_0361,4,1,0.0
movement,movement_0361,8,1,0.0
movement,movement_0361,16,1,0.0
endgames,endgames_0320,4,1,0.0
endgames,endgames_0320,8,0,193.0
endgames,endgames_0320,16,0,193.0
endgames,endgames_0321,4,0,38.0
endgames,endgames_0321,8,1,0.0
endgames,endgames_0321,16,1,0.0
tactics,1007,4,0,171.0
tactics,1007,8,0,171.0
tactics,1007,16,0,171.0
tactics,1060,4,1,0.0
tactics,1060,8,1,0.0
tactics,1060,16,1,0.0
mates,1023,4,0,2.0
mates,1023,8,0,2.0
mates,1023,16,0,2.0
mates,1086,4,0,99675.0
mates,1086,8,0,99675.0
mates,1086,16,0,99675.0
