step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
0,movement,movement_0000,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.0037882842739990264,0.07576568547998053,0.07576568547998053,1,,0,frozen,curriculum,,0.0,174.49804650002625
1,movement,movement_0001,h7f6,100.0,100.0,0.0,1.0,0.05359887006029908,0.996211715726001,0.996211715726001,1,,1,frozen,curriculum,,0.0,181.99752230010927
2,movement,movement_0002,b4d2,100.0,100.0,0.0,1.0,0.10091892655728413,0.9464011299397009,0.9464011299397009,1,,1,frozen,curriculum,,0.0,189.4244421001058
3,movement,movement_0003,b4b3,100.0,100.0,0.0,1.0,0.1458729802294199,0.8990810734427159,0.8990810734427159,1,,1,frozen,curriculum,,0.0,199.22743760002777
4,movement,movement_0004,g7a7,100.0,100.0,0.0,1.0,0.1885793312179489,0.8541270197705801,0.8541270197705801,1,,1,frozen,curriculum,,0.0,209.26211170002352
5,movement,movement_0005,b1b2,100.0,100.0,0.0,1.0,0.22915036465705146,0.8114206687820511,0.8114206687820511,1,,1,frozen,curriculum,,0.0,217.2329624000704
6,endgames,endgames_0000,h3b3,527.0,484.0,43.0,0.7858243873955268,0.25698406579397526,0.5566740227384754,0.5566740227384754,1,,0,frozen,curriculum,,0.0,231.921873500105
7,endgames,endgames_0001,e2d2,522.0,505.0,17.0,0.9150511401349036,0.2898874195110217,0.6580670743409284,0.6580670743409284,1,,0,frozen,curriculum,,0.0,236.49123260006309
8,endgames,endgames_0002,c4b3,486.0,471.0,15.0,0.9250351364858591,0.32164480535976353,0.6351477169748374,0.6351477169748374,1,,0,frozen,curriculum,,0.0,242.4561803000979
9,endgames,endgames_0003,c8a8,435.0,435.0,0.0,1.0,0.3555625650917753,0.6783551946402364,0.6783551946402364,1,,1,frozen,curriculum,,0.0,248.40549360006116
10,endgames,endgames_0004,c3c2,573.0,573.0,0.0,1.0,0.3877844368371865,0.6444374349082247,0.6444374349082247,1,,1,frozen,curriculum,,0.0,252.72679340001196
11,endgames,endgames_0005,b6b3,489.0,474.0,15.0,0.9250351364858591,0.4146469718196201,0.5372506996486726,0.5372506996486726,1,,0,frozen,curriculum,,0.0,256.6493182000704
12,endgames,movement_0000,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.39770290750263815,-0.3388812863396396,-0.3388812863396396,1,,0,frozen,replay,,0.0,263.5146533000516
13,endgames,movement_0003,b4b3,100.0,100.0,0.0,1.0,0.4278177621275062,0.6022970924973619,0.6022970924973619,1,,1,frozen,replay,,0.0,272.0734954000218
14,tactics,1004,b6a5,649.0,-918.0,1567.0,-0.9984180566240071,0.3565059711899305,-1.4262358187515134,-1.4262358187515134,1,,0,frozen,curriculum,,0.0,286.1798531000968
15,tactics,1006,g2g4,-20.0,-834.0,814.0,-0.9328374076527448,0.2920388022477967,-1.2893433788426754,-1.2893433788426754,1,,0,frozen,curriculum,,0.0,292.60760410001967
16,tactics,1022,h6g5,-109.0,-109.0,0.0,1.0,0.32743686213540685,0.7079611977522033,0.7079611977522033,1,,1,frozen,curriculum,,0.0,296.884160400019
17,tactics,1046,b7b3,431.0,-1029.0,1460.0,-0.9972996690774687,0.261200035574763,-1.3247365312128756,-1.3247365312128756,1,,0,frozen,curriculum,,0.0,301.296430000104
18,tactics,1048,d4e3,0.0,-92.0,92.0,0.5479432954426581,0.2755371985681577,0.28674325986789506,0.28674325986789506,1,,0,frozen,curriculum,,0.0,305.14773160009645
19,tactics,1065,g1f3,133.0,53.0,80.0,0.605249359550192,0.29202280661725943,0.32971216098203426,0.32971216098203426,1,,0,frozen,curriculum,,0.0,310.07905090006534
20,tactics,endgames_0002,c4b3,486.0,471.0,15.0,0.9250351364858591,0.3236734231106894,0.6330123298685997,0.6330123298685997,1,,0,frozen,replay,,0.0,314.29038340004627
21,tactics,endgames_0005,b6b3,489.0,474.0,15.0,0.9250351364858591,0.3537415087794479,0.6013617133751696,0.6013617133751696,1,,0,frozen,replay,,0.0,320.0140274000587
22,tactics,movement_0002,b4d2,100.0,100.0,0.0,1.0,0.38605443334047546,0.6462584912205521,0.6462584912205521,1,,1,frozen,replay,,0.0,327.629561400041
23,mates,1119,g2g3,-33.0,-99999.0,99966.0,-1.0,0.3167517116734517,-1.3860544333404754,-1.3860544333404754,1,-1.0,0,frozen,curriculum,,0.0,340.47382660000585
24,mates,1122,d5b4,347.0,48.0,299.0,-0.2673102379237955,0.2875486141935893,-0.5840619495972472,-0.5840619495972472,1,,0,frozen,curriculum,,0.0,344.4316055000527
25,mates,1123,e4f5,748.0,748.0,0.0,1.0,0.32317118348390983,0.7124513858064108,0.7124513858064108,1,,1,frozen,curriculum,,0.0,348.6617968000937
26,mates,1227,g7f6,613.0,-260.0,873.0,-0.94977991042087,0.2595236287886708,-1.27295109390478,-1.27295109390478,1,,0,frozen,curriculum,,0.0,352.49174270010553
27,mates,1269,h7h6,796.0,-99999.0,100795.0,-1.0,0.19654744734923724,-1.2595236287886709,-1.2595236287886709,1,-1.0,0,frozen,curriculum,,0.0,357.00072300003376
28,mates,1561,b6b4,-964.0,-964.0,0.0,1.0,0.23672007498177539,0.8034525526507628,0.8034525526507628,1,,1,frozen,curriculum,,0.0,361.4421188000124
29,mates,endgames_0000,h3b3,527.0,484.0,43.0,0.7858243873955268,0.264175290602463,0.5491043124137515,0.5491043124137515,1,,0,frozen,replay,,0.0,366.8164984000614
30,mates,endgames_0002,c4b3,486.0,471.0,15.0,0.9250351364858591,0.29721828289663277,0.6608598458833961,0.6608598458833961,1,,0,frozen,replay,,0.0,371.1066049000947
31,mates,endgames_0003,c8a8,435.0,435.0,0.0,1.0,0.3323573687518011,0.7027817171033672,0.7027817171033672,1,,1,frozen,replay,,0.0,376.19549760001246
32,mates,endgames_0005,b6b3,489.0,474.0,15.0,0.9250351364858591,0.361991257138504,0.592677767734058,0.592677767734058,1,,0,frozen,replay,,0.0,380.3746404000558
