stage,position_id,depth,top1_correct,regret_cp
movement,movement_0360,4,0,200.0
movement,movement_0360,8,0,200.0
movement,movement_0360,16,0,200.0
movement,movement_0361,4,1,0.0
movement,movement_0361,8,0,200.0
movement,movement_0361,16,0,200.0
movement,movement_0362,4,1,0.0
movement,movement_0362,8,1,0.0
movement,movement_0362,16,1,0.0
movement,movement_0363,4,1,0.0
movement,movement_0363,8,0,200.0
movement,movement_0363,16,0,200.0
movement,movement_0364,4,0,200.0
movement,movement_0364,8,0,200.0
movement,movement_0364,16,0,200.0
movement,movement_0365,4,0,200.0
movement,movement_0365,8,0,200.0
movement,movement_0365,16,0,200.0
movement,movement_0366,4,0,200.0
movement,movement_0366,8,0,200.0
movement,movement_0366,16,0,200.0
movement,movement_0367,4,1,0.0
movement,movement_0367,8,0,200.0
movement,movement_0367,16,0,200.0
movement,movement_0368,4,0,200.0
movement,movement_0368,8,0,200.0
movement,movement_0368,16,0,200.0
movement,movement_0369,4,1,0.0
movement,movement_0369,8,0,200.0
movement,movement_0369,16,0,200.0
movement,movement_0370,4,1,0.0
movement,movement_0370,8,1,0.0
movement,movement_0370,16,1,0.0
movement,movement_0371,4,1,0.0
movement,movement_0371,8,1,0.0
movement,movement_0371,16,0,200.0
movement,movement_0372,4,0,200.0
movement,movement_0372,8,0,200.0
movement,movement_0372,16,0,200.0
movement,movement_0373,4,1,0.0
movement,movement_0373,8,0,200.0
movement,movement_0373,16,0,200.0
movement,movement_0374,4,1,0.0
movement,movement_0374,8,0,200.0
movement,movement_0374,16,0,200.0
movement,movement_0375,4,1,0.0
movement,movement_0375,8,0,200.0
movement,movement_0375,16,0,200.0
movement,movement_0376,4,1,0.0
movement,movement_0376,8,0,200.0
movement,movement_0376,16,0,200.0
movement,movement_0377,4,0,200.0
movement,movement_0377,8,0,200.0
movement,movement_0377,16,0,200.0
movement,movement_0378,4,0,200.0
movement,movement_0378,8,0,200.0
movement,movement_0378,16,0,200.0
movement,movement_0379,4,0,200.0
movement,movement_0379,8,0,200.0
movement,movement_0379,16,0,200.0
movement,movement_0380,4,1,0.0
movement,movement_0380,8,0,200.0
movement,movement_0380,16,0,200.0
movement,movement_0381,4,0,200.0
movement,movement_0381,8,1,0.0
movement,movement_0381,16,1,0.0
movement,movement_0382,4,0,200.0
movement,movement_0382,8,1,0.0
movement,movement_0382,16,1,0.0
movement,movement_0383,4,0,200.0
movement,movement_0383,8,0,200.0
movement,movement_0383,16,0,200.0
movement,movement_0384,4,0,200.0
movement,movement_0384,8,0,200.0
movement,movement_0384,16,0,200.0
movement,movement_0385,4,0,200.0
movement,movement_0385,8,0,200.0
movement,movement_0385,16,0,200.0
movement,movement_0386,4,1,0.0
movement,movement_0386,8,0,200.0
movement,movement_0386,16,0,200.0
movement,movement_0387,4,1,0.0
movement,movement_0387,8,0,200.0
movement,movement_0387,16,0,200.0
movement,movement_0388,4,1,0.0
movement,movement_0388,8,0,200.0
movement,movement_0388,16,0,200.0
movement,movement_0389,4,0,200.0
movement,movement_0389,8,0,200.0
movement,movement_0389,16,0,200.0
movement,movement_0390,4,0,200.0
movement,movement_0390,8,0,200.0
movement,movement_0390,16,0,200.0
movement,movement_0391,4,1,0.0
movement,movement_0391,8,0,200.0
movement,movement_0391,16,0,200.0
movement,movement_0392,4,1,0.0
movement,movement_0392,8,0,200.0
movement,movement_0392,16,0,200.0
movement,movement_0393,4,1,0.0
movement,movement_0393,8,0,200.0
movement,movement_0393,16,0,200.0
movement,movement_0394,4,1,0.0
movement,movement_0394,8,1,0.0
movement,movement_0394,16,1,0.0
movement,movement_0395,4,0,200.0
movement,movement_0395,8,0,200.0
movement,movement_0395,16,0,200.0
endgames,endgames_0320,4,0,2.0
endgames,endgames_0320,8,0,2.0
endgames,endgames_0320,16,0,2.0
endgames,endgames_0321,4,0,631.0
endgames,endgames_0321,8,0,13.0
endgames,endgames_0321,16,0,631.0
endgames,endgames_0322,4,1,0.0
endgames,endgames_0322,8,0,29.0
endgames,endgames_0322,16,0,29.0
endgames,endgames_0323,4,1,0.0
endgames,endgames_0323,8,1,0.0
endgames,endgames_0323,16,1,0.0
endgames,endgames_0324,4,0,1.0
endgames,endgames_0324,8,0,21.0
endgames,endgames_0324,16,0,21.0
endgames,endgames_0325,4,1,0.0
endgames,endgames_0325,8,1,0.0
endgames,endgames_0325,16,1,0.0
endgames,endgames_0326,4,0,228.0
endgames,endgames_0326,8,0,228.0
endgames,endgames_0326,16,0,228.0
endgames,endgames_0327,4,1,0.0
endgames,endgames_0327,8,0,273.0
endgames,endgames_0327,16,0,273.0
endgames,endgames_0328,4,0,11.0
endgames,endgames_0328,8,0,11.0
endgames,endgames_0328,16,0,11.0
endgames,endgames_0329,4,1,0.0
endgames,endgames_0329,8,0,6.0
endgames,endgames_0329,16,0,6.0
endgames,endgames_0330,4,0,679.0
endgames,endgames_0330,8,0,679.0
endgames,endgames_0330,16,0,679.0
endgames,endgames_0331,4,0,18.0
endgames,endgames_0331,8,1,0.0
endgames,endgames_0331,16,1,0.0
endgames,endgames_0332,4,0,11.0
endgames,endgames_0332,8,0,61.0
endgames,endgames_0332,16,0,61.0
endgames,endgames_0333,4,0,15.0
endgames,endgames_0333,8,0,15.0
endgames,endgames_0333,16,0,15.0
endgames,endgames_0334,4,0,99222.0
endgames,endgames_0334,8,0,99222.0
endgames,endgames_0334,16,0,99390.0
endgames,endgames_0335,4,0,598.0
endgames,endgames_0335,8,0,598.0
endgames,endgames_0335,16,0,598.0
endgames,endgames_0336,4,0,1.0
endgames,endgames_0336,8,0,1.0
endgames,endgames_0336,16,0,1.0
endgames,endgames_0337,4,0,8.0
endgames,endgames_0337,8,0,8.0
endgames,endgames_0337,16,0,8.0
endgames,endgames_0338,4,0,82.0
endgames,endgames_0338,8,0,82.0
endgames,endgames_0338,16,0,82.0
endgames,endgames_0339,4,0,105.0
endgames,endgames_0339,8,0,511.0
endgames,endgames_0339,16,0,511.0
endgames,endgames_0340,4,0,225.0
endgames,endgames_0340,8,0,225.0
endgames,endgames_0340,16,0,225.0
endgames,endgames_0341,4,0,32.0
endgames,endgames_0341,8,0,32.0
endgames,endgames_0341,16,0,32.0
endgames,endgames_0342,4,1,0.0
endgames,endgames_0342,8,0,337.0
endgames,endgames_0342,16,0,337.0
endgames,endgames_0343,4,1,0.0
endgames,endgames_0343,8,1,0.0
endgames,endgames_0343,16,1,0.0
endgames,endgames_0344,4,1,0.0
endgames,endgames_0344,8,0,43.0
endgames,endgames_0344,16,1,0.0
endgames,endgames_0345,4,0,99375.0
endgames,endgames_0345,8,0,99375.0
endgames,endgames_0345,16,0,99375.0
endgames,endgames_0346,4,0,19.0
endgames,endgames_0346,8,0,19.0
endgames,endgames_0346,16,0,19.0
endgames,endgames_0347,4,0,584.0
endgames,endgames_0347,8,0,584.0
endgames,endgames_0347,16,0,584.0
endgames,endgames_0348,4,0,99293.0
endgames,endgames_0348,8,0,99293.0
endgames,endgames_0348,16,0,99293.0
endgames,endgames_0349,4,0,24.0
endgames,endgames_0349,8,0,37.0
endgames,endgames_0349,16,0,37.0
endgames,endgames_0350,4,0,47.0
endgames,endgames_0350,8,0,47.0
endgames,endgames_0350,16,0,47.0
endgames,endgames_0351,4,1,0.0
endgames,endgames_0351,8,1,0.0
endgames,endgames_0351,16,1,0.0
tactics,127,4,1,0.0
tactics,127,8,1,0.0
tactics,127,16,1,0.0
tactics,161,4,0,90.0
tactics,161,8,0,90.0
tactics,161,16,0,90.0
tactics,217,4,0,1629.0
tactics,217,8,0,1629.0
tactics,217,16,0,1629.0
tactics,244,4,0,452.0
tactics,244,8,1,0.0
tactics,244,16,1,0.0
tactics,1007,4,0,390.0
tactics,1007,8,0,390.0
tactics,1007,16,0,390.0
tactics,1060,4,1,0.0
tactics,1060,8,1,0.0
tactics,1060,16,1,0.0
tactics,1072,4,0,40.0
tactics,1072,8,0,40.0
tactics,1072,16,0,40.0
tactics,1130,4,0,328.0
tactics,1130,8,0,328.0
tactics,1130,16,0,328.0
tactics,1190,4,1,0.0
tactics,1190,8,1,0.0
tactics,1190,16,1,0.0
tactics,1197,4,0,828.0
tactics,1197,8,0,828.0
tactics,1197,16,0,828.0
tactics,1263,4,0,1355.0
tactics,1263,8,0,1355.0
tactics,1263,16,1,0.0
tactics,1299,4,0,231.0
tactics,1299,8,0,231.0
tactics,1299,16,0,231.0
tactics,1316,4,0,248.0
tactics,1316,8,0,248.0
tactics,1316,16,0,248.0
tactics,1385,4,1,0.0
tactics,1385,8,0,413.0
tactics,1385,16,0,413.0
tactics,1479,4,0,20.0
tactics,1479,8,0,20.0
tactics,1479,16,0,20.0
tactics,1522,4,0,33.0
tactics,1522,8,0,33.0
tactics,1522,16,0,33.0
tactics,1544,4,0,242.0
tactics,1544,8,0,242.0
tactics,1544,16,0,242.0
tactics,1578,4,0,164.0
tactics,1578,8,0,1085.0
tactics,1578,16,0,1085.0
tactics,1609,4,0,139.0
tactics,1609,8,0,139.0
tactics,1609,16,0,139.0
tactics,1621,4,0,287.0
tactics,1621,8,0,287.0
tactics,1621,16,0,287.0
tactics,1638,4,0,345.0
tactics,1638,8,0,345.0
tactics,1638,16,0,345.0
tactics,1648,4,0,631.0
tactics,1648,8,0,125.0
tactics,1648,16,0,125.0
tactics,1656,4,1,0.0
tactics,1656,8,1,0.0
tactics,1656,16,1,0.0
tactics,1774,4,0,210.0
tactics,1774,8,0,210.0
tactics,1774,16,0,210.0
tactics,1795,4,0,32.0
tactics,1795,8,1,0.0
tactics,1795,16,1,0.0
tactics,1835,4,0,47.0
tactics,1835,8,0,47.0
tactics,1835,16,0,47.0
tactics,1920,4,0,755.0
tactics,1920,8,1,0.0
tactics,1920,16,1,0.0
tactics,1938,4,0,344.0
