step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
0,movement,movement_0000,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.0037882842739990264,0.07576568547998053,0.07576568547998053,1,,0,frozen,curriculum,,0.0,777.7286150000291
1,movement,movement_0001,h7a1,100.0,-100.0,200.0,0.07576568547998053,0.007387154334298101,0.0719774012059815,0.0719774012059815,1,,0,frozen,curriculum,,0.0,779.8995576000307
2,movement,movement_0002,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.010806080891582222,0.06837853114568243,0.06837853114568243,1,,0,frozen,curriculum,,0.0,782.4041010999354
3,movement,movement_0003,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.014054061121002137,0.0649596045883983,0.0649596045883983,1,,0,frozen,curriculum,,0.0,785.04182579997
4,movement,movement_0004,g7a1,100.0,100.0,0.0,1.0,0.06335135806495203,0.9859459388789978,0.9859459388789978,1,,1,frozen,curriculum,,0.0,787.492081000004
5,movement,movement_0005,b1a1,100.0,100.0,0.0,1.0,0.11018379016170443,0.9366486419350479,0.9366486419350479,1,,1,frozen,curriculum,,0.0,790.1637023999356
6,movement,movement_0006,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.10846288492761823,-0.034418104681723904,-0.034418104681723904,1,,0,frozen,curriculum,,0.0,791.8225090999622
7,movement,movement_0007,a6a1,100.0,-100.0,200.0,0.07576568547998053,0.10682802495523633,-0.0326971994476377,-0.0326971994476377,1,,0,frozen,curriculum,,0.0,795.3481035999721
8,movement,movement_0008,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.10527490798147353,-0.0310623394752558,-0.0310623394752558,1,,0,frozen,curriculum,,0.0,798.599647999974
9,movement,movement_0009,c3a1,100.0,-100.0,200.0,0.07576568547998053,0.10379944685639887,-0.029509222501493,-0.029509222501493,1,,0,frozen,curriculum,,0.0,800.9859030999942
10,movement,movement_0010,h8a1,100.0,100.0,0.0,1.0,0.14860947451357892,0.8962005531436011,0.8962005531436011,1,,1,frozen,curriculum,,0.0,803.6206123000011
11,movement,movement_0011,g6a1,100.0,-100.0,200.0,0.07576568547998053,0.144967285061899,-0.0728437890335984,-0.0728437890335984,1,,0,frozen,curriculum,,0.0,806.2065394999227
12,movement,movement_0012,b2a1,100.0,-100.0,200.0,0.07576568547998053,0.14150720508280304,-0.06920159958191846,-0.06920159958191846,1,,0,frozen,curriculum,,0.0,807.8383783999598
13,movement,movement_0013,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.1382201291026619,-0.06574151960282251,-0.06574151960282251,1,,0,frozen,curriculum,,0.0,809.8791747000068
14,movement,movement_0014,h4f2,100.0,100.0,0.0,1.0,0.1813091226475288,0.8617798708973381,0.8617798708973381,1,,1,frozen,curriculum,,0.0,812.1250133999856
15,movement,movement_0015,h7a1,100.0,-100.0,200.0,0.07576568547998053,0.17603195078915138,-0.10554343716754827,-0.10554343716754827,1,,0,frozen,curriculum,,0.0,814.5061856999528
16,movement,movement_0016,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.1710186375236928,-0.10026626530917085,-0.10026626530917085,1,,0,frozen,curriculum,,0.0,816.7622194000287
