step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
0,movement,movement_0000,f3c1,100.0,-100.0,200.0,0.07576568547998053,0.0037882842739990264,0.07576568547998053,0.07576568547998053,1,,0,shuffled,curriculum,4.9208156837849655e-06,0.0008831498282020692,158.7417411999777
1,movement,movement_0001,h7g5,100.0,100.0,0.0,1.0,0.05359887006029908,0.996211715726001,0.996211715726001,1,,1,shuffled,curriculum,7.703757408118881e-06,0.008626490116947416,167.49474399990868
2,movement,movement_0002,b4a3,100.0,100.0,0.0,1.0,0.10091892655728413,0.9464011299397009,0.9464011299397009,1,,1,shuffled,curriculum,6.5504557281815155e-06,0.011820908214450955,175.36817499995232
3,endgames,endgames_0000,h3a3,527.0,516.0,11.0,0.9450138603905803,0.14312367324894892,0.8440949338332961,0.8440949338332961,1,,0,shuffled,curriculum,1.2312962074486666e-05,0.01480587567299218,188.01421769999433
4,endgames,endgames_0001,e2d1,522.0,476.0,46.0,0.7710085816057777,0.17451791866679037,0.6278849083568288,0.6278849083568288,1,,0,shuffled,curriculum,5.076421337734159e-06,0.017771945992614554,192.373298099963
5,endgames,endgames_0002,c4c5,486.0,486.0,0.0,1.0,0.21579202273345083,0.8254820813332097,0.8254820813332097,1,,1,shuffled,curriculum,7.188451590060659e-06,0.02190589036180157,202.3428899999708
6,endgames,movement_0001,h7g5,100.0,100.0,0.0,1.0,0.2550024215967783,0.7842079772665491,0.7842079772665491,1,,1,shuffled,replay,7.817186960166713e-06,0.025252545639447,209.19864869990852
7,tactics,1004,b6a5,649.0,-918.0,1567.0,-0.9984180566240071,0.192331397685739,-1.2534204782207854,-1.2534204782207854,1,,0,shuffled,curriculum,8.354226134847547e-05,0.02607575157226102,221.87313570000697
8,tactics,1006,d2d4,-20.0,-20.0,0.0,1.0,0.23271482780145203,0.807668602314261,0.8254820813332097,1,,1,shuffled,curriculum,3.479454016588055e-05,0.026889727274913133,226.65554309997242
9,tactics,1022,h6g5,-109.0,-109.0,0.0,1.0,0.2710790864113794,0.767285172198548,0.9464011299397009,1,,1,shuffled,curriculum,6.135837189579978e-05,0.027228372993656023,235.2084073999431
10,tactics,endgames_0000,h3a3,527.0,516.0,11.0,0.9450138603905803,0.3047758251103394,0.673934773979201,0.7842079772665491,1,,0,shuffled,replay,1.2927138698865457e-05,0.03174138474160349,238.92936209996697
11,tactics,movement_0001,h7g5,100.0,100.0,0.0,1.0,0.3395370338548224,0.6952241748896606,0.807668602314261,1,,1,shuffled,replay,8.051837136476272e-06,0.03560480036905091,246.83159329998307
12,mates,1119,a3d6,-33.0,-33.0,0.0,1.0,0.37256018216208125,0.6604629661451775,0.767285172198548,1,,1,shuffled,curriculum,3.875904014596654e-05,0.036439658791714576,258.8439229999203
13,mates,1122,e5d4,347.0,144.0,203.0,0.06400993391372134,0.35713266974966323,-0.3085502482483599,0.07576568547998053,1,,0,shuffled,curriculum,6.430487763547787e-05,0.03643542461353424,263.1912294999929
14,mates,1123,e4f5,748.0,748.0,0.0,1.0,0.38927603626218005,0.6428673302503367,0.673934773979201,1,,1,shuffled,curriculum,4.0168314984308336e-05,0.03765395070646207,270.19242729991674
15,mates,endgames_0000,h3a3,527.0,516.0,11.0,0.9450138603905803,0.4170629274686,0.5557378241284003,0.5557378241284003,1,,0,shuffled,replay,1.3631613234970315e-05,0.04145575675537071,276.61252999992575
16,mates,movement_0002,b4a3,100.0,100.0,0.0,1.0,0.44620978109517,0.5829370725314,0.6428673302503367,1,,1,shuffled,replay,6.9059028076890875e-06,0.042403835100347044,286.2943374000024
