stage,position_id,depth,top1_correct,regret_cp
movement,movement_0360,4,0,200.0
movement,movement_0360,8,0,200.0
movement,movement_0360,16,0,200.0
movement,movement_0361,4,1,0.0
movement,movement_0361,8,1,0.0
movement,movement_0361,16,1,0.0
movement,movement_0362,4,1,0.0
movement,movement_0362,8,1,0.0
movement,movement_0362,16,1,0.0
movement,movement_0363,4,1,0.0
movement,movement_0363,8,1,0.0
movement,movement_0363,16,1,0.0
movement,movement_0364,4,0,200.0
movement,movement_0364,8,0,200.0
movement,movement_0364,16,0,200.0
movement,movement_0365,4,1,0.0
movement,movement_0365,8,1,0.0
movement,movement_0365,16,1,0.0
movement,movement_0366,4,0,200.0
movement,movement_0366,8,0,200.0
movement,movement_0366,16,0,200.0
movement,movement_0367,4,1,0.0
movement,movement_0367,8,1,0.0
movement,movement_0367,16,0,200.0
movement,movement_0368,4,0,200.0
movement,movement_0368,8,0,200.0
movement,movement_0368,16,0,200.0
movement,movement_0369,4,1,0.0
movement,movement_0369,8,1,0.0
movement,movement_0369,16,1,0.0
movement,movement_0370,4,1,0.0
movement,movement_0370,8,1,0.0
movement,movement_0370,16,1,0.0
movement,movement_0371,4,1,0.0
movement,movement_0371,8,1,0.0
movement,movement_0371,16,1,0.0
movement,movement_0372,4,1,0.0
movement,movement_0372,8,1,0.0
movement,movement_0372,16,1,0.0
movement,movement_0373,4,1,0.0
movement,movement_0373,8,1,0.0
movement,movement_0373,16,0,200.0
movement,movement_0374,4,1,0.0
movement,movement_0374,8,1,0.0
movement,movement_0374,16,1,0.0
movement,movement_0375,4,0,200.0
movement,movement_0375,8,0,200.0
movement,movement_0375,16,0,200.0
movement,movement_0376,4,1,0.0
movement,movement_0376,8,1,0.0
movement,movement_0376,16,1,0.0
movement,movement_0377,4,1,0.0
movement,movement_0377,8,1,0.0
movement,movement_0377,16,0,200.0
endgames,endgames_0320,4,0,2.0
endgames,endgames_0320,8,0,2.0
endgames,endgames_0320,16,0,2.0
endgames,endgames_0321,4,0,618.0
endgames,endgames_0321,8,0,13.0
endgames,endgames_0321,16,0,13.0
endgames,endgames_0322,4,1,0.0
endgames,endgames_0322,8,1,0.0
endgames,endgames_0322,16,0,12.0
endgames,endgames_0323,4,0,43.0
endgames,endgames_0323,8,1,0.0
endgames,endgames_0323,16,1,0.0
endgames,endgames_0324,4,0,1.0
endgames,endgames_0324,8,0,1.0
endgames,endgames_0324,16,0,1.0
endgames,endgames_0325,4,1,0.0
endgames,endgames_0325,8,1,0.0
endgames,endgames_0325,16,1,0.0
endgames,endgames_0326,4,0,228.0
endgames,endgames_0326,8,0,228.0
endgames,endgames_0326,16,0,228.0
endgames,endgames_0327,4,0,273.0
endgames,endgames_0327,8,0,273.0
endgames,endgames_0327,16,0,273.0
endgames,endgames_0328,4,0,11.0
endgames,endgames_0328,8,0,11.0
endgames,endgames_0328,16,0,11.0
endgames,endgames_0329,4,0,6.0
endgames,endgames_0329,8,0,6.0
endgames,endgames_0329,16,0,6.0
endgames,endgames_0330,4,0,692.0
endgames,endgames_0330,8,0,692.0
endgames,endgames_0330,16,0,38.0
endgames,endgames_0331,4,0,18.0
endgames,endgames_0331,8,0,18.0
endgames,endgames_0331,16,1,0.0
endgames,endgames_0332,4,0,11.0
endgames,endgames_0332,8,0,11.0
endgames,endgames_0332,16,0,11.0
endgames,endgames_0333,4,0,15.0
endgames,endgames_0333,8,0,15.0
endgames,endgames_0333,16,0,15.0
endgames,endgames_0334,4,0,99390.0
endgames,endgames_0334,8,0,99390.0
endgames,endgames_0334,16,0,99390.0
endgames,endgames_0335,4,0,598.0
endgames,endgames_0335,8,0,598.0
endgames,endgames_0335,16,0,598.0
tactics,127,4,0,398.0
tactics,127,8,1,0.0
tactics,127,16,1,0.0
tactics,161,4,0,90.0
tactics,161,8,0,90.0
tactics,161,16,0,90.0
tactics,1007,4,0,390.0
tactics,1007,8,0,390.0
tactics,1007,16,0,390.0
tactics,1060,4,1,0.0
tactics,1060,8,1,0.0
tactics,1060,16,1,0.0
tactics,1072,4,0,1212.0
tactics,1072,8,0,1212.0
tactics,1072,16,0,1212.0
tactics,1130,4,1,0.0
tactics,1130,8,0,328.0
tactics,1130,16,0,328.0
tactics,1190,4,1,0.0
tactics,1190,8,1,0.0
tactics,1190,16,1,0.0
tactics,1197,4,0,828.0
tactics,1197,8,0,828.0
tactics,1197,16,0,828.0
tactics,1263,4,1,0.0
tactics,1263,8,1,0.0
tactics,1263,16,1,0.0
tactics,1299,4,0,231.0
tactics,1299,8,0,231.0
tactics,1299,16,0,231.0
tactics,1316,4,0,248.0
tactics,1316,8,0,248.0
tactics,1316,16,0,248.0
tactics,1385,4,1,0.0
tactics,1385,8,0,413.0
tactics,1385,16,0,413.0
tactics,1479,4,0,20.0
tactics,1479,8,0,20.0
tactics,1479,16,0,20.0
tactics,1522,4,0,33.0
tactics,1522,8,0,33.0
tactics,1522,16,0,33.0
tactics,1544,4,0,242.0
tactics,1544,8,0,242.0
tactics,1544,16,0,242.0
tactics,1578,4,0,164.0
tactics,1578,8,0,1085.0
tactics,1578,16,0,1085.0
tactics,1609,4,0,139.0
tactics,1609,8,0,139.0
tactics,1609,16,0,139.0
tactics,1621,4,0,287.0
tactics,1621,8,0,287.0
tactics,1621,16,0,287.0
tactics,1638,4,0,345.0
tactics,1638,8,0,345.0
tactics,1638,16,0,345.0
tactics,1648,4,0,125.0
tactics,1648,8,0,125.0
tactics,1648,16,0,125.0
tactics,1656,4,1,0.0
tactics,1656,8,1,0.0
tactics,1656,16,1,0.0
tactics,1774,4,0,210.0
tactics,1774,8,0,210.0
tactics,1774,16,0,210.0
tactics,1795,4,1,0.0
tactics,1795,8,1,0.0
tactics,1795,16,1,0.0
tactics,1835,4,0,47.0
tactics,1835,8,0,47.0
tactics,1835,16,0,47.0
tactics,1920,4,0,755.0
tactics,1920,8,0,755.0
tactics,1920,16,0,755.0
mates,1023,4,0,2.0
mates,1023,8,0,2.0
mates,1023,16,0,2.0
mates,1275,4,0,99705.0
mates,1275,8,0,99705.0
mates,1275,16,0,422.0
mates,1331,4,1,0.0
mates,1331,8,1,0.0
mates,1331,16,1,0.0
mates,1381,4,1,0.0
mates,1381,8,1,0.0
mates,1381,16,1,0.0
mates,1502,4,0,107.0
mates,1502,8,0,107.0
mates,1502,16,0,107.0
mates,1692,4,0,99849.0
mates,1692,8,0,99849.0
mates,1692,16,0,99849.0
mates,1735,4,0,209.0
mates,1735,8,0,209.0
mates,1735,16,0,209.0
mates,1842,4,0,98882.0
mates,1842,8,0,98882.0
mates,1842,16,1,0.0
mates,1901,4,1,0.0
mates,1901,8,1,0.0
mates,1901,16,1,0.0
mates,1912,4,0,100518.0
mates,1912,8,0,100518.0
mates,1912,16,0,100518.0
mates,195,4,0,132.0
mates,195,8,0,132.0
mates,195,16,0,132.0
mates,2319,4,1,0.0
mates,2319,8,1,0.0
mates,2319,16,1,0.0
mates,2319_pv1,4,0,99653.0
mates,2319_pv1,8,0,99653.0
mates,2319_pv1,16,0,99653.0
mates,2359,4,0,365.0
mates,2359,8,0,365.0
mates,2359,16,0,365.0
mates,262,4,1,0.0
mates,262,8,1,0.0
mates,262,16,1,0.0
mates,2671,4,0,99561.0
mates,2671,8,0,99561.0
mates,2671,16,0,99561.0
mates,2671_pv1,4,1,0.0
mates,2671_pv1,8,1,0.0
mates,2671_pv1,16,1,0.0
mates,2782,4,0,592.0
mates,2782,8,0,592.0
mates,2782,16,0,592.0
mates,3000,4,0,113.0
mates,3000,8,0,113.0
mates,3000,16,0,113.0
