step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
0,movement,movement_0000,f3d1,100.0,-100.0,200.0,0.07576568547998053,0.0037882842739990264,0.07576568547998053,0.07576568547998053,1,,0,shuffled,curriculum,9.86830833604261e-06,0.0010219004517395644,445.22641330002807
1,movement,movement_0001,h7g5,100.0,100.0,0.0,1.0,0.05359887006029908,0.996211715726001,0.996211715726001,1,,1,shuffled,curriculum,1.409205243575187e-05,0.014994289120870377,447.2587383999489
2,movement,movement_0002,b4d1,100.0,-100.0,200.0,0.07576568547998053,0.05470721083128315,0.02216681541968145,0.02216681541968145,1,,0,shuffled,curriculum,9.302451268453253e-06,0.015212217488525293,449.45796000002883
3,movement,movement_0003,b4b3,100.0,100.0,0.0,1.0,0.101971850289719,0.9452927891687168,0.9452927891687168,1,,1,shuffled,curriculum,9.908835812952089e-06,0.025891659991440438,451.84951430000365
4,movement,movement_0004,g7b2,100.0,100.0,0.0,1.0,0.14687325777523305,0.898028149710281,0.898028149710281,1,,1,shuffled,curriculum,1.6256761679345967e-05,0.0330297804793207,454.10583679995034
5,movement,movement_0005,b1b2,100.0,100.0,0.0,1.0,0.18952959488647142,0.8531267422247669,0.8531267422247669,1,,1,shuffled,curriculum,1.0975582789284585e-05,0.037623420651158285,456.87367210001685
6,movement,movement_0006,b3b2,100.0,100.0,0.0,1.0,0.23005311514214782,0.8104704051135285,0.8104704051135285,1,,1,shuffled,curriculum,9.749548645118162e-06,0.03922207035651053,458.2032802000176
7,movement,movement_0007,a6d1,100.0,-100.0,200.0,0.07576568547998053,0.22233874365903944,-0.1542874296621673,-0.1542874296621673,1,,0,shuffled,curriculum,8.411396654382357e-06,0.03841826396218572,459.8424840000225
8,movement,movement_0008,a5d1,100.0,-100.0,200.0,0.07576568547998053,0.21501009075008648,-0.1465730581790589,0.8104704051135285,1,,0,shuffled,curriculum,9.14327627422513e-06,0.04049602105125193,461.8305770000443
9,movement,movement_0009,c3b3,100.0,100.0,0.0,1.0,0.25425958621258216,0.7849899092499135,0.07576568547998053,1,,1,shuffled,curriculum,9.960897476978857e-06,0.040565927662080295,463.9944969000062
10,movement,movement_0010,h8b2,100.0,100.0,0.0,1.0,0.29154660690195305,0.7457404137874178,0.7457404137874178,1,,1,shuffled,curriculum,1.1155923655567056e-05,0.04343949127660901,465.9972221000353
11,movement,movement_0011,g6g5,100.0,100.0,0.0,1.0,0.32696927655685537,0.708453393098047,-0.1542874296621673,1,,1,shuffled,curriculum,1.0278461320471233e-05,0.04316504311852188,468.2739196999464
12,movement,movement_0012,b2b3,100.0,100.0,0.0,1.0,0.3606208127290126,0.6730307234431446,0.9452927891687168,1,,1,shuffled,curriculum,8.574244960706445e-06,0.04938007335139609,469.7049435999943
13,movement,movement_0013,f2g4,100.0,100.0,0.0,1.0,0.3925897720925619,0.6393791872709874,-0.1465730581790589,1,,1,shuffled,curriculum,1.6613141777197816e-05,0.048369203483100906,471.8973405000288
14,movement,movement_0014,h4f2,100.0,100.0,0.0,1.0,0.4229602834879338,0.607410227907438,0.708453393098047,1,,1,shuffled,curriculum,1.1533280899675447e-05,0.05225291737835393,473.8913827999495
15,movement,movement_0015,h7d1,100.0,-100.0,200.0,0.07576568547998053,0.4056005535875361,-0.34719459800795327,0.8531267422247669,1,,0,shuffled,curriculum,1.3155303031598433e-05,0.056950280760728174,476.16296999994665
16,movement,movement_0016,c7d1,100.0,-100.0,200.0,0.07576568547998053,0.3891088101821583,-0.3298348681075556,0.7849899092499135,1,,0,shuffled,curriculum,1.7448723830560346e-05,0.06129743105207005,478.3459846000187
17,movement,movement_0017,b5d1,100.0,-100.0,200.0,0.07576568547998053,0.3734416539470494,-0.3133431247021778,0.607410227907438,1,,0,shuffled,curriculum,1.374338544423535e-05,0.06389764905998808,480.53233730001375
18,movement,movement_0018,g5g4,100.0,100.0,0.0,1.0,0.4047695712496969,0.6265583460529506,0.996211715726001,1,,1,shuffled,curriculum,9.327261767348194e-06,0.06607457711260524,482.02661659999285
19,movement,movement_0019,a4b2,100.0,100.0,0.0,1.0,0.4345310926872121,0.5952304287503031,-0.34719459800795327,1,,1,shuffled,curriculum,1.013540315210181e-05,0.06385540512862092,484.01173389994074
20,movement,movement_0020,f4d1,100.0,-100.0,200.0,0.07576568547998053,0.41659282232685046,-0.35876540720723155,-0.35876540720723155,1,,0,shuffled,curriculum,1.4233671428070954e-05,0.06191631457155327,486.36060360004194
21,movement,movement_0021,h1h3,100.0,100.0,0.0,1.0,0.4457631812105079,0.5834071776731495,0.5952304287503031,1,,1,shuffled,curriculum,8.037277365520291e-06,0.0634290880543833,488.4320850999793
22,movement,movement_0022,f6b2,100.0,100.0,0.0,1.0,0.4734750221499825,0.5542368187894922,0.5542368187894922,1,,1,shuffled,curriculum,9.098845000592484e-06,0.06644987464638259,490.5568376999581
23,movement,movement_0023,a6d1,100.0,-100.0,200.0,0.07576568547998053,0.4535895553164824,-0.39770933667000197,-0.3133431247021778,1,,0,shuffled,curriculum,1.468096885656821e-05,0.06493898269537726,492.6694200000493
24,movement,movement_0024,h2h3,100.0,100.0,0.0,1.0,0.48091007755065823,0.5464104446835176,-0.39770933667000197,1,,1,shuffled,curriculum,1.990671749506485e-05,0.0618490948182031,494.31102330004796
25,movement,movement_0025,c8d1,100.0,-100.0,200.0,0.07576568547998053,0.4606528579471243,-0.4051443920706777,0.02216681541968145,1,,0,shuffled,curriculum,1.548166708938453e-05,0.062022783141862506,496.23170250002295
26,movement,movement_0026,b2d1,100.0,-100.0,200.0,0.07576568547998053,0.4414084993237671,-0.38488717246714377,-0.38488717246714377,1,,0,shuffled,curriculum,1.4118230898997738e-05,0.05858933283899673,498.3866223000223
27,movement,movement_0027,h3b3,100.0,100.0,0.0,1.0,0.4693380743575787,0.558591500676233,0.5834071776731495,1,,1,shuffled,curriculum,1.5386389918842915e-05,0.06262869266742987,500.4985173000023
28,movement,movement_0028,c3b3,100.0,100.0,0.0,1.0,0.4958711706396997,0.5306619256424213,0.558591500676233,1,,1,shuffled,curriculum,1.3073168547884163e-05,0.06717074815043747,503.36465060000774
29,movement,movement_0029,c1b2,100.0,100.0,0.0,1.0,0.5210776121077147,0.5041288293603003,0.5464104446835176,1,,1,shuffled,curriculum,2.1853916867450403e-05,0.06987278048513343,506.27642749994993
30,movement,movement_0030,f4d1,100.0,-100.0,200.0,0.07576568547998053,0.498812015776328,-0.4453119266277342,0.6265583460529506,1,,0,shuffled,curriculum,1.256924564013597e-05,0.07096702023136728,507.8759048000211
31,movement,movement_0031,h7g5,100.0,100.0,0.0,1.0,0.5238714149875116,0.501187984223672,0.6730307234431446,1,,1,shuffled,curriculum,6.780628487691736e-06,0.07185433815748002,509.6838049000362
32,movement,movement_0032,f6b2,100.0,100.0,0.0,1.0,0.5476778442381359,0.47612858501248845,-0.4453119266277342,1,,1,shuffled,curriculum,1.2614641970162886e-05,0.06907650710213323,511.8104855000274
33,movement,movement_0033,b4b3,100.0,100.0,0.0,1.0,0.5702939520262291,0.4523221557618641,0.501187984223672,1,,1,shuffled,curriculum,7.622398652071263e-06,0.07190357959897795,513.9289540000027
34,movement,movement_0034,g3b3,100.0,100.0,0.0,1.0,0.5917792544249176,0.4297060479737709,0.4297060479737709,1,,1,shuffled,curriculum,9.179611341224864e-06,0.07227958148208857,515.8528995999368
35,movement,movement_0035,c7c6,100.0,100.0,0.0,1.0,0.6121902917036718,0.40822074557508237,0.4523221557618641,1,,1,shuffled,curriculum,9.648076941553878e-06,0.07257178304155605,518.2510841999901
36,movement,movement_0036,f2d1,100.0,-100.0,200.0,0.07576568547998053,0.5853690613924872,-0.5364246062236913,0.47612858501248845,1,,0,shuffled,curriculum,1.2282263124629834e-05,0.0739005016335049,519.8957443999825
37,movement,movement_0037,d5d1,100.0,-100.0,200.0,0.07576568547998053,0.5598888925968619,-0.5096033759125067,-0.4051443920706777,1,,0,shuffled,curriculum,1.4729614937417662e-05,0.07033674806310623,522.2452218999388
38,movement,movement_0038,d8d1,100.0,-100.0,200.0,0.07576568547998053,0.5356827322410178,-0.4841232071168814,0.898028149710281,1,,0,shuffled,curriculum,1.4262473847612273e-05,0.0756392842849529,524.3939882999985
39,movement,movement_0039,f3b3,100.0,100.0,0.0,1.0,0.5588985956289669,0.4643172677589822,-0.5364246062236913,1,,1,shuffled,curriculum,1.4272150084337673e-05,0.07163972622113537,526.6440765999723
40,movement,movement_0040,b3b2,100.0,100.0,0.0,1.0,0.5809536658475186,0.44110140437103307,0.4643172677589822,1,,1,shuffled,curriculum,1.5296853220468938e-05,0.07510361498528592,528.8301654999377
41,movement,movement_0041,g1f2,100.0,100.0,0.0,1.0,0.6019059825551427,0.4190463341524814,0.5306619256424213,1,,1,shuffled,curriculum,1.315912423640926e-05,0.07647122131328861,530.8936181999743
42,movement,movement_0042,a5d1,100.0,-100.0,200.0,0.07576568547998053,0.5755989677013845,-0.5261402970751622,0.44110140437103307,1,,0,shuffled,curriculum,1.1126646230500469e-05,0.07731949139154651,532.1453384000342
43,movement,movement_0043,b3d1,100.0,-100.0,200.0,0.07576568547998053,0.5506073035903143,-0.499833282221404,-0.499833282221404,1,,0,shuffled,curriculum,1.2627741148928963e-05,0.07443632311827178,534.3872270999709
44,movement,movement_0044,e2d1,100.0,100.0,0.0,1.0,0.5730769384107985,0.4493926964096857,-0.4841232071168814,1,,1,shuffled,curriculum,1.2715588609133283e-05,0.0721317745496392,536.4527554999804
45,movement,movement_0045,d4d1,100.0,100.0,0.0,1.0,0.5944230914902586,0.42692306158920146,0.5041288293603003,1,,1,shuffled,curriculum,8.054019314789917e-06,0.07495416378804147,538.594087800011
46,movement,movement_0046,e2b2,100.0,100.0,0.0,1.0,0.6147019369157457,0.4055769085097414,0.4055769085097414,1,,1,shuffled,curriculum,1.5695894760135282e-05,0.0765427848368439,540.7926731000189
47,movement,movement_0047,f3f2,100.0,100.0,0.0,1.0,0.6339668400699584,0.3852980630842543,0.6393791872709874,1,,1,shuffled,curriculum,1.367183233693718e-05,0.07806184811363846,543.027519700001
48,movement,movement_0048,a2d1,100.0,-100.0,200.0,0.07576568547998053,0.6060567823404595,-0.5582011545899779,0.42692306158920146,1,,0,shuffled,curriculum,1.624011180383248e-05,0.07935708213452954,544.5360196999973
49,movement,movement_0049,d5d1,100.0,-100.0,200.0,0.07576568547998053,0.5795422274974354,-0.5302910968604789,0.4190463341524814,1,,0,shuffled,curriculum,1.486303571989395e-05,0.08029932891720605,546.5977856999962
50,movement,movement_0050,h5e8,100.0,100.0,0.0,1.0,0.6005651161225637,0.42045777250256455,0.3852980630842543,1,,1,shuffled,curriculum,1.2598429438026741e-05,0.08080975331740829,548.7622536999406
51,movement,movement_0051,d8d1,100.0,100.0,0.0,1.0,0.6205368603164355,0.3994348838774363,-0.5096033759125067,1,,1,shuffled,curriculum,1.7413289000461543e-05,0.0758356202095623,550.8745392999845
52,movement,movement_0052,f2b2,100.0,100.0,0.0,1.0,0.6395100173006137,0.3794631396835645,-0.5302910968604789,1,,1,shuffled,curriculum,1.7077275682142932e-05,0.07210660173534396,553.07041819999
53,movement,movement_0053,a1b2,100.0,100.0,0.0,1.0,0.657534516435583,0.36048998269938626,0.4493926964096857,1,,1,shuffled,curriculum,1.2585156140204104e-05,0.07577809640242174,554.720011599944
54,movement,movement_0054,a2d1,100.0,-100.0,200.0,0.07576568547998053,0.6284460748878029,-0.5817688309556025,0.42045777250256455,1,,0,shuffled,curriculum,7.035923126572935e-06,0.07769077181265488,557.1583360999357
55,movement,movement_0055,d7d1,100.0,-100.0,200.0,0.07576568547998053,0.6008120554174118,-0.5526803894078224,-0.5261402970751622,1,,0,shuffled,curriculum,1.4460992257804079e-05,0.07522013945524475,559.5393244000152
56,movement,movement_0056,a5d1,100.0,-100.0,200.0,0.07576568547998053,0.5745597369205402,-0.5250463699374313,-0.3298348681075556,1,,0,shuffled,curriculum,1.2149346482777851e-05,0.0731866039075329,561.7082720999606
57,movement,movement_0057,g3b3,100.0,100.0,0.0,1.0,0.5958317500745132,0.4254402630794598,-0.5582011545899779,1,,1,shuffled,curriculum,9.122195683828196e-06,0.07031753008957325,563.7971009999746
58,movement,movement_0058,f5d1,100.0,-100.0,200.0,0.07576568547998053,0.5698284468447865,-0.5200660645945326,0.36048998269938626,1,,0,shuffled,curriculum,1.0885757743274973e-05,0.07138303657002239,565.9735937999794
59,movement,movement_0059,h2h3,100.0,100.0,0.0,1.0,0.5913370245025472,0.4301715531552135,0.4301715531552135,1,,1,shuffled,curriculum,7.810621898895237e-06,0.07362248689604396,568.1581421999726
60,movement,movement_0060,e3d1,100.0,-100.0,200.0,0.07576568547998053,0.5655584575514189,-0.5155713390225667,-0.5817688309556025,1,,0,shuffled,curriculum,1.9568749507751405e-05,0.06924726863635575,569.5360104000429
61,movement,movement_0061,e5c6,100.0,100.0,0.0,1.0,0.587280534673848,0.43444154244858113,-0.5155713390225667,1,,1,shuffled,curriculum,1.4911154131303024e-05,0.0666036992453433,571.675294799963
62,movement,movement_0062,c7d1,100.0,-100.0,200.0,0.07576568547998053,0.5617047922141546,-0.5115148491938675,-0.5250463699374313,1,,0,shuffled,curriculum,1.6189043481196136e-05,0.06292611406862904,573.9576636999846
63,movement,movement_0063,b4b3,100.0,100.0,0.0,1.0,0.5836195526034469,0.4382952077858454,-0.5115148491938675,1,,1,shuffled,curriculum,1.2686252683774288e-05,0.059678962101321786,576.0056285000173
64,movement,movement_0064,a6d1,100.0,-100.0,200.0,0.07576568547998053,0.5582268592472736,-0.5078538671234664,0.40822074557508237,1,,0,shuffled,curriculum,1.378377359298113e-05,0.06204011089019445,578.0321326999692
65,movement,movement_0065,f4d1,100.0,-100.0,200.0,0.07576568547998053,0.5341038005589088,-0.48246117376729303,0.43444154244858113,1,,0,shuffled,curriculum,1.7287683411762747e-05,0.06464839057071815,580.1466765999794
66,movement,movement_0066,h6h5,100.0,100.0,0.0,1.0,0.5573986105309634,0.4658961994410912,0.4658961994410912,1,,1,shuffled,curriculum,7.292522063674506e-06,0.06649862616018169,581.43308420002
67,movement,movement_0067,b7d1,100.0,-100.0,200.0,0.07576568547998053,0.5333169642784142,-0.4816329250509829,0.3994348838774363,1,,0,shuffled,curriculum,9.070360258776717e-06,0.06893593132273534,583.0921964000445
68,movement,movement_0068,g7b2,100.0,100.0,0.0,1.0,0.5566511160644936,0.46668303572158576,0.4382952077858454,1,,1,shuffled,curriculum,1.1419302504507312e-05,0.07165007654231362,585.2368049999932
69,movement,movement_0069,h8h3,100.0,100.0,0.0,1.0,0.5788185602612689,0.4433488839355064,0.4254402630794598,1,,1,shuffled,curriculum,7.686384244490611e-06,0.07295156562065738,587.8245479000034
70,movement,movement_0070,f7b3,100.0,100.0,0.0,1.0,0.5998776322482055,0.4211814397387311,0.3794631396835645,1,,1,shuffled,curriculum,1.058512283881731e-05,0.07423666371601274,590.323515499942
71,movement,movement_0071,a7d1,100.0,-100.0,200.0,0.07576568547998053,0.5736720349097941,-0.5241119467682249,-0.5526803894078224,1,,0,shuffled,curriculum,1.219173167311307e-05,0.07073024702727462,592.7326596999774
72,endgames,endgames_0000,h3b3,724.0,711.0,13.0,0.9350228757517102,0.5917395769518898,0.36135084084191604,0.36135084084191604,1,,0,shuffled,curriculum,1.3722946903239461e-05,0.07169237217292214,623.8442760000471
73,endgames,endgames_0001,e2d1,99994.0,99990.0,4.0,0.9800006666400011,0.6111526314362954,0.38826108968811124,-0.5078538671234664,1,10.0,0,shuffled,curriculum,7.723209866639218e-06,0.07088848267864575,624.9944119999418
74,endgames,endgames_0002,c4b3,607.0,598.0,9.0,0.9550075922125807,0.6283453794751096,0.3438549607762853,-0.5200660645945326,1,,0,shuffled,curriculum,9.758360975316128e-06,0.07048687392298093,626.1474576999899
75,endgames,endgames_0003,c8c2,99992.0,99992.0,0.0,1.0,0.6469281105013541,0.3716546205248904,0.4211814397387311,1,8.0,1,shuffled,curriculum,1.6327290962865158e-05,0.07195338603451798,627.3727589000482
76,endgames,endgames_0004,c3c2,572.0,570.0,2.0,0.9900000833325,0.6640817091429114,0.3430719728311459,0.3438549607762853,1,,0,shuffled,curriculum,6.814874877483443e-06,0.07246197556180425,628.4429373999592
77,endgames,endgames_0005,b6b3,412.0,409.0,3.0,0.985000281243672,0.6801276377479495,0.3209185721007606,0.3430719728311459,1,,0,shuffled,curriculum,9.267329127564755e-06,0.0730864417466608,629.4975117000286
78,endgames,endgames_0006,d8c7,617.0,617.0,0.0,1.0,0.6961212558605521,0.3198723622520505,0.46668303572158576,1,,1,shuffled,curriculum,9.804906931308295e-06,0.07458132140674033,630.5801046999404
79,endgames,endgames_0007,c6c2,439.0,380.0,59.0,0.7071209092806605,0.6966712385315574,0.010999653420108446,0.3716546205248904,1,,0,shuffled,curriculum,1.006794132146417e-05,0.07568127294204836,631.6225552000105
80,endgames,endgames_0008,a8a7,588.0,585.0,3.0,0.985000281243672,0.711087690667163,0.28832904271211457,0.3209185721007606,1,,0,shuffled,curriculum,9.130462368659047e-06,0.07580547727245271,632.6745315999724
81,endgames,endgames_0009,b4b3,396.0,394.0,2.0,0.9900000833325,0.72503331030043,0.27891239266533696,-0.48246117376729303,1,,0,shuffled,curriculum,1.2207979559414018e-05,0.07506919820369885,633.8630037000403
82,endgames,endgames_0010,f6g6,548.0,541.0,7.0,0.9650035724790387,0.7370318234093604,0.23997026217860873,0.010999653420108446,1,,0,shuffled,curriculum,1.873526232604176e-05,0.07510199483911494,635.1342428999487
83,endgames,endgames_0011,a6a1,649.0,646.0,3.0,0.985000281243672,0.7494302463010758,0.24796845783431165,0.24796845783431165,1,,0,shuffled,curriculum,1.162889951096349e-05,0.07580840513279721,636.2807739999844
84,endgames,endgames_0012,b1b2,450.0,399.0,51.0,0.7463728549512254,0.7492773767335832,-0.0030573913498503913,0.28832904271211457,1,,0,shuffled,curriculum,1.6492176464427323e-05,0.07686267989770032,637.3617472000187
85,endgames,endgames_0013,f3f2,674.0,661.0,13.0,0.9350228757517102,0.7585646516844895,0.18574549901812698,0.23997026217860873,1,,0,shuffled,curriculum,1.108713631723037e-05,0.0776239416007599,638.3908942999551
86,endgames,endgames_0014,c6c7,-3.0,-6.0,3.0,0.985000281243672,0.7698864331624486,0.2264356295591825,0.4433488839355064,1,,0,shuffled,curriculum,1.2925383190448101e-05,0.07914057810401764,639.4697999999626
87,endgames,endgames_0015,h4g5,85.0,77.0,8.0,0.9600053324801381,0.7793923781283331,0.19011889931768944,0.19011889931768944,1,,0,shuffled,curriculum,1.4721054709568807e-05,0.0792545884241729,640.5835026999703
88,endgames,endgames_0016,a3b3,621.0,612.0,9.0,0.9550075922125807,0.7881731388325454,0.17561521408424763,-0.5241119467682249,1,,0,shuffled,curriculum,1.3536437542634191e-05,0.07672409117055155,641.914160400047
89,endgames,endgames_0017,d8e8,430.0,412.0,18.0,0.9100607008327996,0.794267516932558,0.12188756200025419,0.38826108968811124,1,,0,shuffled,curriculum,4.992723362059932e-06,0.07764263813330263,643.1427092000376
90,endgames,endgames_0018,h8g7,648.0,648.0,0.0,1.0,0.8045541410859302,0.20573248306744196,0.27891239266533696,1,,1,shuffled,curriculum,1.5606743253065173e-05,0.07849721811659142,644.3211189999711
91,endgames,endgames_0019,f5a5,670.0,670.0,0.0,1.0,0.8143264340316336,0.19544585891406985,-0.4816329250509829,1,,1,shuffled,curriculum,1.2127523348128332e-05,0.07735028378798074,645.5500957999611
92,endgames,endgames_0020,a2a1,99993.0,99991.0,2.0,0.9900000833325,0.823110116496677,0.17567364930086637,-0.0030573913498503913,1,9.0,0,shuffled,curriculum,1.1076069608277322e-05,0.07732255611749114,646.7560155999381
93,endgames,endgames_0021,h7g6,162.0,162.0,0.0,1.0,0.8319546106718432,0.17688988350332302,0.3198723622520505,1,,1,shuffled,curriculum,9.181507126630685e-06,0.07785330897030701,647.8942163999891
