stage,position_id,depth,top1_correct,regret_cp
movement,movement_0360,4,1,0.0
movement,movement_0360,8,1,0.0
movement,movement_0360,16,1,0.0
movement,movement_0361,4,1,0.0
movement,movement_0361,8,1,0.0
movement,movement_0361,16,1,0.0
movement,movement_0362,4,1,0.0
movement,movement_0362,8,1,0.0
movement,movement_0362,16,1,0.0
endgames,endgames_0320,4,1,0.0
endgames,endgames_0320,8,1,0.0
endgames,endgames_0320,16,1,0.0
endgames,endgames_0321,4,0,38.0
endgames,endgames_0321,8,1,0.0
endgames,endgames_0321,16,1,0.0
endgames,endgames_0322,4,0,9.0
endgames,endgames_0322,8,1,0.0
endgames,endgames_0322,16,1,0.0
tactics,1007,4,0,390.0
tactics,1007,8,0,390.0
tactics,1007,16,0,390.0
tactics,1060,4,1,0.0
tactics,1060,8,1,0.0
tactics,1060,16,1,0.0
tactics,1072,4,0,1212.0
tactics,1072,8,0,1212.0
tactics,1072,16,0,1212.0
mates,1023,4,0,2.0
mates,1023,8,0,2.0
mates,1023,16,0,2.0
mates,1086,4,0,100805.0
mates,1086,8,0,100805.0
mates,1086,16,0,100805.0
mates,1093,4,0,99300.0
mates,1093,8,0,99300.0
mates,1093,16,0,99300.0
