edge_offset,pre_index,post_index,pre_body_id,post_body_id,original_weight,original_sign,pre_in_kc_manifest,post_in_mbon_manifest,pre_out_degree,post_in_degree
1486800,162025,5174,915893,15626,0.0015284677501767874,1,True,True,40,90
1486802,158637,5174,901937,15626,0.0013374092523008585,1,True,True,41,90
1486807,141918,5174,579942,15626,0.0011463507544249296,1,True,True,16,90
1486809,141793,5174,575369,15626,0.0015284677501767874,1,True,True,28,90
1486811,141669,5174,570566,15626,0.0009552923729643226,1,True,True,27,90
1486820,138963,5174,548340,15626,0.0005731753772124648,1,True,True,37,90
1486824,132999,5174,531096,15626,0.0013374092523008585,1,True,True,47,90
1486831,121745,5174,257083,15626,0.0019105847459286451,1,True,True,30,90
1486833,121505,5174,248072,15626,0.0007642338750883937,1,True,True,20,90
1486836,121139,5174,237248,15626,0.0005731753772124648,1,True,True,25,90
1486839,119395,5174,210806,15626,0.0022927015088498592,1,True,True,21,90
1486841,119088,5174,208043,15626,0.0013374092523008585,1,True,True,22,90
1486854,117529,5174,196065,15626,0.0007642338750883937,1,True,True,25,90
1486856,117162,5174,193963,15626,0.002101643243804574,1,True,True,30,90
1486858,116844,5174,192146,15626,0.0007642338750883937,1,True,True,27,90
1486859,116836,5174,192097,15626,0.0022927015088498592,1,True,True,24,90
1486873,115342,5174,183659,15626,0.0007642338750883937,1,True,True,29,90
1486877,115157,5174,182674,15626,0.0009552923729643226,1,True,True,18,90
1486879,114947,5174,181516,15626,0.0011463507544249296,1,True,True,26,90
1486882,114638,5174,179774,15626,0.0011463507544249296,1,True,True,22,90
1486886,114459,5174,178917,15626,0.0019105847459286451,1,True,True,21,90
1486891,114253,5174,177799,15626,0.0011463507544249296,1,True,True,27,90
1486894,114093,5174,176984,15626,0.0015284677501767874,1,True,True,22,90
1486897,113928,5174,176147,15626,0.0019105847459286451,1,True,True,29,90
1486899,113848,5174,175745,15626,0.0017195262480527163,1,True,True,23,90
1486902,113710,5174,175168,15626,0.0013374092523008585,1,True,True,24,90
1486903,113644,5174,174813,15626,0.0007642338750883937,1,True,True,23,90
1486911,113383,5174,173781,15626,0.0015284677501767874,1,True,True,26,90
1486917,113056,5174,172288,15626,0.0009552923729643226,1,True,True,24,90
1486919,113045,5174,172224,15626,0.0011463507544249296,1,True,True,27,90
1486925,112629,5174,170365,15626,0.0009552923729643226,1,True,True,26,90
1486931,112417,5174,169484,15626,0.0007642338750883937,1,True,True,27,90
1486940,112119,5174,168234,15626,0.0015284677501767874,1,True,True,20,90
1486946,111869,5174,167297,15626,0.0005731753772124648,1,True,True,27,90
1486947,111853,5174,167235,15626,0.0009552923729643226,1,True,True,28,90
1486955,111701,5174,166617,15626,0.0009552923729643226,1,True,True,23,90
1486956,111686,5174,166544,15626,0.0011463507544249296,1,True,True,21,90
1486962,111576,5174,166119,15626,0.0017195262480527163,1,True,True,29,90
1486966,111397,5174,165459,15626,0.0005731753772124648,1,True,True,23,90
1486978,110989,5174,163974,15626,0.0007642338750883937,1,True,True,32,90
1486980,110925,5174,163739,15626,0.0015284677501767874,1,True,True,30,90
1486981,110847,5174,163500,15626,0.0005731753772124648,1,True,True,29,90
1486991,110535,5174,162399,15626,0.0015284677501767874,1,True,True,38,90
1486992,110438,5174,162048,15626,0.0013374092523008585,1,True,True,36,90
1487007,109729,5174,159667,15626,0.0011463507544249296,1,True,True,20,90
1487008,109728,5174,159665,15626,0.0015284677501767874,1,True,True,24,90
1487012,109452,5174,158876,15626,0.0005731753772124648,1,True,True,36,90
1487013,109334,5174,158500,15626,0.0005731753772124648,1,True,True,24,90
1487021,108907,5174,157213,15626,0.0013374092523008585,1,True,True,35,90
1487023,108642,5174,156435,15626,0.0007642338750883937,1,True,True,35,90
1487030,108135,5174,154959,15626,0.0011463507544249296,1,True,True,28,90
1487048,106623,5174,150920,15626,0.0009552923729643226,1,True,True,25,90
1487049,106561,5174,150761,15626,0.0007642338750883937,1,True,True,50,90
1487059,104897,5174,146801,15626,0.0005731753772124648,1,True,True,27,90
1487061,104697,5174,146350,15626,0.0017195262480527163,1,True,True,32,90
1487065,104315,5174,145513,15626,0.0013374092523008585,1,True,True,33,90
1487067,103950,5174,144725,15626,0.0007642338750883937,1,True,True,23,90
1487068,103943,5174,144715,15626,0.0011463507544249296,1,True,True,37,90
1487077,102781,5174,142332,15626,0.0005731753772124648,1,True,True,27,90
1487083,102241,5174,141219,15626,0.0005731753772124648,1,True,True,15,90
1487084,102216,5174,141163,15626,0.0017195262480527163,1,True,True,52,90
1487090,101829,5174,140368,15626,0.0013374092523008585,1,True,True,24,90
1487091,101623,5174,139976,15626,0.0011463507544249296,1,True,True,48,90
1487094,101580,5174,139887,15626,0.0013374092523008585,1,True,True,30,90
1487098,101105,5174,138912,15626,0.0009552923729643226,1,True,True,29,90
1487101,100907,5174,138549,15626,0.0019105847459286451,1,True,True,33,90
1487102,100874,5174,138480,15626,0.0005731753772124648,1,True,True,28,90
1487107,100533,5174,137837,15626,0.0019105847459286451,1,True,True,50,90
1487114,99685,5174,136233,15626,0.0011463507544249296,1,True,True,27,90
1487121,98774,5174,134523,15626,0.0009552923729643226,1,True,True,29,90
1487122,98639,5174,134271,15626,0.0005731753772124648,1,True,True,20,90
1487125,98237,5174,133583,15626,0.0011463507544249296,1,True,True,26,90
1487132,97838,5174,132912,15626,0.0009552923729643226,1,True,True,25,90
1487135,97677,5174,132622,15626,0.0015284677501767874,1,True,True,53,90
1487137,97550,5174,132410,15626,0.0011463507544249296,1,True,True,29,90
1487139,97269,5174,131936,15626,0.0011463507544249296,1,True,True,32,90
1487141,97160,5174,131765,15626,0.0013374092523008585,1,True,True,23,90
1487144,96895,5174,131359,15626,0.0009552923729643226,1,True,True,22,90
1487145,96796,5174,131212,15626,0.0009552923729643226,1,True,True,26,90
1487151,95550,5174,129122,15626,0.0019105847459286451,1,True,True,37,90
1487154,95400,5174,128873,15626,0.0015284677501767874,1,True,True,32,90
1487155,95394,5174,128866,15626,0.0007642338750883937,1,True,True,21,90
1487161,94448,5174,127326,15626,0.002101643243804574,1,True,True,24,90
1487175,92368,5174,123997,15626,0.0011463507544249296,1,True,True,22,90
1487179,92155,5174,123653,15626,0.0013374092523008585,1,True,True,30,90
1487180,92038,5174,123472,15626,0.0011463507544249296,1,True,True,26,90
1487183,91885,5174,123241,15626,0.0011463507544249296,1,True,True,21,90
1487187,91249,5174,122275,15626,0.0013374092523008585,1,True,True,26,90
1487189,91213,5174,122226,15626,0.0013374092523008585,1,True,True,29,90
1487204,89357,5174,119413,15626,0.0015284677501767874,1,True,True,32,90
1487209,88985,5174,118841,15626,0.0011463507544249296,1,True,True,28,90
1487213,88458,5174,118083,15626,0.0009552923729643226,1,True,True,28,90
1487216,88271,5174,117811,15626,0.0017195262480527163,1,True,True,47,90
1487220,87827,5174,117171,15626,0.002101643243804574,1,True,True,55,90
1487225,87201,5174,116246,15626,0.0005731753772124648,1,True,True,36,90
1487226,87067,5174,116057,15626,0.0015284677501767874,1,True,True,51,90
1487229,86283,5174,114902,15626,0.0005731753772124648,1,True,True,26,90
1487239,85266,5174,113450,15626,0.0015284677501767874,1,True,True,37,90
1487244,85000,5174,113074,15626,0.0013374092523008585,1,True,True,22,90
1487251,84514,5174,112378,15626,0.0011463507544249296,1,True,True,19,90
1487254,84212,5174,111958,15626,0.0013374092523008585,1,True,True,25,90
1487256,84056,5174,111754,15626,0.0019105847459286451,1,True,True,24,90
1487257,84017,5174,111702,15626,0.0007642338750883937,1,True,True,30,90
1487261,83703,5174,111260,15626,0.0013374092523008585,1,True,True,30,90
1487263,83313,5174,110701,15626,0.0011463507544249296,1,True,True,36,90
1487266,83045,5174,110328,15626,0.0017195262480527163,1,True,True,30,90
1487267,83007,5174,110274,15626,0.0011463507544249296,1,True,True,29,90
1487269,82893,5174,110112,15626,0.0011463507544249296,1,True,True,36,90
1487271,82749,5174,109919,15626,0.0011463507544249296,1,True,True,33,90
1487273,82716,5174,109870,15626,0.0007642338750883937,1,True,True,20,90
1487275,82665,5174,109802,15626,0.0015284677501767874,1,True,True,35,90
1487279,82435,5174,109478,15626,0.0017195262480527163,1,True,True,47,90
1487281,82369,5174,109382,15626,0.0007642338750883937,1,True,True,30,90
1487283,82288,5174,109263,15626,0.0005731753772124648,1,True,True,23,90
1487284,82169,5174,109108,15626,0.0011463507544249296,1,True,True,25,90
1487288,81753,5174,108539,15626,0.0007642338750883937,1,True,True,23,90
1487293,81242,5174,107825,15626,0.0017195262480527163,1,True,True,33,90
1487294,81175,5174,107737,15626,0.0011463507544249296,1,True,True,62,90
1487299,80477,5174,106762,15626,0.0022927015088498592,1,True,True,40,90
1487301,80303,5174,106506,15626,0.0007642338750883937,1,True,True,33,90
1487303,80089,5174,106206,15626,0.0019105847459286451,1,True,True,37,90
1487306,79901,5174,105929,15626,0.0017195262480527163,1,True,True,24,90
1487311,79189,5174,104970,15626,0.0009552923729643226,1,True,True,25,90
1487313,79027,5174,104743,15626,0.0011463507544249296,1,True,True,38,90
1487314,79011,5174,104717,15626,0.0007642338750883937,1,True,True,25,90
1487315,78881,5174,104545,15626,0.0013374092523008585,1,True,True,20,90
1487325,77663,5174,102904,15626,0.0005731753772124648,1,True,True,20,90
1487340,75921,5174,100484,15626,0.0017195262480527163,1,True,True,24,90
1487341,75812,5174,100341,15626,0.0015284677501767874,1,True,True,27,90
1487345,75000,5174,99248,15626,0.0005731753772124648,1,True,True,28,90
1487351,74324,5174,98318,15626,0.0019105847459286451,1,True,True,35,90
1487358,73378,5174,97024,15626,0.0022927015088498592,1,True,True,38,90
1487360,73223,5174,96825,15626,0.0019105847459286451,1,True,True,48,90
1487369,72083,5174,95265,15626,0.0017195262480527163,1,True,True,34,90
1487370,72020,5174,95186,15626,0.0009552923729643226,1,True,True,27,90
1487371,71954,5174,95092,15626,0.0007642338750883937,1,True,True,23,90
1487373,71880,5174,94993,15626,0.0013374092523008585,1,True,True,41,90
1487379,70969,5174,93786,15626,0.0005731753772124648,1,True,True,25,90
1487383,69826,5174,92275,15626,0.0013374092523008585,1,True,True,36,90
1487395,67095,5174,88631,15626,0.0013374092523008585,1,True,True,20,90
1487404,65647,5174,86717,15626,0.0007642338750883937,1,True,True,26,90
1487406,65347,5174,86324,15626,0.0009552923729643226,1,True,True,28,90
1487409,64667,5174,85428,15626,0.0015284677501767874,1,True,True,55,90
1487410,64654,5174,85403,15626,0.0011463507544249296,1,True,True,40,90
1487420,63139,5174,83489,15626,0.0011463507544249296,1,True,True,34,90
1487421,63080,5174,83413,15626,0.0009552923729643226,1,True,True,24,90
1487423,62836,5174,83108,15626,0.0009552923729643226,1,True,True,30,90
1487425,62825,5174,83091,15626,0.0017195262480527163,1,True,True,42,90
1487432,61659,5174,81631,15626,0.0017195262480527163,1,True,True,52,90
1487433,61623,5174,81589,15626,0.0013374092523008585,1,True,True,21,90
1487434,61374,5174,81278,15626,0.0009552923729643226,1,True,True,22,90
1487437,60667,5174,80409,15626,0.0019105847459286451,1,True,True,28,90
1487439,60618,5174,80348,15626,0.002101643243804574,1,True,True,25,90
1487440,60589,5174,80309,15626,0.0009552923729643226,1,True,True,25,90
1487445,59347,5174,78747,15626,0.0011463507544249296,1,True,True,30,90
1487446,59131,5174,78476,15626,0.0007642338750883937,1,True,True,25,90
1487447,59042,5174,78363,15626,0.0015284677501767874,1,True,True,27,90
1487451,58687,5174,77914,15626,0.0009552923729643226,1,True,True,26,90
1487455,57726,5174,76688,15626,0.0013374092523008585,1,True,True,48,90
1487457,57661,5174,76608,15626,0.0007642338750883937,1,True,True,18,90
1487462,57214,5174,76072,15626,0.0015284677501767874,1,True,True,45,90
1487463,57159,5174,76009,15626,0.0005731753772124648,1,True,True,35,90
1487468,57075,5174,75908,15626,0.0011463507544249296,1,True,True,24,90
1487471,56480,5174,75181,15626,0.0005731753772124648,1,True,True,46,90
1487476,55938,5174,74518,15626,0.0015284677501767874,1,True,True,30,90
1487477,55752,5174,74289,15626,0.0013374092523008585,1,True,True,22,90
1487480,54617,5174,72855,15626,0.0013374092523008585,1,True,True,27,90
1487485,53912,5174,71970,15626,0.0007642338750883937,1,True,True,28,90
1487488,53526,5174,71501,15626,0.0011463507544249296,1,True,True,33,90
1487489,53500,5174,71469,15626,0.0009552923729643226,1,True,True,31,90
1487495,52523,5174,70261,15626,0.0005731753772124648,1,True,True,30,90
1487497,52400,5174,70111,15626,0.0013374092523008585,1,True,True,36,90
1487499,52079,5174,69713,15626,0.0013374092523008585,1,True,True,37,90
1487501,52026,5174,69651,15626,0.0019105847459286451,1,True,True,30,90
1487506,51674,5174,69224,15626,0.0007642338750883937,1,True,True,27,90
1487507,51183,5174,68614,15626,0.0015284677501767874,1,True,True,24,90
1487509,51077,5174,68484,15626,0.0017195262480527163,1,True,True,55,90
1487514,49765,5174,66865,15626,0.0013374092523008585,1,True,True,26,90
1487519,49421,5174,66440,15626,0.0007642338750883937,1,True,True,43,90
1487521,49201,5174,66179,15626,0.002101643243804574,1,True,True,29,90
1487525,47709,5174,64378,15626,0.0019105847459286451,1,True,True,37,90
1487528,46961,5174,63483,15626,0.0013374092523008585,1,True,True,25,90
1487530,46770,5174,63253,15626,0.0009552923729643226,1,True,True,39,90
1487533,46100,5174,62436,15626,0.002101643243804574,1,True,True,31,90
1487534,45335,5174,61517,15626,0.0013374092523008585,1,True,True,41,90
1487538,45000,5174,61116,15626,0.0015284677501767874,1,True,True,22,90
1487547,42312,5174,57902,15626,0.0015284677501767874,1,True,True,29,90
1487548,41747,5174,57244,15626,0.002483760006725788,1,True,True,54,90
1487551,40132,5174,55316,15626,0.0011463507544249296,1,True,True,51,90
1487552,39355,5174,54398,15626,0.0015284677501767874,1,True,True,35,90
1487553,38512,5174,53430,15626,0.0019105847459286451,1,True,True,48,90
1487555,37883,5174,52704,15626,0.002101643243804574,1,True,True,29,90
3408063,117277,21186,194678,33617,0.008333333767950535,1,True,True,46,67
3408064,115947,21186,186977,33617,0.004999999888241291,1,True,True,54,67
3408068,107054,21186,152031,33617,0.004999999888241291,1,True,True,48,67
3408071,102072,21186,140834,33617,0.004999999888241291,1,True,True,20,67
3408074,90106,21186,120567,33617,0.004999999888241291,1,True,True,38,67
3408076,81655,21186,108406,33617,0.011666666716337204,1,True,True,41,67
3408086,64528,21186,85242,33617,0.004999999888241291,1,True,True,40,67
3408088,63454,21186,83894,33617,0.004999999888241291,1,True,True,56,67
3408091,62553,21186,82744,33617,0.006666666828095913,1,True,True,45,67
3408092,62470,21186,82648,33617,0.006666666828095913,1,True,True,56,67
3408096,60226,21186,79860,33617,0.006666666828095913,1,True,True,44,67
3408100,55632,21186,74141,33617,0.009999999776482582,1,True,True,36,67
3408101,51906,21186,69508,33617,0.008333333767950535,1,True,True,54,67
3408112,43088,21186,58805,33617,0.006666666828095913,1,True,True,41,67
3408114,40049,21186,55216,33617,0.006666666828095913,1,True,True,51,67
3408116,37885,21186,52706,33617,0.008333333767950535,1,True,True,39,67
3408118,37495,21186,52267,33617,0.004999999888241291,1,True,True,44,67
3408119,37062,21186,51745,33617,0.006666666828095913,1,True,True,49,67
3408120,37012,21186,51686,33617,0.006666666828095913,1,True,True,52,67
3408122,32481,21186,46425,33617,0.004999999888241291,1,True,True,44,67
3845248,78345,27020,103832,40216,0.0011659541632980108,1,True,True,53,119
3845282,42659,27020,58295,40216,0.001943256938830018,1,True,True,65,119
4494068,105601,36950,148419,51609,0.0030030030757188797,1,True,True,36,159
5744884,101176,61597,139053,81557,0.0016413623234257102,1,True,True,34,115
5744897,58478,61597,77637,81557,0.0012310217134654522,1,True,True,43,115
6957698,59135,98144,78480,133427,0.0078125,1,True,True,56,46
6957699,55963,98144,74548,133427,0.005859375,1,True,True,48,46
6957707,50175,98144,67359,133427,0.0078125,1,True,True,43,46
6957710,45303,98144,61475,133427,0.01171875,1,True,True,47,46
6957722,28830,98144,42260,133427,0.005859375,1,True,True,44,46
6957723,28565,98144,41968,133427,0.005859375,1,True,True,60,46
7400858,117277,116068,194678,187741,0.003963012248277664,1,True,True,46,88
7400871,74905,116068,99140,187741,0.005284016020596027,1,True,True,52,88
7400875,67710,116068,89461,187741,0.007926024496555328,1,True,True,53,88
7400877,66831,116068,88283,187741,0.003963012248277664,1,True,True,48,88
7400878,66706,116068,88109,187741,0.007926024496555328,1,True,True,39,88
7400881,63454,116068,83894,187741,0.003963012248277664,1,True,True,56,88
7400883,62553,116068,82744,187741,0.005284016020596027,1,True,True,45,88
7400891,59135,116068,78480,187741,0.003963012248277664,1,True,True,56,88
7400893,58130,116068,77199,187741,0.003963012248277664,1,True,True,49,88
7400897,55632,116068,74141,187741,0.007926024496555328,1,True,True,36,88
7400900,54491,116068,72693,187741,0.003963012248277664,1,True,True,42,88
7400908,51906,116068,69508,187741,0.003963012248277664,1,True,True,54,88
7400911,50957,116068,68334,187741,0.007926024496555328,1,True,True,47,88
