step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
0,movement,movement_0000,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.0037882842739990264,0.07576568547998053,0.07576568547998053,1,,0,reward_aversive,curriculum,8.975116895244484e-06,0.0010533170508214929,825.0381323000183
1,movement,movement_0001,h7a1,100.0,-100.0,200.0,0.07576568547998053,0.007387154334298101,0.0719774012059815,0.0719774012059815,1,,0,reward_aversive,curriculum,1.3713614130850361e-05,0.0017801246600671098,826.5471806999994
2,movement,movement_0002,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.010806080891582222,0.06837853114568243,0.06837853114568243,1,,0,reward_aversive,curriculum,9.199980353998532e-06,0.0025836410502362846,828.7912320999894
3,movement,movement_0003,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.014054061121002137,0.0649596045883983,0.0649596045883983,1,,0,reward_aversive,curriculum,1.1895405508996884e-05,0.00332716977159412,831.2508150000358
4,movement,movement_0004,g7a1,100.0,100.0,0.0,1.0,0.06335135806495203,0.9859459388789978,0.9859459388789978,1,,1,reward_aversive,curriculum,1.465316903787883e-05,0.016161786088934194,833.3879136999603
5,movement,movement_0005,b1a1,100.0,100.0,0.0,1.0,0.11018379016170443,0.9366486419350479,0.9366486419350479,1,,1,reward_aversive,curriculum,9.07175658117914e-06,0.026352980153335814,835.4103813000256
6,movement,movement_0006,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.10846288492761823,-0.034418104681723904,-0.034418104681723904,1,,0,reward_aversive,curriculum,7.629184069832457e-06,0.02614280998144362,836.6443047999637
7,movement,movement_0007,a6a1,100.0,-100.0,200.0,0.07576568547998053,0.10682802495523633,-0.0326971994476377,-0.0326971994476377,1,,0,reward_aversive,curriculum,8.966541855362248e-06,0.025971720649860284,838.6295574000105
8,movement,movement_0008,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.10527490798147353,-0.0310623394752558,-0.0310623394752558,1,,0,reward_aversive,curriculum,9.877619067261372e-06,0.02581402712947634,840.639268900035
9,movement,movement_0009,c3a1,100.0,-100.0,200.0,0.07576568547998053,0.10379944685639887,-0.029509222501493,-0.029509222501493,1,,0,reward_aversive,curriculum,9.42707046756269e-06,0.025718391948983337,842.4695616000099
10,movement,movement_0010,h8a1,100.0,100.0,0.0,1.0,0.14860947451357892,0.8962005531436011,0.8962005531436011,1,,1,reward_aversive,curriculum,9.316777454408688e-06,0.03152398483557119,844.3882323999424
11,movement,movement_0011,g6a1,100.0,-100.0,200.0,0.07576568547998053,0.144967285061899,-0.0728437890335984,-0.0728437890335984,1,,0,reward_aversive,curriculum,9.655803984958246e-06,0.031284259527541144,846.7206144999946
12,movement,movement_0012,b2a1,100.0,-100.0,200.0,0.07576568547998053,0.14150720508280304,-0.06920159958191846,-0.06920159958191846,1,,0,reward_aversive,curriculum,9.191774214107867e-06,0.030528789627521497,848.144834900042
13,movement,movement_0013,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.1382201291026619,-0.06574151960282251,-0.06574151960282251,1,,0,reward_aversive,curriculum,9.72669939866717e-06,0.029789963679887416,850.3459142999491
14,movement,movement_0014,h4f2,100.0,100.0,0.0,1.0,0.1813091226475288,0.8617798708973381,0.8617798708973381,1,,1,reward_aversive,curriculum,1.0310084956506185e-05,0.03748653025104194,852.596648799954
15,movement,movement_0015,h7a1,100.0,-100.0,200.0,0.07576568547998053,0.17603195078915138,-0.10554343716754827,-0.10554343716754827,1,,0,reward_aversive,curriculum,1.2007445151541675e-05,0.03625342785757005,854.733031700016
16,movement,movement_0016,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.1710186375236928,-0.10026626530917085,-0.10026626530917085,1,,0,reward_aversive,curriculum,1.6053584529508387e-05,0.035465097458425,856.8225774000166
17,movement,movement_0017,b5a1,100.0,-100.0,200.0,0.07576568547998053,0.1662559899215072,-0.09525295204371229,-0.09525295204371229,1,,0,reward_aversive,curriculum,1.0292447333020299e-05,0.03447756083170782,858.9177193000214
18,movement,movement_0018,g5a1,100.0,-100.0,200.0,0.07576568547998053,0.16173147469943086,-0.09049030444152667,-0.09049030444152667,1,,0,reward_aversive,curriculum,9.793018561909662e-06,0.03395730307944041,860.3266273000045
19,movement,movement_0019,a4a1,100.0,-100.0,200.0,0.07576568547998053,0.15743318523845834,-0.08596578921945033,-0.08596578921945033,1,,0,reward_aversive,curriculum,7.693704913677018e-06,0.03343047503843191,861.8913179000374
20,movement,movement_0020,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.15334981025053443,-0.08166749975847781,-0.08166749975847781,1,,0,reward_aversive,curriculum,1.4127707352089292e-05,0.03298718658623209,863.8858193999622
21,movement,movement_0021,h1a1,100.0,-100.0,200.0,0.07576568547998053,0.14947060401200674,-0.0775841247705539,-0.0775841247705539,1,,0,reward_aversive,curriculum,1.0475551726084782e-05,0.032589661568963674,865.9285428000148
22,movement,movement_0022,f6a1,100.0,100.0,0.0,1.0,0.1919970738114064,0.8505293959879933,0.8505293959879933,1,,1,reward_aversive,curriculum,6.461085512118314e-06,0.03701084582533724,868.1540503000142
23,movement,movement_0023,a6a1,100.0,-100.0,200.0,0.07576568547998053,0.18618550439483508,-0.11623138833142588,-0.11623138833142588,1,,0,reward_aversive,curriculum,1.194625060868836e-05,0.03631968669110588,870.0263115999987
24,movement,movement_0024,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.18066451344909235,-0.11041981891485456,-0.11041981891485456,1,,0,reward_aversive,curriculum,1.3508346763556808e-05,0.03522466006845468,871.3796881999588
25,movement,movement_0025,c8a1,100.0,-100.0,200.0,0.07576568547998053,0.17541957205063674,-0.10489882796911182,-0.10489882796911182,1,,0,reward_aversive,curriculum,1.3752374764124852e-05,0.03417646433603687,873.0582262999378
26,movement,movement_0026,b2a1,100.0,100.0,0.0,1.0,0.2166485934481049,0.8245804279493633,0.8245804279493633,1,,1,reward_aversive,curriculum,1.2367290103091091e-05,0.04184370032405949,874.9998658000259
27,movement,movement_0027,h3a1,100.0,-100.0,200.0,0.07576568547998053,0.20960444804969866,-0.14088290796812436,-0.14088290796812436,1,,0,reward_aversive,curriculum,1.5004958880998736e-05,0.04049020884526938,876.8111911000451
28,movement,movement_0028,c3a1,100.0,100.0,0.0,1.0,0.2491242256472137,0.7903955519503013,0.7903955519503013,1,,1,reward_aversive,curriculum,1.1141993806894308e-05,0.045960230628236905,878.6606621999526
29,movement,movement_0029,c1a1,100.0,-100.0,200.0,0.07576568547998053,0.24045629863885204,-0.17335854016723318,-0.17335854016723318,1,,0,reward_aversive,curriculum,1.9826441315221732e-05,0.04432992142387357,880.559052299941
30,movement,movement_0030,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.23222176798090846,-0.1646906131588715,-0.1646906131588715,1,,0,reward_aversive,curriculum,9.607359524164732e-06,0.04348041423785937,881.8246991999913
