condition,stage,top1_accuracy_d8,top3_accuracy_d8,median_regret_cp_d8,mean_regret_cp_d8,blunder_rate_gt1000cp_d8,mate_solve_rate_d8,training_positions,elapsed_s,plastic_edge_count
reward_aversive,movement,0.4166666666666667,0.8611111111111112,200.0,116.66666666666669,0.0,0.4166666666666667,803,2697.830887399963,11119
reward_aversive,endgames,0.1875,0.71875,34.5,9428.21875,0.09375,0.1875,803,2697.830887399963,11119
reward_aversive,tactics,0.22,0.7,201.0,375.24,0.12,0.22,803,2697.830887399963,11119
reward_aversive,mates,0.2368421052631578,0.7631578947368421,321.0,31764.473684210527,0.3684210526315789,0.2368421052631578,803,2697.830887399963,11119
frozen,movement,0.1666666666666666,0.8611111111111112,200.0,166.66666666666666,0.0,0.1666666666666666,803,2677.6675131999655,11119
frozen,endgames,0.15625,0.6875,34.5,9429.75,0.09375,0.15625,803,2677.6675131999655,11119
frozen,tactics,0.28,0.7,165.5,358.36,0.12,0.28,803,2677.6675131999655,11119
frozen,mates,0.2368421052631578,0.7105263157894737,321.0,34371.47368421053,0.3684210526315789,0.2368421052631578,803,2677.6675131999655,11119
shuffled,movement,0.7222222222222222,0.7777777777777778,0.0,55.55555555555556,0.0,0.7222222222222222,404,1465.5377518000314,11119
shuffled,endgames,0.1875,0.625,12.0,6302.0,0.0625,0.1875,404,1465.5377518000314,11119
shuffled,tactics,0.24,0.68,210.0,281.12,0.08,0.24,404,1465.5377518000314,11119
shuffled,mates,0.3157894736842105,0.8421052631578947,132.0,31562.526315789477,0.3157894736842105,0.3157894736842105,404,1465.5377518000314,11119
