graph_index,body_id,role,superclass,class,subclass,type,flywire_type,hemibrain_type,manc_type,in_degree,out_degree,weighted_in_strength,weighted_out_strength,reciprocal_edge,input_reach_depth,output_reverse_distance
38,10047,baseline_readout,cb_motor,nan,pm,MNx02,CB0904,nan,nan,150,0,1.0,0.0,0,1,0
137,10151,baseline_readout,descending_neuron,nan,xl,DNge103,DNge103,nan,DNxl123,249,256,1.0000001192092896,4.816025257110596,1,2,0
146,10162,baseline_readout,descending_neuron,nan,xn,DNp20,DNp20,DNp20,DNp20,91,16,1.0,0.07273093611001968,1,1,0
147,10163,baseline_readout,descending_neuron,nan,fl,DNge036,DNge036,nan,DNfl042,305,196,1.0,2.9535176753997803,1,2,0
204,10223,baseline_readout,descending_neuron,nan,xn,DNpe056,DNpe056,PVLP146,DNxn168,533,473,1.0,6.429538726806641,1,1,0
243,10264,baseline_readout,descending_neuron,nan,ut,DNp31,DNp31,DNp31,DNp31,763,363,1.0,3.914055585861206,1,1,0
259,10281,baseline_readout,descending_neuron,nan,xl,DNg108,DNg108,nan,DNg108,588,902,1.0,5.52728796005249,1,1,0
273,10295,baseline_readout,descending_neuron,nan,xl,DNg34,DNg34,nan,DNg34,311,0,1.0,0.0,0,1,0
338,10366,baseline_readout,descending_neuron,nan,lt,DNp59,DNp59,CL247,DNp59,437,455,1.0,7.1297125816345215,1,2,0
384,10417,baseline_readout,descending_neuron,nan,lt,DNp103,DNp103,PVLP119,DNp103,1323,452,1.0,3.839050769805908,1,1,0
446,10482,baseline_readout,descending_neuron,nan,xl,DNg35,DNg35,nan,DNg35,742,297,1.0000001192092896,3.019627571105957,1,1,0
482,10520,baseline_readout,descending_neuron,nan,xl,DNg74_b,DNg74_b,nan,DNg74,349,755,1.0,4.7766876220703125,1,2,0
514,10552,baseline_readout,descending_neuron,nan,xn,DNp29,DNp29,NPFP1,DNp29,310,0,1.0,0.0,0,2,0
523,10562,baseline_readout,descending_neuron,nan,xn,DNp26,DNp26,DNp26,DNp26,478,197,1.0,1.7651644945144653,1,1,0
543,10582,baseline_readout,descending_neuron,nan,xl,DNge040,DNge040,nan,DNxl111,174,217,1.0000001192092896,2.0366008281707764,1,2,0
545,10584,baseline_readout,descending_neuron,nan,lt,DNp06,DNp06,DNp06,DNp06,832,447,1.0,5.000262260437012,1,1,0
616,10664,baseline_readout,descending_neuron,nan,ut,DNp33,DNp33,SAD095,DNp33,131,149,1.0000001192092896,3.32441782951355,1,2,0
632,10680,baseline_readout,descending_neuron,nan,xn,DNp48,DNp48,SMP462,DNp48,327,523,1.0,10.365934371948242,1,2,0
662,10711,baseline_readout,descending_neuron,nan,xn,DNb07,DNb07,PS067,DNb07,225,298,1.0,4.743163108825684,1,2,0
680,10732,baseline_readout,descending_neuron,nan,xn,DNpe056,DNpe056,PVLP146,DNxn168,594,488,1.0,6.733627796173096,1,1,0
704,10760,baseline_readout,descending_neuron,nan,xl,DNa01,DNa01,VES006,DNa01,402,311,1.0,3.1064088344573975,1,2,0
725,10783,baseline_readout,descending_neuron,nan,xl,DNp09,DNp09,DNp09,DNp09,496,317,0.9999999403953552,4.118839263916016,1,1,0
785,10846,baseline_readout,descending_neuron,nan,xn,DNge107,DNge107,nan,DNxn125,406,225,1.0,2.836122751235962,1,1,0
794,10856,baseline_readout,descending_neuron,nan,xl,DNge129,DNge129,nan,DNxl120,409,493,1.0,8.374046325683594,1,2,0
902,10975,baseline_readout,descending_neuron,nan,it,DNa03,DNa03,DNa03,DNa03,412,248,1.0000001192092896,1.9576728343963623,1,1,0
970,11048,baseline_readout,descending_neuron,nan,fl,DNge068,DNge068,nan,DNfl041,119,102,0.9999999403953552,1.2146469354629517,1,2,0
979,11057,baseline_readout,descending_neuron,nan,xn,DNbe004,DNbe004,PS066,DNxn095,578,337,1.0,3.613119602203369,1,2,0
1052,11137,baseline_readout,descending_neuron,nan,lt,DNp04,DNp04,DNp04,DNp04,307,392,1.0,2.5672607421875,1,1,0
1168,11259,baseline_readout,descending_neuron,nan,xn,DNp68,DNp68,CL138,DNp68,411,317,0.9999999403953552,3.1663155555725098,1,2,0
1269,11365,baseline_readout,descending_neuron,nan,xl,DNbe007,DNbe007,VES042,DNxl082,366,300,1.0,1.5300326347351074,1,2,0
1346,11442,baseline_readout,efferent_descending,nan,nan,DNg28,DNg28,nan,nan,31,0,1.0000001192092896,0.0,0,2,0
1361,11458,baseline_readout,descending_neuron,nan,xl,DNge043,DNge043,hb1499778528,DNxl012,245,139,1.0,0.900956392288208,1,1,0
1369,11466,baseline_readout,descending_neuron,nan,xl,DNge149,DNge149,nan,DNxl126,423,0,1.0,0.0,0,2,0
1392,11491,baseline_readout,descending_neuron,nan,xl,DNde005,DNde005,VES028,DNxl098,229,248,0.9999999403953552,2.2736096382141113,1,2,0
1400,11500,baseline_readout,descending_neuron,nan,xl,DNge043,DNge043,hb1499778528,DNxl012,253,128,1.0,0.8008818030357361,1,1,0
1428,11529,baseline_readout,cb_motor,nan,am,GNG652,CB0723,nan,nan,216,0,0.9999998807907104,0.0,0,1,0
1535,11647,baseline_readout,descending_neuron,nan,xl,DNpe006,DNpe006,CL330,DNxl102,112,405,1.0,6.493899822235107,1,1,0
1550,11662,baseline_readout,descending_neuron,nan,xn,DNp24,DNp24,DNp24,DNp24,54,68,0.9999999403953552,1.8277056217193604,1,2,0
1581,11693,baseline_readout,descending_neuron,nan,xn,DNd03,DNd03,nan,DNd03,299,1330,1.0,9.620272636413574,1,2,0
1692,11814,baseline_readout,descending_neuron,nan,ut,DNa04,DNa04,PS015,DNa04,381,306,1.0,4.783538818359375,1,1,0
1737,11859,baseline_readout,descending_neuron,nan,xn,DNpe050,DNpe050,CL341,DNxn183,282,287,0.9999999403953552,4.559510231018066,1,2,0
1756,11881,baseline_readout,descending_neuron,nan,xl,DNge023,DNge023,nan,DNxl124,243,255,0.9999999403953552,2.0269670486450195,1,2,0
1804,11931,baseline_readout,descending_neuron,nan,xl,DNd04,DNd04,nan,DNd04,324,671,0.9999999403953552,4.539176940917969,1,2,0
1807,11934,baseline_readout,cb_motor,nan,nm,GNG650,CB0835,nan,nan,308,0,1.0,0.0,0,2,0
1823,11951,baseline_readout,descending_neuron,nan,xl,DNg38,DNg38,nan,DNg38,211,247,1.0000001192092896,2.0972843170166016,1,2,0
1941,12075,baseline_readout,descending_neuron,nan,xl,DNb08,DNb08,VES083,DNb08,330,223,0.9999999403953552,1.700244426727295,1,2,0
1950,12085,baseline_readout,descending_neuron,nan,xn,DNge136,DNge136,nan,DNxn179,303,525,1.0,3.2781472206115723,1,2,0
2074,12218,baseline_readout,descending_neuron,nan,xn,DNpe031,DNpe031,PVLP116,DNxn186,424,531,1.0000001192092896,4.717263698577881,1,2,0
2079,12223,baseline_readout,descending_neuron,nan,xn,DNpe027,DNpe027,PS166,DNxn167,249,176,0.9999998807907104,1.159721851348877,1,1,0
2194,12348,baseline_readout,descending_neuron,nan,xn,MDN,MDN,MDN,MDN,341,190,1.0,1.4156379699707031,1,1,0
2218,12374,baseline_readout,descending_neuron,nan,xn,DNge140,DNge140,nan,DNxn185,257,428,1.0,2.7547848224639893,1,1,0
2251,12407,baseline_readout,descending_neuron,nan,xn,DNge136,DNge136,nan,DNxn179,281,589,1.0,3.5190019607543945,1,2,0
2265,12422,baseline_readout,descending_neuron,nan,fl,DNge100,DNge100,nan,DNfl020,161,106,1.0000001192092896,0.6324486136436462,1,1,0
2414,12581,baseline_readout,descending_neuron,nan,xl,DNge069,DNge069,nan,DNxl034,92,162,0.9999999403953552,1.525736689567566,1,2,0
2450,12620,baseline_readout,descending_neuron,nan,xn,DNp44,DNp44,DNp44,DNp44,63,236,1.0,3.6228280067443848,1,2,0
2512,12687,baseline_readout,descending_neuron,nan,nt,DNge113,DNge113,nan,DNnt001,84,71,0.9999999403953552,0.4141494035720825,1,2,0
2575,12753,baseline_readout,descending_neuron,nan,xl,DNpe003,DNpe003,"VES069,VES081",DNxl075,143,126,1.0000001192092896,0.7759582996368408,1,1,0
2583,12762,baseline_readout,descending_neuron,nan,xn,DNp41,DNp41,hb1344695030,DNp41,106,137,1.0,2.3349568843841553,0,1,0
2661,12845,baseline_readout,cb_motor,nan,am,GNG133,CB0873,nan,nan,177,0,1.0,0.0,0,2,0
2683,12869,baseline_readout,descending_neuron,nan,fl,DNge098,DNge098,nan,DNfl027,110,151,1.0000001192092896,2.903623342514038,1,2,0
2805,12995,baseline_readout,descending_neuron,nan,xl,DNde003,DNde003,LAL106,DNxl067,223,162,1.0,0.8924010992050171,1,2,0
2894,13092,baseline_readout,descending_neuron,nan,xn,DNp60,DNp60,CL139,DNp60,131,209,1.0,3.0707390308380127,1,2,0
2930,13130,baseline_readout,descending_neuron,nan,xl,DNg105,DNg105,nan,DNg105,503,466,0.9999998807907104,3.375084161758423,1,2,0
3048,13257,baseline_readout,descending_neuron,nan,xn,DNp25,DNp25,DNp25,DNp25,118,85,0.9999998807907104,1.0872681140899658,1,2,0
3211,13432,baseline_readout,descending_neuron,nan,ad,DNg66,DNg66,nan,DNg66,216,0,1.0000001192092896,0.0,0,1,0
3283,13514,baseline_readout,descending_neuron,nan,xl,DNae008,DNae008,PS012,DNxl056,155,181,0.9999999403953552,1.3096305131912231,1,2,0
3383,13625,baseline_readout,descending_neuron,nan,xn,DNge137,DNge137,nan,DNxn126,103,192,1.0,1.7229351997375488,1,2,0
3390,13633,baseline_readout,descending_neuron,nan,xl,DNg43,DNg43,nan,DNg43,191,394,1.0,3.922778367996216,1,2,0
3628,13891,baseline_readout,descending_neuron,nan,lt,DNg106,DNg106,nan,DNg106,82,99,1.0,0.6142616868019104,1,2,0
3683,13952,baseline_readout,descending_neuron,nan,xl,DNg63,DNg63,nan,DNg63,169,204,1.0,1.7433301210403442,1,1,0
3754,14029,baseline_readout,descending_neuron,nan,xn,DNp65,DNp65,nan,DNp65,66,115,0.9999998807907104,2.8012356758117676,1,2,0
3828,14114,baseline_readout,descending_neuron,nan,xl,DNg69,DNg69,nan,DNg69,196,67,1.0,0.5326898694038391,1,2,0
3935,14234,baseline_readout,descending_neuron,nan,xl,DNg64,DNg64,nan,DNg64,160,145,1.0,1.009223461151123,1,2,0
3937,14237,baseline_readout,cb_motor,nan,pm,MN12D,CB0914/CB0915,nan,nan,57,0,1.0,0.0,0,2,0
3946,14249,baseline_readout,descending_neuron,nan,fl,DNge077,DNge077,nan,DNfl025,118,140,0.9999999403953552,0.551677942276001,1,2,0
3959,14264,baseline_readout,descending_neuron,nan,xl,DNde003,DNde003,LAL107,DNxl067,203,172,1.0,0.9540998935699463,1,2,0
3960,14265,baseline_readout,descending_neuron,nan,xn,DNge133,DNge133,nan,DNxn127,192,246,1.0,1.1571204662322998,1,1,0
3966,14271,baseline_readout,descending_neuron,nan,xn,DNae006,DNae006,PS045,DNxn118,140,132,1.0,0.9783047437667847,1,2,0
4017,14328,baseline_readout,descending_neuron,nan,xn,DNpe040,DNpe040,CL320,DNxn130,276,276,1.0000001192092896,2.589712381362915,1,2,0
4335,14686,baseline_readout,descending_neuron,nan,xn,DNg11,DNg11,nan,DNg11,86,60,1.0000001192092896,1.501943588256836,0,1,0
4443,14804,baseline_readout,descending_neuron,nan,xl,DNg63,DNg63,nan,DNg63,184,175,0.9999999403953552,1.6949183940887451,1,2,0
4535,14907,baseline_readout,cb_motor,nan,pm,MN13,CB0836,nan,nan,52,0,1.0,0.0,0,2,0
5091,15530,baseline_readout,cb_motor,nan,pm,MN1,CB0720,nan,nan,54,6,1.0,0.008578510954976082,0,2,0
5225,15681,baseline_readout,descending_neuron,nan,nt,DNge113,DNge113,nan,DNnt001,90,68,1.0,0.3527989387512207,1,1,0
5369,15835,baseline_readout,descending_neuron,nan,xn,DNp25,DNp25,DNp25,DNp25,72,61,1.0,0.6818596720695496,1,2,0
6144,16703,baseline_readout,descending_neuron,nan,it,DNpe033,DNpe033,SMP289,DNit004,109,110,1.0000001192092896,1.6541537046432495,1,2,0
6152,16712,baseline_readout,descending_neuron,nan,ut,DNb03,DNb03,DNb03,DNb03,73,108,1.0,2.7539541721343994,1,2,0
6169,16731,baseline_readout,descending_neuron,nan,xn,DNg94,DNg94,nan,DNg94,80,126,0.9999999403953552,2.271247148513794,1,1,0
6178,16741,baseline_readout,descending_neuron,nan,fl,DNge019,DNge019,nan,DNfl003,86,120,0.9999999403953552,1.5050877332687378,1,2,0
6272,16850,baseline_readout,descending_neuron,nan,xn,DNg23,DNg23,nan,DNg23,75,126,1.0000001192092896,1.5080558061599731,1,2,0
6277,16856,baseline_readout,descending_neuron,nan,xn,DNge134,DNge134,nan,DNxn073,52,63,0.9999998807907104,0.43755221366882324,1,2,0
6598,17211,baseline_readout,descending_neuron,nan,fl,DNge174,DNge174,nan,DNfl047,100,117,1.0000001192092896,0.6823703646659851,1,2,0
6735,17367,baseline_readout,descending_neuron,nan,xn,DNp65,DNp65,nan,DNp65,73,96,1.0,2.305013418197632,1,2,0
6850,17495,baseline_readout,cb_motor,nan,pm,MN7,CB0762,nan,nan,37,0,0.9999999403953552,0.0,0,2,0
7794,18556,baseline_readout,descending_neuron,nan,ut,DNg03,DNg03,nan,DNg03,25,49,1.0,0.45698603987693787,1,2,0
8460,19296,baseline_readout,cb_motor,nan,pm,MNx01,MNx01,nan,nan,96,128,1.0,1.5801177024841309,1,2,0
8601,19455,baseline_readout,descending_neuron,nan,nt,DNg12_h,DNg12_d,nan,DNnt013,89,68,1.0,0.8003251552581787,1,2,0
8812,19691,baseline_readout,descending_neuron,nan,ut,DNge110,DNge110,nan,DNut044,49,118,1.0,1.2731616497039795,1,2,0
9054,19960,baseline_readout,descending_neuron,nan,ut,DNa07,DNa07,DNa07,DNa07,131,192,1.0,1.076287865638733,1,1,0
9136,20054,baseline_readout,descending_neuron,nan,ut,DNge091,DNge091,nan,DNxn117,77,112,1.0,1.7042169570922852,1,1,0
9251,20185,baseline_readout,descending_neuron,nan,ut,DNg36_a,DNg36_a,nan,DNg36,47,88,1.0,1.2250887155532837,1,1,0
9297,20234,baseline_readout,descending_neuron,nan,ut,DNge175,DNg06_a,nan,DNut057,156,141,0.9999999403953552,1.0789257287979126,1,2,0
9543,20518,baseline_readout,cb_motor,nan,pm,CEM,CEM,nan,nan,15,0,1.0,0.0,0,2,0
9909,20923,baseline_readout,descending_neuron,nan,ut,DNg110,"DNg06_b,DNg06_c",nan,DNg110,103,69,1.0000001192092896,0.33144423365592957,1,2,0
9943,20962,baseline_readout,descending_neuron,nan,ut,DNg02_f,DNg02_f,nan,DNg02,161,84,1.0,0.3832818567752838,1,2,0
10227,21278,baseline_readout,descending_neuron,nan,it,DNg106,DNg106,nan,DNg106,78,111,1.0000001192092896,1.2955741882324219,1,1,0
10895,22024,baseline_readout,descending_neuron,nan,ut,DNge181,DNge091,nan,DNut048,73,84,1.0,0.6066575050354004,1,2,0
10945,22080,baseline_readout,descending_neuron,nan,nt,DNg12_g,DNg12_b,nan,DNnt013,57,51,1.0,0.50612872838974,1,2,0
11049,22190,baseline_readout,descending_neuron,nan,fl,DNg12_e,DNg12_e,nan,DNg12,78,90,1.0,0.8735111355781555,1,2,0
11245,22404,baseline_readout,descending_neuron,nan,ut,DNg02_a,DNg02_a,nan,DNg02,93,77,1.0,0.3071461021900177,1,2,0
11385,22564,baseline_readout,descending_neuron,nan,fl,DNg12_e,DNg12_e,nan,DNg12,89,67,0.9999999403953552,0.4649730920791626,1,1,0
12577,23892,baseline_readout,descending_neuron,nan,ut,DNge095,DNge095,nan,DNut064,77,74,0.9999999403953552,0.5215822458267212,1,2,0
12722,24058,baseline_readout,descending_neuron,nan,ut,DNge014,DNge014,nan,DNut050,99,98,1.0,0.6798732876777649,0,2,0
13727,25188,baseline_readout,descending_neuron,nan,ut,DNg08,"DNg08_a,DNg08_b",nan,DNg08,62,117,0.9999999403953552,1.6895596981048584,0,2,0
13971,25461,baseline_readout,descending_neuron,nan,ut,DNg08,"DNg08_a,DNg08_b",nan,DNg08,60,93,1.0,0.9653225541114807,0,2,0
14040,25535,baseline_readout,descending_neuron,nan,ut,DNp17,DNp17,DNp16/17,DNp17,33,59,1.0,1.0317637920379639,1,2,0
14569,26137,baseline_readout,cb_motor,nan,pm,MNx02,CB0904,nan,nan,90,0,0.9999999403953552,0.0,0,2,0
14907,26512,baseline_readout,descending_neuron,nan,ut,DNg07,DNg07,nan,DNg07,54,70,1.0,0.688060462474823,1,2,0
14978,26591,baseline_readout,descending_neuron,nan,ut,DNg07,DNg07,nan,DNg07,67,89,0.9999999403953552,0.7148399353027344,1,2,0
15016,26636,baseline_readout,descending_neuron,nan,ad,DNp58,DNp58,hb1791391565,DNp58,92,130,0.9999998807907104,4.3537678718566895,1,2,0
15730,27437,baseline_readout,descending_neuron,nan,ut,DNg07,DNg07,nan,DNg07,53,89,1.0,0.6955589652061462,0,2,0
16051,27792,baseline_readout,descending_neuron,nan,ut,DNge093,DNge093,nan,DNut054,68,76,1.0,0.7696175575256348,1,1,0
16639,28450,baseline_readout,descending_neuron,nan,xl,DNge153,DNge153,nan,DNxl118,223,264,1.0,10.536054611206055,1,1,0
17269,29158,baseline_readout,descending_neuron,nan,nt,DNge085,DNge085,nan,DNnt011,68,61,0.9999999403953552,1.371726632118225,0,1,0
17295,29188,baseline_readout,descending_neuron,nan,ut,DNge108,"DNge108,DNge118",nan,DNut065,65,72,1.0,1.0140612125396729,0,1,0
18853,30957,baseline_readout,descending_neuron,nan,ut,DNpe015,DNpe015,nan,DNut046,41,48,1.0,0.6924088597297668,1,2,0
19144,31298,baseline_readout,descending_neuron,nan,fl,DNge009,DNge024,nan,DNfl014,34,48,1.0,0.25459787249565125,1,2,0
19749,31987,baseline_readout,descending_neuron,nan,ut,DNpe015,DNpe015,nan,DNut046,50,54,0.9999999403953552,1.0420812368392944,1,2,0
19844,32092,baseline_readout,cb_motor,nan,pm,MN7,CB0762,nan,nan,50,0,1.0,0.0,0,2,0
20510,32852,baseline_readout,cb_motor,nan,pm,CEM,CEM,nan,nan,8,0,1.0,0.0,0,2,0
