population_id,anatomical_family,population_role,population_size,depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,effective_rank,within_position_candidate_distance,mean_train_feature_std,mean_validation_score_margin_proxy
readout_baseline_a,baseline_a,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_baseline_a,baseline_a,readout,256,2,0.688805570433851,0.1171875,0.3203125,4267.25,10.078125,0.18601488229084534,0.1361569516279183,0.5870111132971942,0.7108717552433972,0.004860054699637494,33.25346374511719,4.486340141216068,0.28906142711639404,7.26807975769043
readout_baseline_a,baseline_a,readout,256,4,0.7445099089448313,0.15625,0.390625,4260.890625,10.515625,0.225172491979134,0.1607963691002317,0.7293277899734676,1.0114577938891765e-06,0.016559587001553598,41.048622131347656,7.845100199410025,0.9999999403953552,6.541434288024902
readout_baseline_a,baseline_a,readout,256,8,0.7434386716657739,0.15625,0.3828125,4264.1484375,10.7109375,0.22686582462105645,0.16166325381633295,0.7706022565253079,0.0,0.0137092989383739,38.38397216796875,7.9672690759037135,0.9999998807907104,7.5767059326171875
readout_baseline_a,baseline_a,readout,256,16,0.7442420996250669,0.1328125,0.390625,4274.5234375,10.90625,0.22339385966439024,0.1588405893010956,0.7416985263116658,0.0,0.014160409114448472,37.78068542480469,8.011721898341804,0.9999998807907104,7.542469024658203
readout_baseline_a,baseline_a,readout,256,32,0.7434386716657739,0.140625,0.3515625,4268.0234375,10.8125,0.2236025830244351,0.15894065374522853,0.7232170726638287,1.0114577938891765e-06,0.012540053728638012,32.96413803100586,7.671500589968462,0.9999998807907104,7.498249530792236
readout_baseline_a,baseline_a,readout,256,64,0.7479914301017675,0.1484375,0.3828125,4250.078125,10.8046875,0.22157107189412115,0.1580778633711714,0.6611433466896415,3.0343733816675297e-06,0.009659421931641637,22.756099700927734,7.301905998681965,0.9999998807907104,7.349359512329102
readout_central_complex,central_complex,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_central_complex,central_complex,readout,256,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_central_complex,central_complex,readout,256,4,0.6855918585966791,0.1015625,0.3515625,5075.25,12.1171875,0.18319206311255581,0.127177461103064,0.45938421378377825,0.0684716468151217,0.02728306253236665,20.32477569580078,5.094834525020636,0.9179688692092896,7.670609951019287
