population_id,anatomical_family,depth,population_size,within_position_candidate_distance,between_position_state_distance,effective_rank,participation_ratio,cka_to_depth_1,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,train_pair_accuracy,train_top1_accuracy,train_top3_accuracy,train_mean_teacher_regret_cp,train_mean_selected_teacher_rank,train_mean_spearman,train_mean_kendall,train_mean_score_margin,train_near_zero_unit_fraction,train_saturated_unit_fraction,train_validation_pair_accuracy_gap,train_validation_top1_accuracy_gap,train_validation_regret_gap_cp,state_norm_mean,delta_norm_mean,saturation_fraction,effective_rank_relative_to_depth_1,winner_switch_frequency_across_test_depth
readout_fan_shaped_body,fan_shaped_body,1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,2,256,0.0,1.690174854104192,1.9344128370285036,1.8762745501402391,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.9921875,0.0003489529388917,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,0.9921875,0.0001623125343973,0.0,-0.046875,1582.078125,1.3123579025268557,1.3123579025268557,0.0003489529388917,1934412.8370285037,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,4,256,6.089498776809313,21.01912145851653,27.397113800048828,16.094513871738222,0.0,0.7056775575790037,0.09375,0.3125,4350.6875,13.7890625,0.2061081063318499,0.1461614716372858,0.5656666848808527,0.0358501100466079,0.0245278515018125,0.8485453508271534,0.25,0.515625,1039.6953125,9.7578125,0.2870908613264273,0.2104646802663392,0.5394206251949072,0.0395161151623555,0.0176469197165657,0.1428677932481497,0.15625,3310.9921875,15.858182907104492,15.791543960571287,0.0245278515018125,27397113.800048828,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,8,256,6.542744510551346,21.146903396184605,28.799718856811523,17.764064948764062,0.0,0.724692019282271,0.1015625,0.3359375,5102.0078125,13.2265625,0.21318100148471,0.1517775153509546,0.507329408545047,1.0114577938891763e-06,0.0170319377912998,0.8608100399315459,0.2734375,0.5390625,997.3984375,8.375,0.2835833921986942,0.2058287091491782,0.4988899221643805,1.074917446340121e-06,0.0129269572096862,0.1361180206492749,0.171875,4104.609375,16.12950325012207,12.02284336090088,0.0170319377912998,28799718.856811523,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,16,256,6.672875722235974,21.07922133811546,29.20535087585449,18.54196624811704,0.0,0.7265666845206213,0.1015625,0.3359375,5867.8203125,13.3671875,0.2120337584141926,0.1510281849124142,0.5196343841962516,0.0,0.0160912820429829,0.8593839132915003,0.25,0.5390625,1022.3359375,9.5546875,0.2768182260152546,0.2007594188567172,0.5053199105896056,2.149834892680242e-06,0.0121067951981287,0.1328172287708789,0.1484375,4845.484375,16.160762786865234,4.168810844421387,0.0160912820429829,29205350.87585449,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,32,256,6.442026147310971,21.16057720982605,26.95306396484375,16.329529039815853,0.0,0.7308516336368506,0.1171875,0.3515625,5858.0703125,13.2109375,0.2132356468174968,0.1517421806767444,0.5062292022630572,1.0114577938891763e-06,0.0152669439409632,0.8568168853394181,0.25,0.53125,1024.046875,9.7890625,0.2757461918533272,0.2011430531310258,0.5006942725740373,1.074917446340121e-06,0.0111855909466153,0.1259652517025675,0.1328125,4834.0234375,16.144742965698242,5.144672870635986,0.0152669439409632,26953063.96484375,0.365141369047619
readout_fan_shaped_body,fan_shaped_body,64,256,5.608376732901568,20.897998704812903,12.00058364868164,4.40391232420685,0.0,0.7150508837707552,0.0859375,0.265625,5104.671875,13.4609375,0.1978265328040605,0.1394495714711476,0.4332006031181663,2.022915587778353e-06,0.0085690704298291,0.8428408442669709,0.21875,0.4765625,1026.671875,9.4375,0.2591525695684388,0.1875314308394535,0.4652961355168372,1.074917446340121e-06,0.0063022409878921,0.1277899604962157,0.1328125,4078.0,15.904410362243652,9.56485080718994,0.0085690704298291,12000583.64868164,0.365141369047619
readout_hdelta_family,hdelta_family,1,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.33984375
readout_hdelta_family,hdelta_family,2,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.33984375
readout_hdelta_family,hdelta_family,4,189,4.0832930930626725,15.617894386363137,7.864968299865723,5.963535805177748,0.0,0.6547937868237814,0.0390625,0.171875,4334.0078125,13.0078125,0.136232910665303,0.095465176177807,0.2474704466294497,0.2024679484544839,0.0207105455681323,0.744438106103822,0.0625,0.3359375,1954.2109375,12.9921875,0.2218027496293813,0.1577467717167125,0.2320267403265461,0.2148491757737767,0.0146194232600396,0.0896443192800405,0.0234375,2379.796875,11.714282989501951,11.714282989501951,0.0207105455681323,7864968.299865723,0.33984375
readout_hdelta_family,hdelta_family,8,189,4.209849629731057,17.81684206005387,7.419568061828613,4.763478837849076,0.0,0.6794322442420996,0.0625,0.265625,5113.6640625,13.7890625,0.1611149756945689,0.1138460228909171,0.4724407237954438,0.0,0.0171498716294159,0.8117512835139761,0.15625,0.4453125,1114.3046875,11.53125,0.2302301198839782,0.1662427916714526,0.5821998463943601,1.455972837370746e-06,0.0169096685332238,0.1323190392718765,0.09375,3999.359375,13.127224922180176,13.015429496765137,0.0171498716294159,7419568.061828613,0.33984375
readout_hdelta_family,hdelta_family,16,189,4.608929102982238,17.961561507054213,8.349189758300781,5.481676090433999,0.0,0.695232994108195,0.078125,0.28125,5119.625,13.5390625,0.1710381981915958,0.1185786122507276,0.5355680899228901,0.0,0.0198638751202189,0.8183114660581859,0.171875,0.4296875,1116.8828125,11.59375,0.2349901416419482,0.1701239542788855,0.6147334645502269,0.0,0.0151493973728426,0.123078471949991,0.09375,4002.7421875,13.26854419708252,3.240757703781128,0.0198638751202189,8349189.758300781,0.33984375
readout_hdelta_family,hdelta_family,32,189,4.5898695452105525,17.920327030791498,8.294269561767578,5.511316554151882,0.0,0.7003213711837172,0.0859375,0.28125,5135.3203125,14.1484375,0.1757905465144176,0.1218096508698703,0.5155761643545702,0.0,0.0182458851542228,0.8168853394181403,0.140625,0.453125,1133.53125,12.140625,0.2371897705621862,0.1729122014894328,0.6042531969724223,0.0,0.0127237466257829,0.1165639682344231,0.0546875,4001.7890625,13.182215690612791,4.179291248321533,0.0182458851542228,8294269.561767578,0.33984375
readout_hdelta_family,hdelta_family,64,189,3.6144309161207664,16.758870079980458,3.56442928314209,2.03148785591126,0.0,0.688805570433851,0.0625,0.234375,5129.4609375,13.9609375,0.1599411241343586,0.1083699753458243,0.5285894412081689,0.0,0.0053156655953134,0.7920707358813462,0.140625,0.4609375,1159.734375,13.0,0.2103553827490875,0.1506290258372113,0.5745340897701681,0.0,0.0047785028522507,0.1032651654474952,0.078125,3969.7265625,12.484417915344238,9.511327743530272,0.0053156655953134,3564429.28314209,0.33984375
