control_variant,depth,positions,mean_control_did_cp,bootstrap_ci_low_cp,bootstrap_ci_high_cp
degree_preserving_topology_shuffle,2,140,86.62142857142857,19.083928571428572,157.57249999999985
degree_preserving_topology_shuffle,4,140,-647.5428571428571,-2130.307678571429,108.09696428571415
degree_preserving_topology_shuffle,8,140,-771.2642857142857,-2260.0916071428574,9.629821428571422
degree_preserving_topology_shuffle,16,140,-698.9285714285714,-2161.7194642857144,58.117499999999986
degree_preserving_topology_shuffle,32,140,-753.0071428571429,-2228.8151785714285,15.829999999999915
degree_preserving_topology_shuffle,64,140,-778.6785714285714,-2263.068928571429,-12.695714285714308
transmitter_sign_shuffle,2,140,27.728571428571428,-35.36053571428571,94.58321428571425
transmitter_sign_shuffle,4,140,-691.7928571428571,-2155.6707142857144,60.9805357142857
transmitter_sign_shuffle,8,140,-677.1857142857143,-2145.7205357142857,79.5530357142857
transmitter_sign_shuffle,16,140,-709.9428571428572,-2157.8630357142856,39.04910714285711
transmitter_sign_shuffle,32,140,-782.3071428571428,-2247.7805357142856,-21.441071428571476
transmitter_sign_shuffle,64,140,-807.9785714285714,-2271.247142857143,-47.57767857142862
recurrent_edges_attenuated_0.05,2,140,0.0,0.0,0.0
recurrent_edges_attenuated_0.05,4,140,-719.95,-2160.3251785714283,10.405535714285685
recurrent_edges_attenuated_0.05,8,140,-703.0285714285715,-2151.143035714286,38.37660714285712
recurrent_edges_attenuated_0.05,16,140,-735.7857142857143,-2176.719107142857,10.127499999999968
recurrent_edges_attenuated_0.05,32,140,-808.15,-2269.6178571428572,-51.25
recurrent_edges_attenuated_0.05,64,140,-833.8214285714286,-2298.0021428571426,-78.1028571428572
