position_id,source_game_id,phase,ply,fen,side_to_move,variant,depth,legal_move_count,teacher_best_move,predicted_move,selected_teacher_cp,teacher_best_cp,regret_cp,teacher_best_agreement,top3_teacher_agreement,selected_teacher_rank,fly_rank_of_teacher_best,score_margin,score_dispersion,spearman_rank_correlation,kendall_rank_correlation,recurrent_passes,latency_s,trajectory_latency_s,stockfish_eval_loss_cp,post_eval_included
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,1,36,e4a8,h2h4,-200.0,739.0,939.0,0,0,14,17,0.0,0.0,,,36,1.9659978999989107,134.65907359996345,645.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,2,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,5,0.0,0.00039638147574889195,-0.07851918182369912,-0.05357474032488645,72,4.606091400026344,134.65907359996345,685.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,4,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,6,1.4790799468755722e-05,0.0007204037544909944,0.10800025946323262,0.08751019354237223,144,9.50662890006788,134.65907359996345,660.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,8,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,6,1.4218268916010857e-05,0.0007738208408433724,0.1340027057225568,0.08751019354237223,288,18.50874359998852,134.65907359996345,662.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,16,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,6,1.3713724911212921e-05,0.0007750085195680661,0.13207183100032976,0.08751019354237223,576,33.81551099999342,134.65907359996345,662.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,32,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,6,1.3707438483834267e-05,0.0007750149982901462,0.13207183100032976,0.08751019354237223,1152,63.69855380000081,134.65907359996345,661.0,1
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,transmitter_sign_shuffle,64,36,e4a8,g1h3,-220.0,739.0,959.0,0,0,17,6,1.370045356452465e-05,0.0007750816051910798,0.12898243144476648,0.08751019354237223,2304,134.42251269996632,134.65907359996345,665.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,1,35,e4b7,h2h4,-62.0,374.0,436.0,0,0,10,18,0.0,0.0,,,35,2.029357500025071,125.19076909997966,874.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,2,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,4,0.0,0.00038313113866945286,-0.011419119346831725,-0.024293257395175256,70,3.880192399956286,125.19076909997966,874.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,4,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,6,1.4790333807468414e-05,0.0007165550115277047,0.10534426232427663,0.0673970139066558,140,7.577386399963871,125.19076909997966,877.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,8,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,6,1.4225021004676819e-05,0.0007700415201046357,0.10716537324211652,0.0673970139066558,280,15.15707710001152,125.19076909997966,879.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,16,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,6,1.3712793588638306e-05,0.0007712052962381257,0.1078658005182088,0.07076686460198858,560,30.70450360001996,125.19076909997966,877.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,32,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,6,1.3712793588638306e-05,0.0007712271947232345,0.1078658005182088,0.07076686460198858,1120,62.457581399939954,125.19076909997966,874.0,1
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,transmitter_sign_shuffle,64,35,e4b7,g1h3,-86.0,374.0,460.0,0,0,14,6,1.3696961104869843e-05,0.0007713591721537162,0.10674511687646115,0.0673970139066558,2240,124.87110729992855,125.19076909997966,875.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,1,27,f3b7,h2h4,6.0,494.0,488.0,0,0,5,11,0.0,0.0,,,27,1.3581551000243053,113.11195729998872,852.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,2,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.00025460775941610336,0.0017621795840138453,-0.19001047891704725,-0.1455864752952471,54,2.920742299989797,113.11195729998872,1.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,4,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.00020630192011594772,0.0023081259165314725,-0.23752099192926357,-0.16547805710421967,108,6.372542400029488,113.11195729998872,26.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,8,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.0002307826653122902,0.0023041505736519138,-0.22836208478546163,-0.16547805710421967,216,11.514210499939509,113.11195729998872,0.0,1
