depth,variant,teacher_agreement,quality_loss_cp,latency_s,recurrent_passes,score_margin
1,original,0.0,365.0,0.23863614999572746,4.0,0.0
2,original,0.0,452.5,0.36025654996046796,8.0,0.00019422441255301237
4,original,0.0,409.0,0.7741673499695025,16.0,0.0006158575415611267
8,original,0.0,409.0,1.161518149980111,32.0,0.0007362691685557365
16,original,0.0,409.0,2.589383150014328,64.0,0.0007347245700657368
32,original,0.0,409.0,4.777980950020719,128.0,0.0007382337935268879
64,original,0.0,409.0,9.02965864998987,256.0,0.00040424615144729614
1,degree_preserving_topology_shuffle,0.0,365.0,0.14159754998399876,4.0,0.0
2,degree_preserving_topology_shuffle,0.5,104.0,0.3063230999978259,8.0,0.001990619784919545
4,degree_preserving_topology_shuffle,0.0,250.0,0.8016747499932535,16.0,0.0018888359772972763
8,degree_preserving_topology_shuffle,0.0,173.5,1.4836034500040114,32.0,0.002303685061633587
16,degree_preserving_topology_shuffle,0.0,452.5,2.451201849995414,64.0,0.0010378919541835785
32,degree_preserving_topology_shuffle,0.0,452.5,4.452886499988381,128.0,0.001780495047569275
64,degree_preserving_topology_shuffle,0.0,452.5,11.587278249993687,256.0,0.001780390739440918
1,transmitter_sign_shuffle,0.0,365.0,0.1497434499906376,4.0,0.0
2,transmitter_sign_shuffle,0.0,452.5,0.40413949999492615,8.0,0.00014940695837140083
4,transmitter_sign_shuffle,0.0,452.5,0.5284909499750938,16.0,0.0010199726093560457
8,transmitter_sign_shuffle,0.0,452.5,1.1449491500097793,32.0,0.0009428390767425299
16,transmitter_sign_shuffle,0.0,452.5,2.6688874999817926,64.0,0.0009386495221406221
32,transmitter_sign_shuffle,0.0,452.5,5.0857138500141446,128.0,0.0009385927114635706
64,transmitter_sign_shuffle,0.0,452.5,9.861631350009702,256.0,0.0009384138975292444
1,recurrent_edges_attenuated,0.0,365.0,0.13650824999785982,4.0,0.0
2,recurrent_edges_attenuated,0.0,452.5,0.27889004998723976,8.0,9.71116969594732e-06
4,recurrent_edges_attenuated,0.0,452.5,0.5766523999918718,16.0,1.1799507774412632e-05
8,recurrent_edges_attenuated,0.0,452.5,1.206126300006872,32.0,1.1774594895541668e-05
16,recurrent_edges_attenuated,0.0,452.5,3.1534746500256006,64.0,1.1774201993830502e-05
32,recurrent_edges_attenuated,0.0,452.5,5.5771425000275485,128.0,1.1774201993830502e-05
64,recurrent_edges_attenuated,0.0,452.5,9.815264649980236,256.0,1.1774201993830502e-05
