depth,variant,teacher_agreement,teacher_agreement_ci_low,teacher_agreement_ci_high,quality_loss_cp,stockfish_eval_loss_cp,latency_s,recurrent_passes,score_margin
1,original,0.0,0.0,0.0,756.5,685.125,1.0629103374885744,30.625,0.0
2,original,0.125,0.0,0.375,345.375,446.625,2.0416173374978825,61.25,0.0013532991069951095
4,original,0.125,0.0,0.375,354.875,453.0,4.467779700011306,122.5,0.0024060917203314602
8,original,0.125,0.0,0.375,316.375,463.0,8.584649062504468,245.0,0.0023112516428227536
16,original,0.125,0.0,0.375,316.375,463.0,16.959237512499385,490.0,0.0020351461425889283
32,original,0.125,0.0,0.375,493.0,545.375,35.019507537508616,980.0,0.001764042281138245
64,original,0.125,0.0,0.375,519.875,520.5,67.73316036251344,1960.0,0.001768524234648794
1,degree_preserving_topology_shuffle,0.0,0.0,0.0,756.5,685.125,1.2278784750087652,30.625,0.0
2,degree_preserving_topology_shuffle,0.125,0.0,0.375,452.875,583.625,2.451953212512308,61.25,0.0016212721639021765
4,degree_preserving_topology_shuffle,0.125,0.0,0.375,459.0,591.5,5.286618624995754,122.5,0.0010819764356710948
8,degree_preserving_topology_shuffle,0.25,0.0,0.625,256.125,399.25,9.813419812504435,245.0,0.002443126286379993
16,degree_preserving_topology_shuffle,0.125,0.0,0.375,591.875,717.125,21.18349377499544,490.0,0.0014236248098313808
32,degree_preserving_topology_shuffle,0.125,0.0,0.375,591.875,717.125,42.080558462504996,980.0,0.0016504228115081787
64,degree_preserving_topology_shuffle,0.125,0.0,0.375,591.875,717.125,76.45749506249558,1960.0,0.0016504311934113503
1,transmitter_sign_shuffle,0.0,0.0,0.0,756.5,685.125,1.1447368125009234,30.625,0.0
2,transmitter_sign_shuffle,0.0,0.0,0.0,518.75,579.375,2.1576425374951214,61.25,0.0005355263456294779
4,transmitter_sign_shuffle,0.125,0.0,0.375,396.75,480.875,3.681651275001059,122.5,0.0012190554989501834
8,transmitter_sign_shuffle,0.125,0.0,0.375,396.75,480.875,7.095587899988459,245.0,0.001229062647325918
16,transmitter_sign_shuffle,0.125,0.0,0.375,396.75,480.875,13.533178425001097,490.0,0.0012286495184525847
32,transmitter_sign_shuffle,0.125,0.0,0.375,396.75,480.875,29.194764262509125,980.0,0.0012283782562008128
64,transmitter_sign_shuffle,0.125,0.0,0.375,396.75,480.875,70.24809233749693,1960.0,0.0012273973843548447
1,recurrent_edges_attenuated,0.0,0.0,0.0,756.5,685.125,1.290973387498525,30.625,0.0
2,recurrent_edges_attenuated,0.125,0.0,0.375,345.375,446.625,2.0834462249913486,61.25,6.766732985852286e-05
4,recurrent_edges_attenuated,0.125,0.0,0.375,316.375,463.0,4.415062012507406,122.5,9.414005330654618e-05
8,recurrent_edges_attenuated,0.125,0.0,0.375,316.375,463.0,8.1434156250034,245.0,9.545803322907886e-05
16,recurrent_edges_attenuated,0.125,0.0,0.375,316.375,463.0,16.908031387509254,490.0,9.545966145196871e-05
32,recurrent_edges_attenuated,0.125,0.0,0.375,316.375,463.0,33.75300365000294,980.0,9.545966145196871e-05
64,recurrent_edges_attenuated,0.125,0.0,0.375,316.375,463.0,70.36540104999585,1960.0,9.545966145196871e-05
