step,epoch,loss,validation_loss,teacher_agreement,candidate_accuracy,elo,elo_ci_low,elo_ci_high,recurrent_depth,learning_rate,checkpoint
1,1,0.6929240478438049,0.6932899293340189,0.15384615384615385,0.4807692307692308,,,,16,0.03,
2,2,0.692812453007856,0.6933879211247418,0.15384615384615385,0.49175824175824173,,,,16,0.03,
3,3,0.6927367605812452,0.6934383506429941,0.15384615384615385,0.49175824175824173,,,,16,0.03,
4,4,0.6926836671801175,0.6935061337110666,0.15384615384615385,0.49175824175824173,,,,16,0.03,
5,5,0.6926502362596754,0.6935386302025487,0.15384615384615385,0.49725274725274726,,,,16,0.03,
6,6,0.6926334299993074,0.693575291825224,0.15384615384615385,0.510989010989011,,,,16,0.03,
7,7,0.692622492539275,0.6936529313764438,0.15384615384615385,0.510989010989011,,,,16,0.03,
8,8,0.6926180128349066,0.6936824429728281,0.15384615384615385,0.5164835164835165,,,,16,0.03,
9,9,0.692612993962278,0.6937251167600552,0.15384615384615385,0.5192307692307693,,,,16,0.03,
10,10,0.6926105225423697,0.6937472983637868,0.15384615384615385,0.5412087912087912,,,,16,0.03,
11,11,0.6926095786671318,0.6937852463087734,0.15384615384615385,0.5412087912087912,,,,16,0.03,
12,12,0.6926088613548571,0.6937956047156983,0.15384615384615385,0.5384615384615384,,,,16,0.03,
13,13,0.6926102638796979,0.6937861721924946,0.15384615384615385,0.5439560439560439,,,,16,0.03,
14,14,0.6926103943110702,0.6937552174448217,0.15384615384615385,0.5659340659340659,,,,16,0.03,
15,15,0.6926093635070395,0.6937913567800682,0.15384615384615385,0.5384615384615384,,,,16,0.03,
16,16,0.6926090449464012,0.693833719603926,0.15384615384615385,0.510989010989011,,,,16,0.03,
17,17,0.6926102347511501,0.6938719734713361,0.15384615384615385,0.5082417582417582,,,,16,0.03,
18,18,0.6926108259810748,0.693874540028383,0.15384615384615385,0.510989010989011,,,,16,0.03,
19,19,0.692609498841371,0.6938430469565282,0.15384615384615385,0.532967032967033,,,,16,0.03,
20,20,0.6926098138192857,0.6938602850468751,0.15384615384615385,0.5302197802197802,,,,16,0.03,
21,21,0.6926105689655522,0.6938497168990095,0.15384615384615385,0.521978021978022,,,,16,0.03,
22,22,0.6926112490281788,0.6938133404239273,0.15384615384615385,0.5054945054945055,,,,16,0.03,
23,23,0.6926118212471565,0.693826122303531,0.15384615384615385,0.510989010989011,,,,16,0.03,
24,24,0.6926110242971325,0.6937929220260342,0.15384615384615385,0.5357142857142857,,,,16,0.03,
25,25,0.6926121966553833,0.693780014535057,0.15384615384615385,0.5467032967032966,,,,16,0.03,
26,26,0.6926099073545808,0.6937939975850568,0.15384615384615385,0.5357142857142857,,,,16,0.03,
27,27,0.6926106464830681,0.6938521622876566,0.15384615384615385,0.521978021978022,,,,16,0.03,
28,28,0.6926121093222196,0.6938611470127872,0.15384615384615385,0.510989010989011,,,,16,0.03,
29,29,0.692612596846925,0.6938183738379272,0.15384615384615385,0.5384615384615384,,,,16,0.03,
30,30,0.6926141086193136,0.6938261733547272,0.15384615384615385,0.5384615384615384,,,,16,0.03,
31,31,0.6926123308956539,0.6938526112733528,0.15384615384615385,0.5247252747252747,,,,16,0.03,
32,32,0.6926109602052614,0.6938280471504025,0.23076923076923078,0.5357142857142857,,,,16,0.03,
33,33,0.6926111200424404,0.6938226722556464,0.23076923076923078,0.5412087912087912,,,,16,0.03,
34,34,0.692612793881589,0.6937865995407664,0.15384615384615385,0.5412087912087912,,,,16,0.03,
35,35,0.6926131461055568,0.6937281877890255,0.15384615384615385,0.5741758241758241,,,,16,0.03,
36,36,0.692610500830435,0.6937614468031118,0.15384615384615385,0.5302197802197802,,,,16,0.03,
37,37,0.6926114418716882,0.6937775794373646,0.15384615384615385,0.5192307692307693,,,,16,0.03,
38,38,0.6926126007857494,0.693840212058108,0.15384615384615385,0.5054945054945055,,,,16,0.03,
39,39,0.6926108397108885,0.6938966632846127,0.15384615384615385,0.5027472527472527,,,,16,0.03,
40,40,0.6926100031152668,0.6938934820989588,0.15384615384615385,0.5274725274725275,,,,16,0.03,
41,41,0.6926110158100569,0.6938747221598125,0.15384615384615385,0.5357142857142857,,,,16,0.03,
42,42,0.6926133195202901,0.6939233707900926,0.15384615384615385,0.532967032967033,,,,16,0.03,
43,43,0.6926128216285516,0.6939142474353309,0.15384615384615385,0.5576923076923077,,,,16,0.03,
44,44,0.6926101171099976,0.6939046455870559,0.15384615384615385,0.5357142857142857,,,,16,0.03,
45,45,0.6926112957808755,0.6939525638608878,0.15384615384615385,0.5164835164835165,,,,16,0.03,
46,46,0.6926102048999404,0.6939394751649963,0.15384615384615385,0.5192307692307693,,,,16,0.03,
47,47,0.6926099996585976,0.6938964793001414,0.15384615384615385,0.532967032967033,,,,16,0.03,
48,48,0.6926105408945075,0.693850439177169,0.15384615384615385,0.5302197802197802,,,,16,0.03,
49,49,0.692610937327675,0.6937947352648334,0.15384615384615385,0.5192307692307693,,,,16,0.03,
50,50,0.6926109225994346,0.6937771579333258,0.15384615384615385,0.5384615384615384,,,,16,0.03,
51,51,0.692610319629998,0.6938032269030836,0.15384615384615385,0.5357142857142857,,,,16,0.03,
52,52,0.6926099990373131,0.6938061248994917,0.15384615384615385,0.532967032967033,,,,16,0.03,
53,53,0.6926107167096751,0.6938075998199495,0.15384615384615385,0.5439560439560439,,,,16,0.03,
54,54,0.6926092457003148,0.693840497733582,0.15384615384615385,0.5302197802197802,,,,16,0.03,
55,55,0.6926107148790721,0.6938171046535945,0.15384615384615385,0.5384615384615384,,,,16,0.03,
56,56,0.6926109738783509,0.6938261064993536,0.15384615384615385,0.5384615384615384,,,,16,0.03,
57,57,0.6926109144161592,0.6938314184312894,0.15384615384615385,0.5302197802197802,,,,16,0.03,
58,58,0.6926107277125914,0.6938443918843279,0.15384615384615385,0.5274725274725275,,,,16,0.03,
59,59,0.6926114240072629,0.6938898802676489,0.15384615384615385,0.5192307692307693,,,,16,0.03,
60,60,0.692611050457676,0.6938434898594084,0.15384615384615385,0.5357142857142857,,,,16,0.03,
61,61,0.6926098846924509,0.6938595380238921,0.15384615384615385,0.532967032967033,,,,16,0.03,
62,62,0.6926091167187901,0.6938657420649967,0.15384615384615385,0.5274725274725275,,,,16,0.03,
63,63,0.6926096841915393,0.6938279621120738,0.15384615384615385,0.5439560439560439,,,,16,0.03,
64,64,0.6926115868884993,0.6938559492158698,0.15384615384615385,0.5192307692307693,,,,16,0.03,
65,65,0.692609175095014,0.6938255769881523,0.15384615384615385,0.5384615384615384,,,,16,0.03,
66,66,0.692608821498979,0.6938551558702301,0.15384615384615385,0.5384615384615384,,,,16,0.03,
67,67,0.692608657239601,0.6938232269297961,0.15384615384615385,0.5384615384615384,,,,16,0.03,
68,68,0.6926108313349751,0.6937817733947188,0.15384615384615385,0.5412087912087912,,,,16,0.03,
69,69,0.6926105927487883,0.6938034138083459,0.15384615384615385,0.5384615384615384,,,,16,0.03,
70,70,0.6926119818558228,0.693865954475037,0.15384615384615385,0.5082417582417582,,,,16,0.03,
71,71,0.6926130105867182,0.6938826959812291,0.15384615384615385,0.510989010989011,,,,16,0.03,
72,72,0.6926105523398852,0.6938293231973222,0.15384615384615385,0.5164835164835165,,,,16,0.03,
73,73,0.6926101703678136,0.6938045759969685,0.15384615384615385,0.532967032967033,,,,16,0.03,
74,74,0.692610608914517,0.6937908765500892,0.15384615384615385,0.5357142857142857,,,,16,0.03,
75,75,0.6926111925930893,0.6937732524910519,0.15384615384615385,0.5357142857142857,,,,16,0.03,
76,76,0.6926107707117916,0.6938068038498788,0.15384615384615385,0.5247252747252747,,,,16,0.03,
77,77,0.6926106550335209,0.6938170329754422,0.15384615384615385,0.5384615384615384,,,,16,0.03,
78,78,0.6926095652276529,0.6938422590351666,0.15384615384615385,0.5302197802197802,,,,16,0.03,
79,79,0.6926096870683714,0.6938984535064159,0.15384615384615385,0.5357142857142857,,,,16,0.03,
80,80,0.6926103588312751,0.6939278891231015,0.15384615384615385,0.521978021978022,,,,16,0.03,
81,81,0.6926103439509342,0.6938772413678808,0.15384615384615385,0.521978021978022,,,,16,0.03,
82,82,0.6926091775035627,0.6938836693907527,0.15384615384615385,0.5247252747252747,,,,16,0.03,
83,83,0.6926092412983829,0.6938906003677338,0.15384615384615385,0.5302197802197802,,,,16,0.03,
84,84,0.6926093104769023,0.6938697585712137,0.15384615384615385,0.532967032967033,,,,16,0.03,
85,85,0.6926097283990825,0.6938161532328396,0.15384615384615385,0.5439560439560439,,,,16,0.03,
86,86,0.6926097014603343,0.6937981354509029,0.15384615384615385,0.5412087912087912,,,,16,0.03,
87,87,0.6926097229085323,0.6938168945662809,0.15384615384615385,0.5357142857142857,,,,16,0.03,
88,88,0.6926099596754568,0.6937699669198157,0.15384615384615385,0.5412087912087912,,,,16,0.03,
89,89,0.6926092008551884,0.6937639738316268,0.15384615384615385,0.532967032967033,,,,16,0.03,
90,90,0.6926093185377994,0.6937885054642768,0.15384615384615385,0.5357142857142857,,,,16,0.03,
91,91,0.6926102667211859,0.6938238787952944,0.15384615384615385,0.5164835164835165,,,,16,0.03,
92,92,0.6926109216600667,0.6938464684119472,0.15384615384615385,0.5274725274725275,,,,16,0.03,
93,93,0.6926105003829017,0.6938240855526981,0.15384615384615385,0.5384615384615384,,,,16,0.03,
94,94,0.6926085676055984,0.6938492684607507,0.15384615384615385,0.5192307692307693,,,,16,0.03,
95,95,0.69260936283039,0.6938676113472716,0.15384615384615385,0.5302197802197802,,,,16,0.03,
96,96,0.6926108474077496,0.6938325927296152,0.15384615384615385,0.5357142857142857,,,,16,0.03,
97,97,0.6926116540848074,0.6937927781523308,0.15384615384615385,0.5494505494505495,,,,16,0.03,
98,98,0.6926127762781064,0.69377103807273,0.15384615384615385,0.5631868131868132,,,,16,0.03,
99,99,0.6926117820188992,0.6938018884185867,0.15384615384615385,0.532967032967033,,,,16,0.03,
100,100,0.692611686229309,0.6938502443367437,0.07692307692307693,0.5054945054945055,,,,16,0.03,
101,101,0.6926104081526686,0.6938337683899615,0.07692307692307693,0.521978021978022,,,,16,0.03,
102,102,0.6926109335837467,0.6938253165346967,0.07692307692307693,0.5027472527472527,,,,16,0.03,
103,103,0.6926112115904424,0.6938040759176253,0.07692307692307693,0.5137362637362637,,,,16,0.03,
104,104,0.6926126265278543,0.6937741573686547,0.07692307692307693,0.5494505494505495,,,,16,0.03,
105,105,0.6926120371359683,0.6937920143450181,0.07692307692307693,0.5439560439560439,,,,16,0.03,
106,106,0.6926109612210036,0.6938362393474122,0.07692307692307693,0.532967032967033,,,,16,0.03,
107,107,0.692610756438831,0.6938560168819595,0.15384615384615385,0.5274725274725275,,,,16,0.03,
108,108,0.6926104694201088,0.6938732325105054,0.15384615384615385,0.5384615384615384,,,,16,0.03,
109,109,0.6926091474144939,0.693894573724854,0.15384615384615385,0.5357142857142857,,,,16,0.03,
110,110,0.6926095032773681,0.693885242365905,0.15384615384615385,0.532967032967033,,,,16,0.03,
111,111,0.6926108039391858,0.6938613087389779,0.15384615384615385,0.5384615384615384,,,,16,0.03,
112,112,0.6926104538593081,0.6938917813287573,0.15384615384615385,0.5192307692307693,,,,16,0.03,
113,113,0.6926116402450639,0.693894052030437,0.15384615384615385,0.5137362637362637,,,,16,0.03,
114,114,0.6926114954386652,0.6938349697017056,0.15384615384615385,0.5137362637362637,,,,16,0.03,
115,115,0.6926112360379135,0.6937892406417744,0.15384615384615385,0.5302197802197802,,,,16,0.03,
116,116,0.6926107109975361,0.693789561049603,0.15384615384615385,0.5302197802197802,,,,16,0.03,
117,117,0.6926106803501829,0.6937743485344021,0.15384615384615385,0.5302197802197802,,,,16,0.03,
118,118,0.6926123821514276,0.6937506506202955,0.15384615384615385,0.521978021978022,,,,16,0.03,
119,119,0.692612236592301,0.6937494785651129,0.15384615384615385,0.532967032967033,,,,16,0.03,
120,120,0.692613373572057,0.6937541436431119,0.15384615384615385,0.5357142857142857,,,,16,0.03,
121,121,0.6926129692446651,0.6937714517748257,0.23076923076923078,0.5384615384615384,,,,16,0.03,
122,122,0.6926128336093502,0.6937972482882684,0.15384615384615385,0.5384615384615384,,,,16,0.03,
123,123,0.6926135399598604,0.6938060110264831,0.15384615384615385,0.5357142857142857,,,,16,0.03,
124,124,0.6926130210324982,0.69379882997958,0.15384615384615385,0.5357142857142857,,,,16,0.03,
125,125,0.6926128222320083,0.6938020218781729,0.15384615384615385,0.532967032967033,,,,16,0.03,
126,126,0.6926133851998801,0.693788786570723,0.15384615384615385,0.5164835164835165,,,,16,0.03,
127,127,0.6926117196693621,0.6937716972347383,0.15384615384615385,0.5439560439560439,,,,16,0.03,
128,128,0.6926133134344883,0.6938249696678048,0.15384615384615385,0.5164835164835165,,,,16,0.03,
129,129,0.6926126618726608,0.6938550333042294,0.15384615384615385,0.5082417582417582,,,,16,0.03,
130,130,0.6926125396446999,0.6938175929548315,0.15384615384615385,0.5274725274725275,,,,16,0.03,
131,131,0.6926121772148859,0.6938322407253076,0.15384615384615385,0.5274725274725275,,,,16,0.03,
132,132,0.6926116408948513,0.6938434868992986,0.15384615384615385,0.5302197802197802,,,,16,0.03,
133,133,0.6926106068767457,0.6938406462705775,0.15384615384615385,0.5384615384615384,,,,16,0.03,
134,134,0.6926099814605162,0.6938279058302341,0.15384615384615385,0.5247252747252747,,,,16,0.03,
135,135,0.692610027102223,0.693842644249177,0.07692307692307693,0.5192307692307693,,,,16,0.03,
